Sample,ETCO2,ETO2,ScalcO2,RR,dev55_SpO2,dev55_HR,dev55_PI,dev59_SpO2,dev59_HR,dev59_PI,Timestamp
,,,,,,,,,,1.0,00:00:00
,,,,100.0,73.0,3.5,,,,,00:00:00
,,,,99.0,73.0,3.5,,,,,00:00:00
,,,,99.0,73.0,3.5,,,,,00:00:00
,,,,99.0,73.0,3.6,,,,,00:00:00
,,,,99.0,72.0,3.6,,,,,00:00:00
,,,,99.0,72.0,3.6,,,,,00:00:00
,,,,99.0,72.0,3.7,,,,,00:00:00
,,,,99.0,72.0,3.7,,,,,00:00:00
,,,,99.0,72.0,3.8,,,,,00:00:00
,,,,99.0,72.0,3.9,,,,,00:00:00
,,,,99.0,72.0,4.0,,,,,00:00:00
,,,,99.0,72.0,4.0,,,,,00:00:00
,,,,99.0,72.0,4.1,,,,,00:00:00
,,,,99.0,72.0,4.1,,,,,00:00:00
,,,,99.0,72.0,4.2,,,,,00:00:00
,,,,99.0,71.0,4.2,,,,,00:00:00
,,,,99.0,71.0,4.2,,,,,00:00:00
,,,,99.0,71.0,4.0,,,,,00:00:00
,,,,99.0,71.0,4.2,,,,,00:00:00
,,,,99.0,71.0,4.1,,,,,00:00:00
,,,,99.0,71.0,4.1,,,,,00:00:00
,,,,99.0,71.0,4.1,,,,,00:00:00
,,,,99.0,71.0,4.0,,,,,00:00:00
,,,,99.0,71.0,4.0,,,,,00:00:00
,,,,99.0,72.0,3.8,,,,,00:00:00
,,,,99.0,72.0,3.6,,,,,00:00:00
,,,,99.0,73.0,3.6,,,,,00:00:00
,,,,99.0,73.0,3.4,,,,,00:00:00
,,,,99.0,73.0,3.2,,,,,00:00:00
,,,,99.0,73.0,3.2,,,,,00:00:00
,,,,99.0,74.0,3.1,,,,,00:00:00
,,,,99.0,74.0,3.1,,,,,00:00:00
,,,,99.0,74.0,3.1,,,,,00:00:00
,,,,99.0,73.0,3.1,,,,,00:00:00
,,,,99.0,73.0,3.1,,,,,00:00:00
,,,,99.0,73.0,3.1,,,,,00:00:00
,,,,99.0,73.0,3.1,,,,,00:00:00
,,,,99.0,73.0,3.3,,,,,00:00:00
,,,,99.0,73.0,3.3,,,,,00:00:00
,,,,99.0,73.0,3.5,,,,,00:00:00
,,,,99.0,73.0,3.5,,,,,00:00:00
,,,,99.0,74.0,3.6,,,,,00:00:00
,,,,99.0,74.0,3.6,,,,,00:00:00
,,,,100.0,75.0,3.7,,,,,00:00:00
,,,,100.0,75.0,3.7,,,,,00:00:00
,,,,100.0,75.0,3.7,,,,,00:00:00
,,,,100.0,75.0,3.7,,,,,00:00:00
,,,,100.0,74.0,3.8,,,,,00:00:00
,,,,100.0,74.0,3.8,97.0,74.0,18.0,,00:00:00
,,,,100.0,74.0,3.8,97.0,74.0,18.0,,00:00:00
,,,,100.0,74.0,3.8,97.0,74.0,18.0,,00:00:00
,,,,100.0,75.0,3.8,97.0,74.0,18.0,,00:00:00
,,,,100.0,75.0,3.8,97.0,74.0,17.0,,00:00:00
,,,,100.0,75.0,3.8,97.0,74.0,17.0,,00:00:00
