Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,dev64_SpO2,dev64_HR,dev64_PI,Timestamp
,,,,,,,,,,255.0,,,,16:02:15
,,,,,,,,,,255.0,,,,16:02:15
,,,,,,,,,,255.0,,,,16:02:16
,,,,,,,,,,255.0,,,,16:02:16
,,,,,,,,,,255.0,,,,16:02:17
,,,,,,,,,,255.0,,,,16:02:17
,,,,,,,,,,255.0,,,,16:02:18
,,,,,,,,,,255.0,,,,16:02:18
,,,,,,,,97.0,,36.0,,,,16:02:19
,,,,,,,,97.0,,36.0,,,,16:02:19
,,,,,,,,97.0,,36.0,,,,16:02:20
,,,,,,,,97.0,,36.0,,,,16:02:20
,,,,,,,,93.0,91.0,68.0,,,,16:02:21
,,,,,,,,93.0,91.0,68.0,,,,16:02:21
,,,,,,,,93.0,91.0,68.0,,,,16:02:22
,,,,,,,,93.0,91.0,68.0,,,,16:02:22
,,,,,,,,93.0,90.0,45.0,,,,16:02:23
,,,,,,,,93.0,90.0,45.0,,,,16:02:23
,,,,,,,,93.0,90.0,45.0,,,,16:02:24
,,,,,,,,93.0,90.0,45.0,,,,16:02:24
,,,,,,,,95.0,90.0,43.0,,,,16:02:25
,,,,,,,,95.0,90.0,43.0,,,,16:02:25
,,,,,,,,95.0,90.0,43.0,,,,16:02:26
,,,,,,,,95.0,90.0,43.0,,,,16:02:26
,,,,,,,,96.0,87.0,46.0,,,,16:02:27
,,,,,100.0,85.0,2.7,96.0,87.0,46.0,,,,16:02:27
,,,,,100.0,85.0,2.7,96.0,87.0,46.0,,,,16:02:28
,,,,,100.0,85.0,4.1,96.0,87.0,46.0,,,,16:02:28
,,,,,100.0,85.0,4.1,97.0,85.0,46.0,,,,16:02:29
,,,,,100.0,81.0,4.1,97.0,85.0,46.0,,,,16:02:29
,,,,,100.0,81.0,4.1,97.0,85.0,46.0,,,,16:02:30
,,,,,100.0,79.0,4.8,97.0,85.0,46.0,,,,16:02:30
,,,,,100.0,79.0,4.8,97.0,83.0,44.0,,,,16:02:31
,,,,,100.0,79.0,5.1,97.0,83.0,44.0,,,,16:02:31
,,,,,100.0,79.0,5.1,97.0,83.0,44.0,,,,16:02:32
,,,,,100.0,77.0,5.3,97.0,83.0,44.0,,,,16:02:32
,,,,,100.0,77.0,5.3,97.0,85.0,44.0,,,,16:02:33
,,,,,100.0,79.0,5.3,97.0,85.0,44.0,,,,16:02:33
,,,,,100.0,79.0,5.3,97.0,85.0,44.0,,,,16:02:34
,,,,,100.0,79.0,5.3,97.0,85.0,44.0,,,,16:02:34
,,,,,100.0,79.0,5.3,97.0,86.0,48.0,,,,16:02:35
,,,,,100.0,81.0,5.5,97.0,86.0,48.0,,,,16:02:35
,,,,,100.0,81.0,5.5,97.0,86.0,48.0,,,,16:02:36
,,,,,100.0,84.0,5.6,97.0,86.0,48.0,,,,16:02:36
,,,,,100.0,84.0,5.6,97.0,86.0,48.0,,,,16:02:37
,,,,,100.0,87.0,5.5,97.0,86.0,48.0,,,,16:02:37
,,,,,100.0,87.0,5.5,97.0,86.0,48.0,,,,16:02:38
,,,,,100.0,90.0,5.5,97.0,88.0,45.0,,,,16:02:38
,,,,,100.0,90.0,5.5,98.0,88.0,49.0,,,,16:02:39
,,,,,100.0,91.0,5.5,98.0,88.0,49.0,,,,16:02:39
,,,,,100.0,91.0,5.5,98.0,88.0,49.0,,,,16:02:40
,,,,,100.0,91.0,5.5,98.0,88.0,49.0,,,,16:02:40
,,,,,100.0,91.0,5.5,98.0,85.0,49.0,,,,16:02:41
,,,,,100.0,90.0,5.6,98.0,85.0,49.0,,,,16:02:41
,,,,,100.0,90.0,5.6,98.0,85.0,49.0,,,,16:02:42
,,,,,100.0,88.0,5.7,98.0,85.0,49.0,,,,16:02:42
,,,,,100.0,88.0,5.7,97.0,83.0,48.0,,,,16:02:43
,,,,,100.0,86.0,6.1,97.0,83.0,48.0,,,,16:02:43
,,,,,100.0,86.0,6.1,97.0,83.0,48.0,,,,16:02:44
,,,,,100.0,85.0,6.4,97.0,83.0,48.0,,,,16:02:44
,,,,,100.0,85.0,6.4,97.0,82.0,47.0,,,,16:02:45
,,,,,100.0,82.0,6.6,97.0,82.0,47.0,,,,16:02:45
,,,,,100.0,82.0,6.6,97.0,82.0,47.0,,,,16:02:46
,,,,,100.0,82.0,6.6,97.0,82.0,47.0,,,,16:02:46
,,,,,100.0,82.0,6.6,97.0,83.0,48.0,,,,16:02:47
,,,,,100.0,81.0,6.7,97.0,83.0,48.0,,,,16:02:47
,,,,,100.0,81.0,6.7,97.0,83.0,48.0,,,,16:02:48
,,,,,100.0,79.0,6.8,97.0,83.0,48.0,,,,16:02:48
,,,,,100.0,79.0,6.8,97.0,83.0,59.0,,,,16:02:49
,,,,,100.0,81.0,6.7,97.0,83.0,59.0,,,,16:02:49
,,,,,100.0,81.0,6.7,97.0,83.0,59.0,,,,16:02:50
,,,,,99.0,81.0,6.8,97.0,83.0,59.0,,,,16:02:50
,,,,,99.0,81.0,6.8,97.0,81.0,59.0,,,,16:02:51
,,,,,99.0,81.0,6.8,97.0,81.0,59.0,,,,16:02:51
,,,,,99.0,81.0,6.8,97.0,81.0,59.0,,,,16:02:52
,,,,,99.0,81.0,6.8,97.0,81.0,59.0,,,,16:02:52
,,,,,99.0,81.0,6.8,97.0,81.0,54.0,,,,16:02:53
,,,,,99.0,81.0,6.9,97.0,81.0,54.0,,,,16:02:53
,,,,,99.0,81.0,6.9,97.0,81.0,54.0,,,,16:02:54
,,,,,99.0,82.0,6.9,97.0,81.0,54.0,,,,16:02:54
,,,,,99.0,82.0,6.9,97.0,80.0,61.0,,,,16:02:55
,,,,,99.0,81.0,6.9,97.0,80.0,61.0,,,,16:02:55
,,,,,99.0,81.0,6.9,97.0,80.0,61.0,,,,16:02:56
,,,,,99.0,79.0,7.0,97.0,80.0,61.0,,,,16:02:56
,,,,,99.0,79.0,7.0,97.0,82.0,55.0,,,,16:02:57
,,,,,99.0,79.0,7.0,97.0,82.0,55.0,,,,16:02:57
,,,,,99.0,79.0,7.0,97.0,82.0,55.0,,,,16:02:58
,,,,,99.0,79.0,7.0,97.0,82.0,55.0,,,,16:02:58
,,,,,99.0,79.0,7.0,97.0,81.0,59.0,,,,16:02:59
,,,,,99.0,81.0,6.9,97.0,81.0,59.0,,,,16:02:59
,,,,,99.0,81.0,6.9,97.0,81.0,59.0,,,,16:03:00
,,,,,99.0,82.0,6.8,97.0,81.0,59.0,,,,16:03:00
,,,,,99.0,82.0,6.8,97.0,80.0,62.0,,,,16:03:01
,,,,,99.0,80.0,6.9,97.0,80.0,62.0,,,,16:03:01
,,,,,99.0,80.0,6.9,97.0,80.0,62.0,,,,16:03:02
,,,,,99.0,79.0,6.8,97.0,80.0,62.0,,,,16:03:02
,,,,,99.0,79.0,6.8,97.0,80.0,48.0,,,,16:03:03
,,,,,99.0,79.0,6.8,97.0,80.0,48.0,,,,16:03:03
,,,,,99.0,79.0,6.8,97.0,80.0,48.0,,,,16:03:04
,,,,,99.0,80.0,6.7,97.0,80.0,48.0,,,,16:03:04
,,,,,99.0,80.0,6.7,97.0,84.0,37.0,,,,16:03:05
,,,,,99.0,82.0,6.6,97.0,84.0,37.0,,,,16:03:05
,,,,,99.0,82.0,6.6,97.0,84.0,37.0,,,,16:03:06
,,,,,99.0,83.0,5.6,97.0,84.0,37.0,,,,16:03:06
,,,,,99.0,83.0,5.6,97.0,87.0,47.0,,,,16:03:07
,,,,,99.0,84.0,5.6,97.0,87.0,47.0,,,,16:03:07
,,,,,99.0,84.0,5.6,97.0,87.0,47.0,,,,16:03:08
,,,,,99.0,87.0,5.4,97.0,87.0,47.0,,,,16:03:08
,,,,,99.0,87.0,5.4,97.0,86.0,42.0,,,,16:03:09
,,,,,99.0,87.0,5.4,97.0,86.0,42.0,,,,16:03:09
,,,,,99.0,87.0,5.4,97.0,86.0,42.0,,,,16:03:10
,,,,,99.0,89.0,5.3,97.0,86.0,42.0,,,,16:03:10
,,,,,99.0,89.0,5.3,97.0,86.0,32.0,,,,16:03:11
,,,,,99.0,89.0,5.2,97.0,86.0,32.0,,,,16:03:11
,,,,,99.0,89.0,5.2,97.0,86.0,32.0,,,,16:03:12
,,,,,99.0,89.0,5.1,97.0,86.0,32.0,,,,16:03:12
,,,,,99.0,89.0,5.1,97.0,85.0,35.0,,,,16:03:13
,,,,,99.0,88.0,4.5,97.0,85.0,35.0,,,,16:03:13
,,,,,99.0,88.0,4.5,97.0,85.0,35.0,,,,16:03:14
,,,,,99.0,86.0,4.5,97.0,85.0,35.0,,,,16:03:14
,,,,,99.0,86.0,4.5,97.0,85.0,35.0,,,,16:03:15
,,,,,99.0,86.0,4.5,97.0,85.0,35.0,,,,16:03:15
,,,,,99.0,86.0,4.5,97.0,85.0,35.0,,,,16:03:16
,,,,,99.0,85.0,4.3,97.0,85.0,35.0,,,,16:03:16
,,,,,99.0,85.0,4.3,97.0,86.0,34.0,,,,16:03:17
,,,,,99.0,84.0,4.1,97.0,86.0,34.0,,,,16:03:17
,,,,,99.0,84.0,4.1,97.0,86.0,34.0,,,,16:03:18
,,,,,99.0,85.0,4.1,97.0,86.0,34.0,,,,16:03:18
,,,,,99.0,85.0,4.1,97.0,85.0,47.0,,,,16:03:19
,,,,,99.0,86.0,4.1,97.0,85.0,47.0,,,,16:03:19
,,,,,99.0,86.0,4.1,97.0,85.0,47.0,,,,16:03:20
,,,,,99.0,86.0,4.1,97.0,85.0,47.0,,,,16:03:20
,,,,,99.0,86.0,4.1,97.0,85.0,44.0,,,,16:03:21
,,,,,99.0,85.0,4.1,97.0,85.0,44.0,,,,16:03:21
,,,,,99.0,85.0,4.1,97.0,85.0,44.0,,,,16:03:22
,,,,,99.0,86.0,4.3,97.0,85.0,44.0,,,,16:03:22
,,,,,99.0,86.0,4.3,98.0,84.0,51.0,,,,16:03:23
,,,,,100.0,85.0,4.7,98.0,84.0,51.0,,,,16:03:23
,,,,,100.0,85.0,4.7,98.0,84.0,51.0,,,,16:03:24
,,,,,100.0,85.0,5.0,98.0,84.0,51.0,,,,16:03:24
,,,,,100.0,85.0,5.0,98.0,85.0,43.0,,,,16:03:25
,,,,,100.0,84.0,5.2,98.0,85.0,43.0,,,,16:03:25
,,,,,100.0,84.0,5.2,98.0,85.0,43.0,,,,16:03:26
,,,,,100.0,84.0,5.2,98.0,85.0,43.0,,,,16:03:26
,,,,,100.0,84.0,5.2,98.0,85.0,43.0,,,,16:03:27
,,,,,100.0,84.0,5.4,98.0,85.0,43.0,,,,16:03:27
,,,,,100.0,84.0,5.4,98.0,85.0,43.0,,,,16:03:28
,,,,,100.0,85.0,5.4,98.0,85.0,43.0,,,,16:03:28
,,,,,100.0,85.0,5.4,97.0,85.0,46.0,,,,16:03:29
,,,,,100.0,85.0,5.3,97.0,85.0,46.0,,,,16:03:29
,,,,,100.0,85.0,5.3,97.0,85.0,46.0,,,,16:03:30
,,,,,100.0,84.0,5.2,97.0,85.0,46.0,,,,16:03:30
,,,,,100.0,84.0,5.2,97.0,85.0,43.0,,,,16:03:31
,,,,,100.0,84.0,5.2,97.0,85.0,43.0,,,,16:03:31
,,,,,100.0,84.0,5.2,97.0,85.0,43.0,,,,16:03:32
,,,,,100.0,84.0,5.2,97.0,85.0,43.0,,,,16:03:32
,,,,,100.0,84.0,5.2,97.0,85.0,45.0,,,,16:03:33
,,,,,100.0,86.0,5.0,97.0,85.0,45.0,,,,16:03:33
,,,,,100.0,86.0,5.0,97.0,85.0,45.0,,,,16:03:34
,,,,,100.0,86.0,5.0,97.0,85.0,45.0,,,,16:03:34
,,,,,100.0,86.0,5.0,97.0,85.0,43.0,,,,16:03:35
,,,,,100.0,85.0,5.2,97.0,85.0,43.0,,,,16:03:35
,,,,,100.0,85.0,5.2,97.0,85.0,43.0,,,,16:03:36
,,,,,100.0,85.0,5.4,97.0,85.0,43.0,,,,16:03:36
,,,,,100.0,85.0,5.4,97.0,85.0,47.0,,,,16:03:37
,,,,,100.0,85.0,5.5,97.0,85.0,47.0,,,,16:03:37
,,,,,100.0,85.0,5.5,97.0,85.0,47.0,,,,16:03:38
,,,,,100.0,85.0,5.5,97.0,85.0,47.0,,,,16:03:38
,,,,,100.0,85.0,5.5,98.0,85.0,48.0,,,,16:03:39
,,,,,100.0,86.0,5.6,98.0,85.0,48.0,,,,16:03:39
,,,,,100.0,86.0,5.6,98.0,85.0,48.0,,,,16:03:40
,,,,,100.0,86.0,5.6,98.0,85.0,48.0,,,,16:03:40
,,,,,100.0,86.0,5.6,98.0,84.0,51.0,,,,16:03:41
,,,,,100.0,85.0,5.7,98.0,84.0,51.0,,,,16:03:41
,,,,,100.0,85.0,5.7,98.0,84.0,51.0,,,,16:03:42
,,,,,100.0,84.0,5.8,98.0,84.0,51.0,,,,16:03:42
,,,,,100.0,84.0,5.8,98.0,84.0,51.0,,,,16:03:43
,,,,,100.0,84.0,6.2,98.0,84.0,51.0,,,,16:03:43
,,,,,100.0,84.0,6.2,98.0,84.0,51.0,,,,16:03:44
,,,,,100.0,84.0,6.2,98.0,84.0,51.0,,,,16:03:44
,,,,,100.0,84.0,6.2,98.0,83.0,50.0,,,,16:03:45
,,,,,100.0,84.0,6.2,98.0,83.0,50.0,,,,16:03:45
,,,,,100.0,84.0,6.2,98.0,83.0,50.0,,,,16:03:46
,,,,,100.0,83.0,6.4,98.0,83.0,50.0,,,,16:03:46
,,,,,100.0,83.0,6.4,98.0,83.0,54.0,,,,16:03:47
