Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,dev64_SpO2,dev64_HR,dev64_PI,Timestamp
,,,,,,33.0,14.0,,,,,,,10:09:47
,,,,,100.0,83.0,,,,,,,,10:16:37
,,,,,100.0,83.0,,,,,,,,10:16:38
,,,,,100.0,83.0,1.7,,,,,,,10:16:38
,,,,,100.0,83.0,1.7,,,,,,,10:16:39
,,,,,100.0,77.0,2.8,,,,,,,10:16:39
,,,,,100.0,77.0,2.8,,,,,,,10:16:40
,,,,,100.0,77.0,3.4,,,,,,,10:16:40
,,,,,100.0,77.0,3.4,,,,,,,10:16:41
,,,,,100.0,77.0,3.4,,,,,,,10:16:41
,,,,,100.0,77.0,4.0,,,,,,,10:16:42
,,,,,100.0,77.0,4.0,,,,,,,10:16:42
,,,,,100.0,78.0,4.2,,,,,,,10:16:43
,,,,,100.0,78.0,4.2,,,255.0,,,,10:16:43
,,,,,100.0,83.0,4.1,,,255.0,,,,10:16:44
,,,,,100.0,83.0,4.1,,,255.0,,,,10:16:44
,,,,,99.0,87.0,4.1,,,255.0,,,,10:16:45
,,,,,99.0,87.0,4.1,,,255.0,,,,10:16:45
,,,,,99.0,92.0,4.1,,,255.0,,,,10:16:46
,,,,,99.0,92.0,4.1,,,255.0,,,,10:16:46
,,,,,99.0,92.0,4.1,,,255.0,,,,10:16:47
,,,,,99.0,92.0,4.1,,,255.0,,,,10:16:47
,,,,,99.0,94.0,4.1,,,255.0,,,,10:16:48
,,,,,99.0,94.0,4.1,,,255.0,,,,10:16:48
,,,,,99.0,95.0,4.1,,,255.0,,,,10:16:49
,,,,,99.0,95.0,4.1,,,63.0,,,,10:16:49
,,,,,98.0,93.0,4.1,,,63.0,,,,10:16:50
,,,,,98.0,93.0,4.1,,,63.0,,,,10:16:50
,,,,,98.0,93.0,4.2,,,63.0,,,,10:16:51
,,,,,98.0,93.0,4.2,94.0,96.0,64.0,,,,10:16:51
,,,,,98.0,93.0,4.2,94.0,96.0,64.0,,,,10:16:52
,,,,,98.0,93.0,4.2,94.0,96.0,64.0,,,,10:16:52
,,,,,98.0,93.0,4.3,94.0,96.0,64.0,,,,10:16:53
,,,,,98.0,93.0,4.3,96.0,95.0,75.0,,,,10:16:53
,,,,,98.0,92.0,4.4,96.0,95.0,75.0,,,,10:16:54
,,,,,98.0,92.0,4.4,96.0,95.0,75.0,,,,10:16:54
,,,,,98.0,94.0,4.6,96.0,95.0,75.0,,,,10:16:55
,,,,,98.0,94.0,4.6,96.0,90.0,85.0,,,,10:16:55
,,,,,98.0,94.0,4.7,96.0,90.0,85.0,,,,10:16:56
,,,,,98.0,94.0,4.7,96.0,90.0,85.0,,,,10:16:56
,,,,,98.0,94.0,4.8,96.0,90.0,85.0,,,,10:16:57
,,,,,98.0,94.0,4.8,97.0,91.0,169.0,,,,10:16:57
,,,,,98.0,94.0,4.8,97.0,91.0,169.0,,,,10:16:58
,,,,,98.0,94.0,4.8,97.0,91.0,169.0,,,,10:16:58
,,,,,98.0,92.0,4.9,97.0,91.0,169.0,,,,10:16:59
,,,,,98.0,92.0,4.9,97.0,93.0,77.0,,,,10:16:59
,,,,,98.0,92.0,5.0,97.0,93.0,77.0,,,,10:17:00
,,,,,98.0,92.0,5.0,97.0,93.0,77.0,,,,10:17:00
,,,,,98.0,92.0,5.0,97.0,93.0,77.0,,,,10:17:01
,,,,,98.0,92.0,5.0,98.0,89.0,76.0,,,,10:17:01
,,,,,98.0,91.0,5.1,98.0,89.0,76.0,,,,10:17:02
,,,,,98.0,91.0,5.1,98.0,89.0,76.0,,,,10:17:02
,,,,,98.0,90.0,5.2,98.0,89.0,76.0,,,,10:17:03
,,,,,98.0,90.0,5.2,99.0,88.0,67.0,,,,10:17:03
,,,,,98.0,90.0,5.2,99.0,88.0,67.0,,,,10:17:04
