Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,dev64_SpO2,dev64_HR,dev64_PI,Timestamp
,,,,,,,,,,10.0,,,,13:21:04
,,,,,,,,,,10.0,,,,13:21:05
,,,,,,,,,,10.0,,,,13:21:05
,,,,,,,,,,10.0,,,,13:21:06
,,,,,,,,,,255.0,,,,13:21:12
,,,,,,,,,,255.0,,,,13:21:13
,,,,,,,,,,255.0,,,,13:21:13
,,,,,83.0,,,,,255.0,,,,13:21:14
,,,,,83.0,,,,,253.0,,,,13:21:14
,,,,,83.0,,6.7,,,253.0,,,,13:21:15
,,,,,83.0,,6.7,,,253.0,,,,13:21:15
,,,,,83.0,,5.7,,,253.0,,,,13:21:16
,,,,,83.0,,5.7,,,253.0,,,,13:21:16
,,,,,82.0,,5.0,,,253.0,,,,13:21:17
,,,,,82.0,,5.0,,,253.0,,,,13:21:17
,,,,,82.0,,5.0,,,255.0,,,,13:21:18
,,,,,82.0,,5.0,,,162.0,,,,13:21:18
,,,,,82.0,,5.0,,,162.0,,,,13:21:19
,,,,,81.0,61.0,0.6,,,162.0,,,,13:21:19
,,,,,81.0,61.0,1.0,,,162.0,,,,13:21:20
,,,,,81.0,61.0,1.0,84.0,,47.0,,,,13:21:20
,,,,,81.0,61.0,1.2,84.0,,47.0,,,,13:21:21
,,,,,81.0,61.0,1.2,84.0,,47.0,,,,13:21:21
,,,,,83.0,63.0,1.3,84.0,,47.0,,,,13:21:22
,,,,,83.0,63.0,1.3,94.0,63.0,26.0,,,,13:21:22
,,,,,88.0,63.0,1.3,94.0,63.0,26.0,,,,13:21:23
,,,,,88.0,63.0,1.3,94.0,63.0,26.0,,,,13:21:23
,,,,,88.0,63.0,1.3,94.0,63.0,26.0,,,,13:21:24
,,,,,88.0,63.0,1.3,95.0,61.0,22.0,,,,13:21:24
,,,,,94.0,63.0,1.3,95.0,61.0,22.0,,,,13:21:25
,,,,,94.0,63.0,1.3,95.0,61.0,22.0,,,,13:21:25
,,,,,96.0,63.0,1.3,95.0,61.0,22.0,,,,13:21:26
,,,,,96.0,63.0,1.3,96.0,61.0,15.0,,,,13:21:26
,,,,,98.0,61.0,1.2,96.0,61.0,15.0,,,,13:21:27
,,,,,98.0,61.0,1.2,96.0,61.0,15.0,,,,13:21:27
,,,,,99.0,61.0,1.2,96.0,61.0,15.0,,,,13:21:28
,,,,,99.0,61.0,1.2,96.0,60.0,18.0,,,,13:21:28
,,,,,99.0,61.0,1.2,96.0,60.0,18.0,,,,13:21:29
,,,,,99.0,61.0,1.2,96.0,60.0,18.0,,,,13:21:29
,,,,,99.0,61.0,1.2,96.0,60.0,18.0,,,,13:21:30
,,,,,99.0,61.0,1.2,97.0,60.0,18.0,,,,13:21:30
,,,,,99.0,61.0,1.2,97.0,60.0,18.0,,,,13:21:31
,,,,,99.0,61.0,1.2,97.0,60.0,18.0,,,,13:21:31
,,,,,99.0,61.0,1.2,97.0,60.0,18.0,,,,13:21:32
,,,,,99.0,61.0,1.2,98.0,60.0,16.0,,,,13:21:32
,,,,,99.0,61.0,1.2,98.0,60.0,16.0,,,,13:21:33
,,,,,99.0,61.0,1.2,98.0,60.0,16.0,,,,13:21:33
,,,,,99.0,60.0,1.2,98.0,60.0,16.0,,,,13:21:34
,,,,,99.0,60.0,1.2,99.0,60.0,20.0,,,,13:21:34
,,,,,99.0,60.0,1.2,99.0,60.0,20.0,,,,13:21:35
,,,,,99.0,60.0,1.2,99.0,60.0,20.0,,,,13:21:35
,,,,,99.0,60.0,1.1,99.0,60.0,20.0,,,,13:21:36
,,,,,99.0,60.0,1.1,99.0,60.0,20.0,,,,13:21:36
,,,,,99.0,60.0,1.1,99.0,60.0,20.0,,,,13:21:37
,,,,,99.0,60.0,1.1,99.0,60.0,20.0,,,,13:21:37
,,,,,99.0,60.0,1.1,99.0,60.0,20.0,,,,13:21:38
