Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,Timestamp
,,,,,100.0,84.0,0.9,,,,09:54:21
,,,,,100.0,85.0,0.9,100.0,88.0,10.0,09:54:21
,,,,,100.0,86.0,0.9,100.0,89.0,9.0,09:54:22
,,,,,100.0,87.0,1.0,100.0,89.0,11.0,09:54:22
,,,,,100.0,87.0,1.0,100.0,86.0,9.0,09:54:23
,,,,,100.0,88.0,1.0,100.0,86.0,11.0,09:54:23
,,,,,100.0,89.0,1.0,100.0,84.0,11.0,09:54:24
,,,,,100.0,90.0,1.0,100.0,83.0,11.0,09:54:24
,,,,,100.0,91.0,1.0,100.0,82.0,13.0,09:54:25
,,,,,100.0,90.0,1.0,100.0,81.0,13.0,09:54:25
,,,,,100.0,90.0,1.0,100.0,80.0,10.0,09:54:26
,,,,,100.0,88.0,1.0,100.0,80.0,10.0,09:54:26
,,,,,100.0,87.0,1.0,100.0,81.0,12.0,09:54:27
,,,,,100.0,86.0,1.1,100.0,83.0,9.0,09:54:27
,,,,,100.0,86.0,1.1,99.0,83.0,10.0,09:54:28
,,,,,100.0,85.0,1.1,99.0,83.0,9.0,09:54:28
,,,,,100.0,85.0,1.1,99.0,82.0,8.0,09:54:29
,,,,,100.0,82.0,1.1,100.0,82.0,11.0,09:54:29
,,,,,100.0,82.0,1.1,100.0,82.0,10.0,09:54:30
,,,,,100.0,81.0,1.1,100.0,82.0,10.0,09:54:30
,,,,,100.0,81.0,1.1,100.0,82.0,10.0,09:54:31
,,,,,100.0,81.0,1.1,100.0,82.0,10.0,09:54:31
,,,,,100.0,81.0,1.1,100.0,81.0,10.0,09:54:32
,,,,,100.0,79.0,1.2,100.0,82.0,13.0,09:54:32
,,,,,100.0,79.0,1.2,100.0,82.0,13.0,09:54:33
,,,,,100.0,80.0,1.2,100.0,85.0,11.0,09:54:33
,,,,,100.0,80.0,1.2,100.0,85.0,11.0,09:54:34
,,,,,100.0,81.0,1.2,100.0,85.0,11.0,09:54:34
,,,,,100.0,82.0,1.2,100.0,86.0,8.0,09:54:35
,,,,,100.0,82.0,1.2,100.0,86.0,8.0,09:54:35
,,,,,100.0,82.0,1.2,100.0,86.0,8.0,09:54:36
,,,,,100.0,82.0,1.2,100.0,86.0,8.0,09:54:36
,,,,,100.0,82.0,1.2,100.0,87.0,8.0,09:54:37
,,,,,100.0,82.0,1.2,100.0,87.0,8.0,09:54:37
,,,,,100.0,82.0,1.2,100.0,87.0,8.0,09:54:38
,,,,,100.0,82.0,1.2,100.0,87.0,8.0,09:54:38
,,,,,100.0,82.0,1.2,99.0,87.0,7.0,09:54:39
,,,,,100.0,82.0,1.2,99.0,87.0,7.0,09:54:39
,,,,,100.0,82.0,1.2,99.0,87.0,7.0,09:54:40
,,,,,100.0,80.0,1.2,99.0,87.0,7.0,09:54:40
,,,,,99.0,80.0,1.2,99.0,86.0,7.0,09:54:41
,,,,,99.0,81.0,1.2,99.0,86.0,7.0,09:54:41
,,,,,99.0,81.0,1.2,99.0,86.0,7.0,09:54:42
,,,,,99.0,81.0,1.2,99.0,86.0,7.0,09:54:42
,,,,,99.0,81.0,1.2,99.0,87.0,10.0,09:54:43
,,,,,99.0,82.0,1.2,99.0,87.0,10.0,09:54:43
,,,,,99.0,82.0,1.2,99.0,87.0,10.0,09:54:44
,,,,,99.0,84.0,1.2,99.0,87.0,10.0,09:54:44
,,,,,99.0,85.0,1.2,99.0,87.0,14.0,09:54:45
,,,,,99.0,85.0,1.2,99.0,87.0,14.0,09:54:45
,,,,,100.0,86.0,1.2,99.0,87.0,14.0,09:54:46
,,,,,100.0,87.0,1.2,99.0,87.0,14.0,09:54:46
,,,,,100.0,88.0,1.2,99.0,85.0,9.0,09:54:47
,,,,,99.0,87.0,1.2,99.0,85.0,9.0,09:54:47
,,,,,99.0,87.0,1.2,99.0,85.0,9.0,09:54:48
,,,,,99.0,87.0,1.2,99.0,85.0,9.0,09:54:48
,,,,,99.0,88.0,1.2,99.0,84.0,8.0,09:54:49
,,,,,99.0,87.0,1.2,99.0,84.0,8.0,09:54:49
,,,,,99.0,86.0,1.2,99.0,84.0,8.0,09:54:50
,,,,,99.0,86.0,1.2,99.0,84.0,8.0,09:54:50
,,,,,99.0,85.0,1.2,99.0,85.0,9.0,09:54:51
