Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,dev64_SpO2,dev64_HR,dev64_PI,Timestamp
,,,,,100.0,60.0,1.6,100.0,63.0,16.0,,,,10:11:07
,,,,,,,,100.0,63.0,16.0,,,,10:11:08
,,,,,,,,100.0,63.0,16.0,,,,10:11:08
,,,,,98.0,,1.3,,,,,,,10:17:47
,,,,,98.0,,1.3,,,,,,,10:17:48
,,,,,98.0,,2.6,,,,,,,10:17:49
,,,,,98.0,,2.6,,,,,,,10:17:49
,,,,,98.0,,0.5,,,,,,,10:17:50
,,,,,98.0,,0.5,,,,,,,10:17:50
,,,,,98.0,,0.6,,,,,,,10:17:51
,,,,,98.0,,0.6,,,,,,,10:17:51
,,,,,100.0,83.0,0.8,,,,,,,10:17:52
,,,,,100.0,83.0,0.8,,,,,,,10:17:52
,,,,,100.0,83.0,0.8,,,,,,,10:17:53
,,,,,100.0,83.0,0.8,,,,,,,10:17:53
,,,,,100.0,83.0,0.8,,,,,,,10:17:54
,,,,,100.0,83.0,0.8,,,,,,,10:17:54
,,,,,100.0,83.0,0.8,,,,,,,10:17:55
,,,,,100.0,83.0,0.8,,,,,,,10:17:55
,,,,,100.0,82.0,0.9,,,,,,,10:17:56
,,,,,100.0,82.0,0.9,,,,,,,10:17:56
,,,,,100.0,81.0,0.9,,,,,,,10:17:57
,,,,,100.0,81.0,0.9,,,,,,,10:17:57
,,,,,100.0,81.0,0.9,,,,,,,10:17:58
,,,,,100.0,81.0,0.9,,,,,,,10:17:58
,,,,,100.0,81.0,0.9,,,,,,,10:17:59
,,,,,100.0,81.0,0.9,,,,,,,10:17:59
,,,,,100.0,81.0,0.9,,,,,,,10:18:00
,,,,,100.0,81.0,0.9,,,,,,,10:18:00
,,,,,100.0,80.0,0.9,,,,,,,10:18:01
,,,,,100.0,80.0,0.9,,,,,,,10:18:01
,,,,,100.0,81.0,0.8,,,,,,,10:18:02
,,,,,100.0,81.0,0.8,,,,,,,10:18:02
,,,,,100.0,83.0,0.8,,,,,,,10:18:03
,,,,,100.0,83.0,0.8,,,,,,,10:18:03
,,,,,100.0,84.0,0.8,,,,,,,10:18:04
,,,,,100.0,84.0,0.8,,,,,,,10:18:04
,,,,,100.0,84.0,0.8,,,,,,,10:18:05
,,,,,100.0,84.0,0.8,,,,,,,10:18:05
,,,,,100.0,84.0,0.8,,,,,,,10:18:06
,,,,,100.0,84.0,0.8,,,,,,,10:18:06
,,,,,100.0,82.0,0.8,,,,,,,10:18:07
,,,,,100.0,82.0,0.8,,,,,,,10:18:07
,,,,,100.0,82.0,0.8,,,,,,,10:18:08
,,,,,100.0,82.0,0.8,,,,,,,10:18:08
,,,,,99.0,81.0,0.8,,,,,,,10:18:09
,,,,,99.0,81.0,0.8,,,,,,,10:18:09
,,,,,99.0,79.0,0.8,,,,,,,10:18:10
,,,,,99.0,79.0,0.8,,,,,,,10:18:10
,,,,,100.0,76.0,0.8,,,,,,,10:18:11
,,,,,100.0,76.0,0.8,,,,,,,10:18:11
,,,,,100.0,76.0,0.8,,,,,,,10:18:12
,,,,,100.0,76.0,0.8,,,,,,,10:18:12
,,,,,100.0,76.0,0.8,,,,,,,10:18:13
,,,,,100.0,76.0,0.8,,,,,,,10:18:13
,,,,,100.0,77.0,0.8,,,,,,,10:18:14
,,,,,100.0,77.0,0.8,,,,,,,10:18:14
,,,,,100.0,79.0,0.8,,,,,,,10:18:15
,,,,,100.0,79.0,0.8,,,,,,,10:18:15
,,,,,100.0,79.0,0.8,,,,,,,10:18:16
,,,,,100.0,79.0,0.8,,,,,,,10:18:16
,,,,,100.0,78.0,0.8,,,,,,,10:18:17
,,,,,100.0,78.0,0.8,,,,,,,10:18:17
,,,,,100.0,78.0,0.8,,,,,,,10:18:18
,,,,,100.0,78.0,0.8,,,,,,,10:18:18
,,,,,100.0,78.0,0.8,,,,,,,10:18:19
,,,,,100.0,78.0,0.8,,,,,,,10:18:19
,,,,,100.0,78.0,0.8,,,,,,,10:18:20
,,,,,100.0,78.0,0.8,,,,,,,10:18:20
,,,,,100.0,80.0,0.7,,,,,,,10:18:21
,,,,,100.0,80.0,0.7,,,,,,,10:18:21
,,,,,100.0,80.0,0.7,,,,,,,10:18:22
,,,,,100.0,80.0,0.7,,,,,,,10:18:22
,,,,,100.0,80.0,0.7,,,,,,,10:18:23
,,,,,100.0,80.0,0.7,,,,,,,10:18:23
,,,,,100.0,82.0,0.7,,,,,,,10:18:24
,,,,,100.0,82.0,0.7,,,,,,,10:18:24
,,,,,100.0,82.0,0.7,,,,,,,10:18:25
,,,,,100.0,82.0,0.7,,,,,,,10:18:25
,,,,,100.0,79.0,0.7,,,,,,,10:18:26
,,,,,100.0,79.0,0.7,,,,,,,10:18:26
,,,,,100.0,78.0,0.7,,,,,,,10:18:27
,,,,,100.0,78.0,0.7,,,,,,,10:18:27
,,,,,100.0,78.0,0.7,,,,,,,10:18:28
,,,,,100.0,78.0,0.7,,,,,,,10:18:28
,,,,,100.0,78.0,0.7,,,,,,,10:18:29
,,,,,100.0,78.0,0.7,,,,,,,10:18:29
,,,,,100.0,78.0,0.7,,,,,,,10:18:30
,,,,,100.0,78.0,0.7,,,,,,,10:18:30
,,,,,100.0,78.0,0.7,,,,,,,10:18:31
,,,,,100.0,78.0,0.7,,,,,,,10:18:31
,,,,,100.0,78.0,0.7,,,,,,,10:18:32
,,,,,100.0,78.0,0.7,,,,,,,10:18:32
,,,,,100.0,77.0,0.7,,,,,,,10:18:33
,,,,,100.0,77.0,0.7,,,,,,,10:18:33
,,,,,100.0,77.0,0.7,,,,,,,10:18:34
,,,,,100.0,77.0,0.7,,,,,,,10:18:34
,,,,,100.0,77.0,0.7,,,,,,,10:18:35
,,,,,100.0,77.0,0.7,,,,,,,10:18:35
,,,,,100.0,75.0,0.7,,,,,,,10:18:36
,,,,,100.0,75.0,0.7,,,,,,,10:18:36
,,,,,100.0,76.0,0.7,,,,,,,10:18:36
,,,,,100.0,76.0,0.7,,,,,,,10:18:37
,,,,,100.0,76.0,0.7,,,,,,,10:18:37
,,,,,100.0,76.0,0.7,,,,,,,10:18:38
,,,,,100.0,78.0,0.7,,,,,,,10:18:39
,,,,,100.0,78.0,0.7,,,,,,,10:18:39
,,,,,100.0,79.0,0.7,,,,,,,10:18:40
,,,,,100.0,79.0,0.7,,,,,,,10:18:40
,,,,,100.0,79.0,0.7,,,,,,,10:18:41
,,,,,100.0,79.0,0.7,,,,,,,10:18:41
,,,,,100.0,80.0,0.7,,,,,,,10:18:42
,,,,,100.0,80.0,0.7,,,,,,,10:18:42
,,,,,100.0,81.0,0.7,,,,,,,10:18:43
,,,,,100.0,81.0,0.7,,,,,,,10:18:43
,,,,,100.0,81.0,0.7,,,,,,,10:18:44
,,,,,100.0,81.0,0.7,,,,,,,10:18:44
,,,,,100.0,81.0,0.7,,,,,,,10:18:45
,,,,,100.0,81.0,0.7,,,,,,,10:18:45
,,,,,100.0,81.0,0.7,,,,,,,10:18:46
,,,,,100.0,81.0,0.7,,,,,,,10:18:46
,,,,,100.0,81.0,0.7,,,,,,,10:18:47
,,,,,100.0,81.0,0.7,,,,,,,10:18:47
,,,,,100.0,81.0,0.7,,,,,,,10:18:48
,,,,,100.0,81.0,0.7,,,,,,,10:18:48
,,,,,100.0,80.0,0.7,,,,,,,10:18:49
,,,,,100.0,80.0,0.7,,,,,,,10:18:49
,,,,,100.0,81.0,0.7,,,,,,,10:18:50
,,,,,100.0,81.0,0.7,,,,,,,10:18:50
,,,,,100.0,82.0,0.7,,,,,,,10:18:51
,,,,,100.0,82.0,0.7,,,,,,,10:18:51
,,,,,100.0,82.0,0.7,,,,,,,10:18:52
,,,,,100.0,82.0,0.7,,,,,,,10:18:52
,,,,,100.0,84.0,0.7,,,,,,,10:18:53
,,,,,100.0,84.0,0.7,,,,,,,10:18:53
,,,,,100.0,84.0,0.7,,,,,,,10:18:54
,,,,,100.0,84.0,0.7,,,,,,,10:18:54
,,,,,100.0,83.0,0.6,,,,,,,10:18:55
,,,,,100.0,83.0,0.6,,,,,,,10:18:55
,,,,,100.0,82.0,0.7,,,,,,,10:18:56
,,,,,100.0,82.0,0.7,,,,,,,10:18:56
,,,,,100.0,81.0,0.7,,,,,,,10:18:57
,,,,,100.0,81.0,0.7,,,,,,,10:18:57
,,,,,100.0,81.0,0.6,,,,,,,10:18:58
,,,,,100.0,81.0,0.6,,,,,,,10:18:58
,,,,,100.0,82.0,0.6,,,,,,,10:18:59
,,,,,100.0,82.0,0.6,,,,,,,10:18:59
,,,,,100.0,82.0,0.6,,,,,,,10:19:00
,,,,,100.0,82.0,0.6,,,,,,,10:19:00
,,,,,100.0,83.0,0.6,,,,,,,10:19:01
,,,,,100.0,83.0,0.6,,,,,,,10:19:01
,,,,,100.0,84.0,0.6,,,,,,,10:19:02
,,,,,100.0,84.0,0.6,,,,,,,10:19:02
,,,,,100.0,84.0,0.6,,,,,,,10:19:03
,,,,,100.0,84.0,0.6,,,,,,,10:19:03
,,,,,100.0,86.0,0.6,,,,,,,10:19:04
,,,,,100.0,86.0,0.6,,,,,,,10:19:04
,,,,,100.0,88.0,0.6,,,,,,,10:19:05
,,,,,100.0,88.0,0.6,,,,,,,10:19:05
,,,,,100.0,89.0,0.6,,,,,,,10:19:06
,,,,,100.0,89.0,0.6,,,,,,,10:19:06
,,,,,100.0,88.0,0.6,,,,,,,10:19:07
,,,,,100.0,88.0,0.6,,,,,,,10:19:07
,,,,,100.0,88.0,0.6,,,,,,,10:19:08
,,,,,100.0,88.0,0.6,,,,,,,10:19:08
,,,,,100.0,88.0,0.6,,,,,,,10:19:09
,,,,,100.0,88.0,0.6,,,,,,,10:19:09
,,,,,100.0,89.0,0.6,,,,,,,10:19:10
,,,,,100.0,89.0,0.6,,,,,,,10:19:10
,,,,,100.0,88.0,0.6,,,,,,,10:19:11
,,,,,100.0,88.0,0.6,,,,,,,10:19:11
,,,,,100.0,87.0,0.6,,,,,,,10:19:12
,,,,,100.0,87.0,0.6,,,,,,,10:19:12
,,,,,100.0,85.0,0.6,,,,,,,10:19:13
,,,,,100.0,85.0,0.6,,,,,,,10:19:13
,,,,,100.0,84.0,0.6,,,,,,,10:19:14
,,,,,100.0,84.0,0.6,,,,,,,10:19:14
,,,,,100.0,84.0,0.6,,,,,,,10:19:15
,,,,,100.0,84.0,0.6,,,,,,,10:19:15
,,,,,100.0,82.0,0.6,,,,,,,10:19:16
,,,,,100.0,82.0,0.6,,,,,,,10:19:16
,,,,,100.0,80.0,0.6,,,,,,,10:19:17
,,,,,100.0,80.0,0.6,,,,,,,10:19:17
