Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,Timestamp
,,,,,,4.0,,,,,09:45:44
,,,,,,,,99.0,84.0,3.0,09:45:44
,,,,,,,,99.0,83.0,4.0,09:45:45
,,,,,,,,99.0,84.0,6.0,09:45:45
,,,,,,,,99.0,85.0,5.0,09:45:46
,,,,,,,,99.0,84.0,10.0,09:45:46
,,,,,,,,99.0,83.0,4.0,09:45:47
,,,,,,,,99.0,85.0,14.0,09:45:47
,,,,,,,,100.0,88.0,4.0,09:45:48
,,,,,,,,100.0,90.0,5.0,09:45:48
,,,,,,,,100.0,91.0,4.0,09:45:49
,,,,,,,,100.0,92.0,4.0,09:45:49
,,,,,,,,100.0,94.0,4.0,09:45:50
,,,,,,,,100.0,96.0,7.0,09:45:50
,,,,,,,,100.0,98.0,3.0,09:45:51
,,,,,,,,100.0,100.0,3.0,09:45:51
,,,,,,,,100.0,100.0,3.0,09:45:52
,,,,,,,,100.0,100.0,3.0,09:45:52
,,,,,,,,100.0,100.0,3.0,09:45:53
,,,,,,,,100.0,100.0,3.0,09:45:53
,,,,,,,,100.0,100.0,3.0,09:45:54
,,,,,,,,100.0,100.0,3.0,09:45:54
,,,,,,,,99.0,100.0,3.0,09:45:55
,,,,,,,,99.0,98.0,3.0,09:45:55
,,,,,,,,99.0,98.0,3.0,09:45:56
,,,,,,,,99.0,98.0,3.0,09:45:56
,,,,,,,,99.0,98.0,3.0,09:45:57
,,,,,,,,99.0,98.0,3.0,09:45:57
,,,,,,,,99.0,98.0,3.0,09:45:58
,,,,,,,,99.0,98.0,3.0,09:45:58
,,,,,,,,99.0,98.0,3.0,09:45:59
,,,,,,,,99.0,98.0,3.0,09:45:59
,,,,,,,,99.0,98.0,3.0,09:46:00
,,,,,,,,99.0,98.0,3.0,09:46:00
,,,,,,,,99.0,98.0,3.0,09:46:01
,,,,,,,,99.0,98.0,3.0,09:46:01
,,,,,,,,99.0,98.0,3.0,09:46:02
,,,,,87.0,,0.6,99.0,98.0,3.0,09:46:02
,,,,,87.0,,0.6,99.0,98.0,3.0,09:46:03
,,,,,87.0,,2.4,99.0,98.0,3.0,09:46:03
,,,,,87.0,91.0,0.1,99.0,98.0,3.0,09:46:04
,,,,,96.0,91.0,0.1,99.0,98.0,3.0,09:46:04
,,,,,100.0,91.0,0.2,99.0,98.0,3.0,09:46:05
,,,,,100.0,91.0,0.2,99.0,98.0,3.0,09:46:05
,,,,,100.0,96.0,0.2,99.0,98.0,3.0,09:46:06
,,,,,100.0,96.0,0.2,99.0,98.0,3.0,09:46:06
,,,,,100.0,95.0,0.2,99.0,98.0,3.0,09:46:07
,,,,,100.0,89.0,0.2,99.0,98.0,3.0,09:46:07
,,,,,100.0,89.0,0.2,99.0,98.0,3.0,09:46:08
,,,,,100.0,89.0,0.2,99.0,98.0,3.0,09:46:08
,,,,,100.0,89.0,0.2,99.0,98.0,3.0,09:46:09
,,,,,100.0,89.0,0.2,99.0,98.0,3.0,09:46:09
,,,,,100.0,89.0,0.2,99.0,98.0,3.0,09:46:10
,,,,,100.0,86.0,0.2,99.0,98.0,3.0,09:46:10
,,,,,100.0,86.0,0.2,98.0,89.0,6.0,09:46:11
,,,,,100.0,86.0,0.2,98.0,89.0,6.0,09:46:11
,,,,,100.0,86.0,0.2,98.0,89.0,6.0,09:46:12
,,,,,100.0,86.0,0.2,98.0,89.0,6.0,09:46:12
,,,,,100.0,86.0,0.2,98.0,86.0,4.0,09:46:13
,,,,,100.0,86.0,0.2,98.0,86.0,4.0,09:46:13
,,,,,100.0,86.0,0.2,98.0,86.0,4.0,09:46:14
,,,,,100.0,86.0,0.2,98.0,86.0,4.0,09:46:14
,,,,,100.0,86.0,0.2,98.0,85.0,4.0,09:46:15
,,,,,100.0,87.0,0.2,98.0,85.0,4.0,09:46:15
,,,,,100.0,87.0,0.2,98.0,85.0,4.0,09:46:16
,,,,,100.0,87.0,0.2,98.0,85.0,4.0,09:46:16
,,,,,100.0,87.0,0.2,99.0,84.0,5.0,09:46:17
,,,,,100.0,87.0,0.2,99.0,84.0,5.0,09:46:17
,,,,,100.0,87.0,0.2,99.0,84.0,5.0,09:46:18
,,,,,100.0,87.0,0.2,99.0,84.0,5.0,09:46:18
,,,,,100.0,87.0,0.2,99.0,82.0,6.0,09:46:19
,,,,,100.0,87.0,0.2,99.0,82.0,6.0,09:46:19
,,,,,100.0,87.0,0.2,99.0,82.0,6.0,09:46:20
,,,,,100.0,86.0,0.2,99.0,82.0,6.0,09:46:20
,,,,,100.0,86.0,0.2,99.0,82.0,7.0,09:46:21
,,,,,100.0,85.0,0.2,99.0,82.0,7.0,09:46:21
,,,,,100.0,85.0,0.2,99.0,82.0,7.0,09:46:22
,,,,,100.0,83.0,0.2,99.0,82.0,7.0,09:46:22
,,,,,100.0,83.0,0.2,99.0,81.0,4.0,09:46:23
,,,,,100.0,83.0,0.2,99.0,81.0,4.0,09:46:23
,,,,,100.0,83.0,0.2,99.0,81.0,4.0,09:46:24
,,,,,100.0,82.0,0.2,99.0,81.0,4.0,09:46:24
,,,,,100.0,82.0,0.2,99.0,81.0,4.0,09:46:25
,,,,,100.0,82.0,0.2,99.0,81.0,4.0,09:46:25
,,,,,100.0,82.0,0.2,99.0,81.0,4.0,09:46:26
,,,,,100.0,79.0,0.2,99.0,81.0,4.0,09:46:26
,,,,,100.0,79.0,0.2,99.0,80.0,4.0,09:46:27
,,,,,100.0,80.0,0.2,99.0,80.0,4.0,09:46:27
,,,,,100.0,80.0,0.2,99.0,80.0,4.0,09:46:28
,,,,,100.0,80.0,0.2,99.0,80.0,4.0,09:46:28
,,,,,100.0,80.0,0.2,100.0,80.0,4.0,09:46:29
,,,,,100.0,79.0,0.2,100.0,80.0,4.0,09:46:29
,,,,,100.0,79.0,0.2,100.0,80.0,4.0,09:46:30
,,,,,100.0,79.0,0.2,100.0,80.0,4.0,09:46:30
,,,,,100.0,79.0,0.2,100.0,79.0,4.0,09:46:31
,,,,,100.0,79.0,0.2,100.0,79.0,4.0,09:46:31
,,,,,100.0,79.0,0.2,100.0,79.0,4.0,09:46:32
,,,,,100.0,79.0,0.2,100.0,79.0,4.0,09:46:32
,,,,,100.0,79.0,0.2,100.0,80.0,4.0,09:46:33
,,,,,100.0,79.0,0.2,100.0,80.0,4.0,09:46:33
,,,,,100.0,79.0,0.2,100.0,80.0,4.0,09:46:34
,,,,,100.0,79.0,0.2,100.0,80.0,4.0,09:46:34
,,,,,100.0,79.0,0.2,100.0,80.0,4.0,09:46:35
,,,,,99.0,79.0,0.2,100.0,80.0,4.0,09:46:35
,,,,,99.0,79.0,0.2,100.0,80.0,4.0,09:46:36
,,,,,99.0,80.0,0.2,100.0,80.0,4.0,09:46:36
,,,,,99.0,80.0,0.2,100.0,81.0,4.0,09:46:37
,,,,,99.0,80.0,0.2,100.0,81.0,4.0,09:46:37
,,,,,99.0,80.0,0.2,100.0,81.0,4.0,09:46:38
,,,,,99.0,81.0,0.2,100.0,81.0,4.0,09:46:38
,,,,,99.0,82.0,0.2,100.0,81.0,3.0,09:46:39
,,,,,99.0,82.0,0.2,100.0,81.0,3.0,09:46:39
,,,,,99.0,82.0,0.2,100.0,81.0,3.0,09:46:40
,,,,,99.0,81.0,0.2,100.0,81.0,3.0,09:46:40
,,,,,99.0,81.0,0.2,100.0,82.0,4.0,09:46:41
,,,,,99.0,82.0,0.2,100.0,82.0,4.0,09:46:41
,,,,,99.0,82.0,0.2,100.0,82.0,4.0,09:46:42
,,,,,99.0,82.0,0.2,100.0,82.0,4.0,09:46:42
,,,,,99.0,82.0,0.2,100.0,82.0,4.0,09:46:43
,,,,,99.0,82.0,0.2,100.0,82.0,4.0,09:46:43
,,,,,99.0,82.0,0.2,100.0,82.0,4.0,09:46:44
,,,,,99.0,85.0,0.2,99.0,85.0,3.0,09:46:44
,,,,,99.0,85.0,0.2,99.0,85.0,3.0,09:46:45
,,,,,99.0,86.0,0.2,99.0,85.0,3.0,09:46:45
,,,,,99.0,86.0,0.2,99.0,85.0,3.0,09:46:46
,,,,,98.0,85.0,0.2,99.0,85.0,3.0,09:46:46
,,,,,98.0,85.0,0.2,99.0,85.0,4.0,09:46:47
,,,,,98.0,85.0,0.2,99.0,85.0,4.0,09:46:47
,,,,,98.0,85.0,0.2,99.0,85.0,4.0,09:46:48
