Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,dev64_SpO2,dev64_HR,dev64_PI,Timestamp
,,,,,,,,,,39.0,,,,13:20:26
,,,,,,,,,,39.0,,,,13:20:26
,,,,,,,,,,39.0,,,,13:20:27
,,,,,,,,,,39.0,,,,13:20:28
,,,,,,,,,,255.0,,,,13:20:28
,,,,,,,,,,255.0,,,,13:20:29
,,,,,,,,,,255.0,,,,13:20:29
,,,,,,,,,,255.0,,,,13:20:30
,,,,,,,,,,255.0,,,,13:20:30
,,,,,,,,,,255.0,,,,13:20:31
,,,,,,,,,,255.0,,,,13:20:31
,,,,,,,,,,255.0,,,,13:20:32
,,,,,,,,99.0,100.0,15.0,,,,13:20:32
,,,,,,,,99.0,100.0,15.0,,,,13:20:32
,,,,,,,,99.0,100.0,15.0,,,,13:20:33
,,,,,,,,99.0,100.0,15.0,,,,13:20:33
,,,,,,,,99.0,100.0,15.0,,,,13:20:34
,,,,,,,,99.0,100.0,15.0,,,,13:20:34
,,,,,,,,99.0,100.0,15.0,,,,13:20:35
,,,,,,,,99.0,100.0,15.0,,,,13:20:35
,,,,,,,,99.0,100.0,18.0,,,,13:20:36
,,,,,,,,99.0,100.0,18.0,,,,13:20:36
,,,,,,,,99.0,100.0,18.0,,,,13:20:37
,,,,,,,,99.0,100.0,18.0,,,,13:20:37
,,,,,,,,99.0,101.0,20.0,,,,13:20:38
,,,,,,,,99.0,101.0,20.0,,,,13:20:38
,,,,,,,,99.0,101.0,20.0,,,,13:20:39
,,,,,,,,99.0,101.0,20.0,,,,13:20:39
,,,,,,,,99.0,100.0,19.0,,,,13:20:40
,,,,,,,,99.0,100.0,19.0,,,,13:20:40
,,,,,,,,99.0,100.0,19.0,,,,13:20:41
,,,,,,,,99.0,100.0,19.0,,,,13:20:41
,,,,,,,,99.0,100.0,17.0,,,,13:20:42
,,,,,,,2.6,99.0,100.0,17.0,,,,13:20:42
,,,,,,,2.6,99.0,100.0,17.0,,,,13:20:43
,,,,,99.0,101.0,1.3,99.0,100.0,17.0,,,,13:20:43
,,,,,99.0,101.0,1.3,99.0,100.0,17.0,,,,13:20:44
,,,,,99.0,101.0,2.0,99.0,100.0,17.0,,,,13:20:44
,,,,,99.0,101.0,2.0,99.0,100.0,17.0,,,,13:20:45
,,,,,99.0,101.0,2.0,99.0,100.0,17.0,,,,13:20:45
,,,,,99.0,101.0,2.0,99.0,101.0,17.0,,,,13:20:46
,,,,,99.0,101.0,2.4,99.0,101.0,17.0,,,,13:20:46
,,,,,99.0,101.0,2.4,99.0,101.0,17.0,,,,13:20:47
,,,,,99.0,101.0,2.4,99.0,101.0,17.0,,,,13:20:47
,,,,,99.0,101.0,2.4,99.0,101.0,17.0,,,,13:20:48
,,,,,99.0,102.0,2.4,99.0,101.0,17.0,,,,13:20:48
,,,,,99.0,102.0,2.4,99.0,101.0,17.0,,,,13:20:49
,,,,,99.0,102.0,2.3,99.0,101.0,17.0,,,,13:20:49
,,,,,99.0,102.0,2.3,99.0,102.0,17.0,,,,13:20:50
,,,,,98.0,102.0,2.2,99.0,102.0,17.0,,,,13:20:51
,,,,,98.0,102.0,2.2,99.0,102.0,17.0,,,,13:20:51
,,,,,98.0,102.0,2.2,99.0,101.0,14.0,,,,13:20:52
,,,,,98.0,103.0,2.1,99.0,101.0,14.0,,,,13:20:52
,,,,,98.0,103.0,2.1,99.0,101.0,14.0,,,,13:20:53
,,,,,98.0,102.0,1.9,99.0,101.0,14.0,,,,13:20:53
,,,,,98.0,102.0,1.9,99.0,101.0,14.0,,,,13:20:54
,,,,,98.0,101.0,1.8,99.0,101.0,14.0,,,,13:20:54
,,,,,98.0,101.0,1.8,99.0,101.0,14.0,,,,13:20:55
,,,,,99.0,102.0,1.6,99.0,101.0,14.0,,,,13:20:55
,,,,,99.0,102.0,1.6,99.0,101.0,11.0,,,,13:20:56
,,,,,99.0,102.0,1.4,99.0,101.0,11.0,,,,13:20:56
,,,,,99.0,102.0,1.4,99.0,101.0,11.0,,,,13:20:57
,,,,,99.0,101.0,1.4,99.0,102.0,19.0,,,,13:20:58
,,,,,99.0,102.0,1.4,99.0,102.0,19.0,,,,13:20:58
,,,,,99.0,102.0,1.4,99.0,102.0,19.0,,,,13:20:59
,,,,,100.0,102.0,1.4,99.0,102.0,19.0,,,,13:20:59
,,,,,100.0,102.0,1.4,99.0,99.0,14.0,,,,13:21:00
,,,,,100.0,102.0,1.4,99.0,99.0,14.0,,,,13:21:00
,,,,,100.0,102.0,1.4,99.0,99.0,14.0,,,,13:21:01
,,,,,100.0,101.0,1.4,99.0,99.0,14.0,,,,13:21:01
,,,,,100.0,101.0,1.4,99.0,100.0,13.0,,,,13:21:02
,,,,,100.0,101.0,1.4,99.0,100.0,13.0,,,,13:21:02
,,,,,100.0,101.0,1.4,99.0,100.0,13.0,,,,13:21:03
,,,,,100.0,100.0,1.4,99.0,100.0,13.0,,,,13:21:03
,,,,,100.0,100.0,1.4,99.0,101.0,10.0,,,,13:21:04
,,,,,99.0,99.0,1.5,99.0,101.0,10.0,,,,13:21:04
,,,,,99.0,99.0,1.5,99.0,101.0,10.0,,,,13:21:05
,,,,,99.0,98.0,1.4,99.0,101.0,10.0,,,,13:21:05
,,,,,99.0,98.0,1.4,99.0,101.0,10.0,,,,13:21:06
,,,,,99.0,99.0,1.3,99.0,101.0,10.0,,,,13:21:06
,,,,,99.0,99.0,1.3,99.0,101.0,10.0,,,,13:21:07
,,,,,99.0,99.0,1.3,99.0,100.0,10.0,,,,13:21:07
,,,,,99.0,99.0,1.3,99.0,100.0,10.0,,,,13:21:08
,,,,,99.0,99.0,1.3,99.0,99.0,10.0,,,,13:21:08
,,,,,99.0,99.0,1.3,99.0,99.0,10.0,,,,13:21:08
,,,,,99.0,99.0,1.3,99.0,99.0,10.0,,,,13:21:09
,,,,,99.0,100.0,1.2,99.0,99.0,10.0,,,,13:21:09
,,,,,99.0,100.0,1.2,99.0,96.0,11.0,,,,13:21:10
,,,,,99.0,100.0,1.2,99.0,96.0,11.0,,,,13:21:10
,,,,,99.0,100.0,1.2,99.0,96.0,11.0,,,,13:21:11
,,,,,99.0,100.0,1.2,99.0,96.0,11.0,,,,13:21:11
,,,,,99.0,100.0,1.2,99.0,96.0,12.0,,,,13:21:12
,,,,,99.0,99.0,1.2,99.0,96.0,12.0,,,,13:21:12
,,,,,99.0,99.0,1.2,99.0,96.0,12.0,,,,13:21:13
,,,,,99.0,97.0,1.2,99.0,96.0,12.0,,,,13:21:13
,,,,,99.0,97.0,1.2,99.0,96.0,12.0,,,,13:21:14
,,,,,99.0,97.0,1.2,99.0,96.0,12.0,,,,13:21:14
,,,,,99.0,97.0,1.2,99.0,96.0,12.0,,,,13:21:15
,,,,,99.0,97.0,1.3,99.0,96.0,12.0,,,,13:21:15
,,,,,99.0,97.0,1.3,99.0,98.0,16.0,,,,13:21:16
,,,,,99.0,96.0,1.5,99.0,98.0,16.0,,,,13:21:16
,,,,,99.0,96.0,1.5,99.0,98.0,16.0,,,,13:21:17
,,,,,99.0,97.0,1.7,99.0,98.0,16.0,,,,13:21:17
,,,,,99.0,97.0,1.7,99.0,98.0,18.0,,,,13:21:18
,,,,,99.0,98.0,1.8,99.0,98.0,18.0,,,,13:21:18
,,,,,99.0,98.0,1.8,99.0,98.0,18.0,,,,13:21:19
,,,,,99.0,99.0,1.9,99.0,98.0,18.0,,,,13:21:19
,,,,,99.0,99.0,1.9,99.0,97.0,18.0,,,,13:21:20
,,,,,99.0,99.0,1.9,99.0,97.0,18.0,,,,13:21:20
1.0,,,,,99.0,99.0,1.9,99.0,97.0,18.0,,,,13:21:21
1.0,,,,,99.0,99.0,2.0,99.0,97.0,18.0,,,,13:21:21
,,,,,99.0,99.0,2.0,99.0,100.0,23.0,,,,13:21:22
,,,,,99.0,99.0,2.1,99.0,100.0,23.0,,,,13:21:22
,,,,,99.0,99.0,2.1,99.0,100.0,23.0,,,,13:21:23
,,,,,99.0,100.0,2.2,99.0,100.0,23.0,,,,13:21:23
,,,,,99.0,100.0,2.2,99.0,97.0,21.0,,,,13:21:24
,,,,,99.0,100.0,2.3,99.0,97.0,21.0,,,,13:21:24
,,,,,99.0,100.0,2.3,99.0,97.0,21.0,,,,13:21:25
,,,,,99.0,100.0,2.4,99.0,97.0,21.0,,,,13:21:25
,,,,,99.0,100.0,2.4,99.0,93.0,13.0,,,,13:21:26
,,,,,99.0,97.0,2.4,99.0,93.0,13.0,,,,13:21:26
,,,,,99.0,97.0,2.4,99.0,93.0,13.0,,,,13:21:27
,,,,,99.0,96.0,2.4,99.0,92.0,10.0,,,,13:21:28
,,,,,99.0,94.0,2.3,99.0,92.0,10.0,,,,13:21:28
,,,,,99.0,94.0,2.3,99.0,92.0,10.0,,,,13:21:29
,,,,,99.0,92.0,1.8,99.0,92.0,10.0,,,,13:21:29
,,,,,99.0,92.0,1.8,99.0,91.0,10.0,,,,13:21:30
,,,,,99.0,89.0,1.5,99.0,91.0,10.0,,,,13:21:30
,,,,,99.0,89.0,1.5,99.0,91.0,10.0,,,,13:21:31
,,,,,99.0,89.0,1.5,99.0,91.0,10.0,,,,13:21:31
,,,,,99.0,89.0,1.5,99.0,89.0,12.0,,,,13:21:32
,,,,,99.0,88.0,1.3,99.0,89.0,12.0,,,,13:21:32
,,,,,99.0,88.0,1.3,99.0,89.0,12.0,,,,13:21:33
,,,,,99.0,87.0,1.2,99.0,89.0,12.0,,,,13:21:33
,,,,,99.0,87.0,1.2,99.0,89.0,12.0,,,,13:21:34
,,,,,99.0,87.0,1.2,99.0,89.0,12.0,,,,13:21:34
,,,,,99.0,87.0,1.2,99.0,89.0,12.0,,,,13:21:35
,,,,,99.0,88.0,1.1,99.0,89.0,12.0,,,,13:21:35
,,,,,99.0,88.0,1.1,99.0,88.0,12.0,,,,13:21:36
