Sample,ETCO2,ETO2,ScalcO2,RR,dev55_SpO2,dev55_HR,dev55_PI,dev59_SpO2,dev59_HR,dev59_PI,Timestamp
,,,,,,,,,,255.0,13:18:02
,,,,,,,,97.0,,116.0,13:18:02
,,,,,,,,97.0,,177.0,13:18:03
1.0,,,,,,,,96.0,,132.0,13:18:03
,,,,,,,,96.0,47.0,100.0,13:18:04
,,,,,,,,97.0,46.0,87.0,13:18:04
,,,,,,,,97.0,46.0,90.0,13:18:05
,,,,,,,,97.0,46.0,100.0,13:18:05
,,,,,,,,97.0,45.0,103.0,13:18:06
,,,,,,,,97.0,45.0,111.0,13:18:06
,,,,,,,,97.0,45.0,112.0,13:18:07
,,,,,,,,97.0,46.0,111.0,13:18:07
,,,,,,,,98.0,47.0,109.0,13:18:08
,,,,,,,,98.0,48.0,110.0,13:18:08
,,,,,,,,98.0,49.0,113.0,13:18:09
,,,,,,,,98.0,49.0,113.0,13:18:09
,,,,,,,,98.0,49.0,113.0,13:18:10
,,,,,,,,98.0,49.0,113.0,13:18:10
,,,,,,,,97.0,50.0,106.0,13:18:11
,,,,,,,,97.0,50.0,123.0,13:18:11
,,,,,,,,97.0,51.0,126.0,13:18:12
,,,,,,,,97.0,51.0,131.0,13:18:12
,,,,,,,,97.0,50.0,111.0,13:18:13
,,,,,,,,97.0,50.0,117.0,13:18:13
,,,,,,,,97.0,49.0,126.0,13:18:14
,,,,,,,,97.0,49.0,112.0,13:18:14
,,,,,,,,97.0,51.0,116.0,13:18:15
,,,,,,,,97.0,52.0,119.0,13:18:15
,,,,,,,,97.0,52.0,94.0,13:18:16
,,,,,,,,97.0,53.0,89.0,13:18:16
,,,,,,,,97.0,53.0,102.0,13:18:17
,,,,,,,,97.0,53.0,107.0,13:18:17
,,,,,,,,97.0,53.0,107.0,13:18:18
,,,,,,,,97.0,52.0,107.0,13:18:18
,,,,,,,,98.0,52.0,110.0,13:18:19
,,,,,,,,98.0,52.0,108.0,13:18:19
,,,,,,,,98.0,52.0,109.0,13:18:20
,,,,,,,,98.0,51.0,117.0,13:18:20
,,,,,,,,97.0,51.0,113.0,13:18:21
,,,,,,,,97.0,51.0,118.0,13:18:21
,,,,,,,,97.0,51.0,118.0,13:18:22
,,,,,,,,97.0,51.0,109.0,13:18:22
,,,,,,,,97.0,52.0,109.0,13:18:23
,,,,,,,,97.0,52.0,109.0,13:18:23
,,,,,,,,97.0,52.0,109.0,13:18:24
,,,,,,,,97.0,52.0,109.0,13:18:24
,,,,12.0,,,,97.0,52.0,107.0,13:18:25
,,,,22.0,,,,97.0,57.0,82.0,13:18:25
,,,,,,,,97.0,57.0,81.0,13:18:26
,,,,,,,,97.0,57.0,71.0,13:18:26
,,,,,,,,98.0,58.0,50.0,13:18:27
,,,,,,,,98.0,59.0,53.0,13:18:27
,,,,,,,,98.0,62.0,69.0,13:18:28
,,,,,,,,98.0,64.0,65.0,13:18:28
,,,,,,,,98.0,64.0,56.0,13:18:29
,,,,,,,,98.0,65.0,68.0,13:18:29
,,,,,,,,99.0,64.0,68.0,13:18:30
,,,,,,,,99.0,64.0,66.0,13:18:30
,,,,,,,,99.0,63.0,81.0,13:18:31
,,,,,,,,99.0,62.0,82.0,13:18:31
,,,,,,,,98.0,62.0,73.0,13:18:32
,,,,,,,,98.0,63.0,69.0,13:18:32
,,,,,,,,98.0,64.0,72.0,13:18:33
,,,,,,,,98.0,63.0,75.0,13:18:33
,,,,,,,,98.0,62.0,78.0,13:18:34
,33.222092,122.271356,99.08884,14.0,,,,98.0,61.0,83.0,13:18:34
,33.222092,122.271356,99.08884,14.0,,,,98.0,62.0,83.0,13:18:35
,33.222092,122.271356,99.08884,14.0,,,,98.0,62.0,75.0,13:18:35
,33.222092,122.271356,99.08884,14.0,,,,98.0,62.0,75.0,13:18:36
,33.222092,122.271356,99.08884,14.0,,,,98.0,63.0,67.0,13:18:36
,33.222092,122.271356,99.08884,14.0,,,,98.0,63.0,67.0,13:18:37
,33.222092,122.271356,99.08884,14.0,,,,98.0,63.0,67.0,13:18:37
,33.222092,122.271356,99.08884,14.0,,,,98.0,63.0,67.0,13:18:38
,33.222092,122.271356,99.08884,14.0,,,,98.0,63.0,67.0,13:18:38
,33.222092,122.271356,99.08884,14.0,,,,98.0,63.0,69.0,13:18:39
,38.134705,118.739164,98.903777,13.0,,,,98.0,65.0,74.0,13:18:39
,38.134705,118.739164,98.903777,13.0,,,,98.0,63.0,86.0,13:18:40
,38.134705,118.739164,98.903777,13.0,,,,98.0,62.0,86.0,13:18:40
,38.134705,118.739164,98.903777,13.0,,,,98.0,61.0,86.0,13:18:41
,38.134705,118.739164,98.903777,13.0,,,,98.0,61.0,89.0,13:18:41
,38.134705,118.739164,98.903777,13.0,,,,98.0,57.0,107.0,13:18:42
,38.134705,118.739164,98.903777,13.0,,,,98.0,55.0,113.0,13:18:42
,38.134705,118.739164,98.903777,13.0,,,,98.0,54.0,109.0,13:18:43
,38.134705,118.739164,98.903777,13.0,,,,98.0,51.0,113.0,13:18:43
,38.134705,118.739164,98.903777,13.0,,,,98.0,52.0,113.0,13:18:44
,38.669636,117.086281,98.845272,13.0,,,,98.0,51.0,103.0,13:18:44
,38.669636,117.086281,98.845272,13.0,,,,98.0,50.0,101.0,13:18:45
,38.669636,117.086281,98.845272,13.0,,,,98.0,49.0,101.0,13:18:45
,38.669636,117.086281,98.845272,13.0,,,,98.0,48.0,105.0,13:18:46
,38.669636,117.086281,98.845272,13.0,,,,98.0,48.0,105.0,13:18:46
,38.669636,117.086281,98.845272,13.0,,,,98.0,47.0,110.0,13:18:47
,38.669636,117.086281,98.845272,13.0,,,,98.0,48.0,111.0,13:18:47
,38.669636,117.086281,98.845272,13.0,,,,98.0,47.0,93.0,13:18:48
,38.669636,117.086281,98.845272,13.0,,,,98.0,47.0,92.0,13:18:48
,37.577576,117.086281,98.868472,13.0,,,,98.0,47.0,102.0,13:18:49
,37.577576,117.086281,98.868472,13.0,,,,98.0,46.0,104.0,13:18:49
,37.577576,117.086281,98.868472,13.0,,,,98.0,46.0,106.0,13:18:50
,37.577576,117.086281,98.868472,13.0,,,,98.0,46.0,111.0,13:18:50
,37.577576,117.086281,98.868472,13.0,,,,98.0,46.0,111.0,13:18:51
,37.577576,117.086281,98.868472,13.0,,,,98.0,46.0,111.0,13:18:51
,37.577576,80.558878,96.549549,13.0,,,,98.0,46.0,111.0,13:18:52
,37.577576,80.558159,96.549458,13.0,,,,98.0,46.0,111.0,13:18:52
,37.577576,80.558159,96.549458,13.0,,,,98.0,46.0,111.0,13:18:53
,37.577576,80.558159,96.549458,13.0,,,,98.0,47.0,111.0,13:18:53
,37.577576,80.558159,96.549458,13.0,,,,98.0,48.0,109.0,13:18:54
,37.577576,80.558159,96.549458,13.0,,,,98.0,50.0,106.0,13:18:54
,40.565048,80.558159,96.344284,12.0,,,,98.0,51.0,99.0,13:18:55
,40.565048,80.558159,96.344284,12.0,,,,98.0,50.0,96.0,13:18:55
,40.565048,83.792427,96.746273,12.0,,,,98.0,50.0,90.0,13:18:56
,40.565048,83.792427,96.746273,12.0,,,,98.0,51.0,99.0,13:18:56
,40.565048,83.792427,96.746273,12.0,,,,98.0,55.0,81.0,13:18:57
,40.565048,83.792427,96.746273,12.0,,,,98.0,53.0,88.0,13:18:57
,40.817413,83.792427,96.731086,13.0,,,,98.0,53.0,80.0,13:18:58
,40.817413,88.561639,97.226996,13.0,,,,98.0,54.0,41.0,13:18:58
,40.817413,88.561639,97.226996,13.0,,,,98.0,55.0,45.0,13:18:59
,40.565048,83.792427,96.746273,12.0,,,,98.0,54.0,65.0,13:18:59
,40.565048,83.792427,96.746273,12.0,,,,98.0,54.0,86.0,13:19:00
,40.565048,83.792427,96.746273,12.0,,,,98.0,54.0,80.0,13:19:00
,42.25502,83.792427,96.645073,11.0,,,,98.0,52.0,92.0,13:19:01
,42.25502,85.433015,96.83287,11.0,,,,99.0,53.0,99.0,13:19:01
,42.25502,85.433015,96.83287,11.0,,,,99.0,53.0,101.0,13:19:02
,40.565048,83.792427,96.746273,12.0,,,,99.0,52.0,114.0,13:19:02
,40.565048,83.792427,96.746273,12.0,,,,99.0,53.0,114.0,13:19:03
,42.914375,83.375717,96.555291,10.0,,,,99.0,52.0,116.0,13:19:03
,42.914375,83.375717,96.555291,10.0,,,,99.0,54.0,119.0,13:19:04
,42.914375,83.375717,96.555291,10.0,,,,99.0,54.0,97.0,13:19:04
,40.565048,83.375717,96.697833,12.0,,,,99.0,52.0,111.0,13:19:05
,40.565048,83.375717,96.697833,12.0,,,,99.0,52.0,111.0,13:19:05
,43.411457,83.375717,96.525417,10.0,,,,99.0,52.0,111.0,13:19:06
,43.411457,81.115632,96.230454,10.0,,,,99.0,52.0,111.0,13:19:06
,43.411457,81.115632,96.230454,10.0,,,,99.0,54.0,100.0,13:19:07
,40.565048,81.115632,96.418023,12.0,,,,99.0,56.0,98.0,13:19:07
,40.565048,81.115632,96.418023,12.0,,,,99.0,56.0,99.0,13:19:08
,44.533436,81.115632,96.157489,9.0,,,,99.0,57.0,110.0,13:19:08
,44.533436,78.418657,95.753461,9.0,,,,99.0,57.0,100.0,13:19:09
,44.533436,78.418657,95.753461,9.0,,,,99.0,57.0,98.0,13:19:09
,44.533436,78.418657,95.753461,9.0,,,,99.0,57.0,98.0,13:19:10
,40.565048,78.418657,96.042202,12.0,,,,99.0,58.0,107.0,13:19:10
,44.9445,78.418657,95.723983,9.0,,,,99.0,58.0,107.0,13:19:11
,44.9445,75.801997,95.274558,23.0,,,,99.0,58.0,107.0,13:19:11
,44.9445,75.801997,95.274558,23.0,,,,99.0,58.0,107.0,13:19:12
,44.9445,75.801997,95.274558,9.0,,,,98.0,58.0,107.0,13:19:12
,44.9445,75.801997,95.274558,24.0,,,,98.0,58.0,107.0,13:19:13
,44.9445,75.801997,95.274558,9.0,,,,98.0,58.0,107.0,13:19:13
,44.955307,73.9039,94.90879,24.0,,,,98.0,58.0,107.0,13:19:14
,44.955307,73.9039,94.90879,24.0,,,,98.0,59.0,116.0,13:19:14
,44.955307,73.9039,94.90879,12.0,,,,98.0,59.0,116.0,13:19:15
,44.955307,73.9039,94.90879,24.0,,,,98.0,59.0,116.0,13:19:15
,45.014889,73.9039,94.903695,24.0,,,,98.0,59.0,116.0,13:19:16
,45.014889,72.473235,94.60402,24.0,,,,98.0,58.0,114.0,13:19:16
,45.014889,72.473235,94.60402,24.0,,,,98.0,58.0,114.0,13:19:17
,45.014889,72.473235,94.60402,24.0,,,,98.0,58.0,114.0,13:19:17
,45.014889,72.473235,94.60402,24.0,,,,98.0,58.0,114.0,13:19:18
,45.014889,72.473235,94.60402,24.0,,,,98.0,58.0,119.0,13:19:18
,45.43269,70.613418,94.138868,24.0,,,,98.0,58.0,119.0,13:19:19
,45.43269,70.613418,94.138868,24.0,,,,98.0,58.0,119.0,13:19:19
,45.43269,70.613418,94.138868,24.0,,,,98.0,58.0,119.0,13:19:20
,45.43269,70.613418,94.138868,24.0,,,,97.0,58.0,119.0,13:19:20
,45.105812,70.613418,94.170759,24.0,,,,97.0,58.0,119.0,13:19:21
,45.105812,69.626918,93.927832,24.0,,,,97.0,58.0,119.0,13:19:21
,45.105812,69.626918,93.927832,24.0,,,,97.0,58.0,119.0,13:19:22
