Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,Timestamp
,,,,,100.0,71.0,0.5,,,,09:38:31
,,,,,100.0,71.0,0.5,100.0,70.0,3.0,09:38:32
,,,,,100.0,71.0,0.5,100.0,70.0,3.0,09:38:32
,,,,,100.0,71.0,0.5,100.0,71.0,2.0,09:38:32
,,,,,100.0,71.0,0.5,100.0,71.0,2.0,09:38:33
,,,,,100.0,70.0,0.5,100.0,70.0,2.0,09:38:33
,,,,,100.0,70.0,0.5,100.0,70.0,3.0,09:38:34
,,,,,100.0,71.0,0.5,100.0,70.0,2.0,09:38:35
,,,,,100.0,71.0,0.5,100.0,70.0,4.0,09:38:35
,,,,,100.0,71.0,0.5,100.0,71.0,2.0,09:38:35
,,,,,100.0,71.0,0.5,100.0,71.0,2.0,09:38:36
,,,,,100.0,71.0,0.5,100.0,71.0,2.0,09:38:36
,,,,,100.0,71.0,0.5,100.0,71.0,2.0,09:38:37
,,,,,100.0,71.0,0.5,100.0,71.0,2.0,09:38:37
,,,,,100.0,71.0,0.5,100.0,72.0,2.0,09:38:38
,,,,,100.0,71.0,0.5,100.0,71.0,3.0,09:38:38
,,,,,100.0,71.0,0.5,100.0,71.0,2.0,09:38:39
,,,,,100.0,71.0,0.5,100.0,70.0,2.0,09:38:39
,,,,,100.0,71.0,0.5,100.0,69.0,3.0,09:38:40
,,,,,100.0,71.0,0.5,100.0,68.0,3.0,09:38:40
,,,,,100.0,69.0,0.5,100.0,68.0,3.0,09:38:41
,,,,,100.0,69.0,0.5,100.0,67.0,3.0,09:38:41
,,,,,100.0,69.0,0.5,100.0,68.0,3.0,09:38:42
,,,,,100.0,69.0,0.5,100.0,67.0,3.0,09:38:42
,,,,,100.0,70.0,0.5,100.0,67.0,3.0,09:38:43
,,,,,100.0,70.0,0.5,100.0,67.0,3.0,09:38:43
,,,,,100.0,70.0,0.5,100.0,67.0,3.0,09:38:44
,,,,,100.0,70.0,0.5,100.0,67.0,3.0,09:38:44
,,,,,100.0,71.0,0.5,100.0,67.0,3.0,09:38:45
,,,,,100.0,71.0,0.5,100.0,67.0,3.0,09:38:45
,,,,,100.0,71.0,0.5,100.0,67.0,3.0,09:38:46
,,,,,100.0,71.0,0.5,100.0,67.0,3.0,09:38:46
,,,,,100.0,68.0,0.5,100.0,67.0,3.0,09:38:47
,,,,,100.0,68.0,0.5,100.0,67.0,3.0,09:38:47
,,,,,100.0,68.0,0.5,100.0,67.0,3.0,09:38:48
,,,,,100.0,68.0,0.5,100.0,67.0,3.0,09:38:48
,,,,,100.0,68.0,0.5,100.0,67.0,3.0,09:38:49
,,,,,100.0,69.0,0.5,100.0,67.0,3.0,09:38:49
,,,,,100.0,68.0,0.5,100.0,67.0,3.0,09:38:50
,,,,,100.0,68.0,0.5,100.0,67.0,3.0,09:38:50
,,,,,100.0,68.0,0.5,100.0,67.0,3.0,09:38:51
,,,,,100.0,67.0,0.5,100.0,67.0,3.0,09:38:51
,,,,,100.0,66.0,0.5,100.0,67.0,3.0,09:38:52
,,,,,100.0,68.0,0.5,100.0,67.0,3.0,09:38:52
,,,,53.0,100.0,68.0,0.5,100.0,67.0,3.0,09:38:53
,,,,,100.0,68.0,0.5,100.0,67.0,3.0,09:38:53
,,,,,100.0,68.0,0.5,100.0,67.0,3.0,09:38:54
,,,,,100.0,68.0,0.5,100.0,67.0,3.0,09:38:54
,,,,,100.0,68.0,0.5,100.0,67.0,3.0,09:38:55
,,,,,100.0,66.0,0.5,100.0,67.0,3.0,09:38:55
,,,,,100.0,66.0,0.5,100.0,67.0,3.0,09:38:56
,,,,,100.0,66.0,0.5,100.0,67.0,3.0,09:38:56
,,,,,100.0,66.0,0.5,100.0,67.0,3.0,09:38:57
,,,,,100.0,67.0,0.5,100.0,67.0,3.0,09:38:57
,,,,,100.0,69.0,0.5,100.0,67.0,3.0,09:38:58
,,,,,100.0,70.0,0.5,100.0,67.0,3.0,09:38:58
,,,,,100.0,71.0,0.5,100.0,67.0,3.0,09:38:59
,,,,,100.0,71.0,0.5,100.0,67.0,3.0,09:38:59
,20.234138,,,4.0,100.0,71.0,0.5,100.0,67.0,3.0,09:39:00
,20.234138,,,4.0,100.0,71.0,0.5,100.0,67.0,3.0,09:39:00
,20.234138,128.349255,99.296212,,100.0,73.0,0.5,100.0,67.0,3.0,09:39:01
,20.234138,128.349255,99.296212,,100.0,73.0,0.5,100.0,67.0,3.0,09:39:01
,20.234138,128.349255,99.296212,,100.0,75.0,0.5,100.0,67.0,3.0,09:39:02
,20.234138,128.349255,99.296212,,100.0,75.0,0.5,100.0,67.0,3.0,09:39:03
,20.234138,128.349255,99.296212,,100.0,76.0,0.5,100.0,67.0,3.0,09:39:03
,20.234138,128.349255,99.296212,,100.0,76.0,0.5,100.0,67.0,3.0,09:39:04
,20.234138,128.349255,99.296212,,100.0,76.0,0.5,100.0,73.0,3.0,09:39:04
,20.234138,128.349255,99.296212,,100.0,76.0,0.5,100.0,73.0,3.0,09:39:05
