Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,dev64_SpO2,dev64_HR,dev64_PI,Timestamp
,,,,,,,,,,255.0,,,,13:15:42
,,,,,,,,,,255.0,,,,13:15:43
,,,,,,,,,,255.0,,,,13:15:43
,,,,,,,,,,255.0,,,,13:15:44
,,,,,,,,,,255.0,,,,13:15:44
,,,,,,,,,,255.0,,,,13:15:45
,,,,,,,,,,255.0,,,,13:15:45
,,,,,,,,,,85.0,,,,13:15:46
,,,,,,,,,,16.0,,,,13:15:46
,,,,,,,,,,16.0,,,,13:15:47
,,,,,,,,,,16.0,,,,13:15:47
,,,,,,,,,,16.0,,,,13:15:48
,,,,,,,,99.0,93.0,30.0,,,,13:15:48
,,,,,,,,99.0,93.0,30.0,,,,13:15:49
,,,,,,,,99.0,93.0,30.0,,,,13:15:49
,,,,,,,,99.0,93.0,30.0,,,,13:15:50
,,,,,,,,99.0,93.0,23.0,,,,13:15:50
,,,,,,,,99.0,93.0,23.0,,,,13:15:51
,,,,,,,,99.0,93.0,23.0,,,,13:15:51
,,,,,,,,99.0,93.0,23.0,,,,13:15:52
,,,,,,,,99.0,93.0,27.0,,,,13:15:52
,,,,,,,,99.0,93.0,27.0,,,,13:15:53
,,,,,,,,99.0,93.0,27.0,,,,13:15:53
,,,,,,,,99.0,93.0,27.0,,,,13:15:54
,,,,,,,,99.0,92.0,29.0,,,,13:15:54
,,,,,,,,99.0,92.0,29.0,,,,13:15:55
,,,,,,,,99.0,92.0,29.0,,,,13:15:55
,,,,,,,,99.0,92.0,29.0,,,,13:15:56
,,,,,,,,99.0,93.0,28.0,,,,13:15:56
,,,,,,,,99.0,93.0,28.0,,,,13:15:57
,,,,,,,,99.0,93.0,28.0,,,,13:15:57
,,,,,,,,99.0,93.0,28.0,,,,13:15:58
,,,,,,,,99.0,93.0,28.0,,,,13:15:58
,,,,,,,,99.0,93.0,28.0,,,,13:15:59
