Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,Timestamp
,,,,,99.0,85.0,3.9,,,,14:28:13
,,,,,99.0,85.0,4.0,99.0,85.0,10.0,14:28:14
,,,,,99.0,85.0,4.1,99.0,86.0,9.0,14:28:14
,,,,,99.0,84.0,4.1,99.0,83.0,11.0,14:28:15
,,,,,99.0,84.0,4.1,99.0,84.0,11.0,14:28:15
,,,,,99.0,85.0,4.1,99.0,87.0,10.0,14:28:16
,,,,,99.0,85.0,4.2,99.0,88.0,23.0,14:28:16
,,,,,99.0,86.0,4.3,99.0,88.0,13.0,14:28:17
,,,,,99.0,86.0,4.3,99.0,88.0,13.0,14:28:17
,,,,,99.0,83.0,4.4,99.0,88.0,13.0,14:28:18
,,,,,99.0,85.0,4.4,99.0,88.0,13.0,14:28:18
,,,,,99.0,84.0,4.5,99.0,88.0,10.0,14:28:19
,,,,,99.0,83.0,4.6,99.0,88.0,10.0,14:28:19
,,,,,99.0,86.0,4.7,99.0,88.0,10.0,14:28:20
,,,,,99.0,86.0,4.7,99.0,88.0,10.0,14:28:20
,,,,,99.0,85.0,4.8,99.0,89.0,12.0,14:28:21
,,,,,99.0,85.0,4.8,99.0,89.0,12.0,14:28:21
,,,,,99.0,85.0,4.9,99.0,89.0,12.0,14:28:22
,,,,,99.0,82.0,5.0,99.0,89.0,12.0,14:28:22
,,,,,99.0,82.0,5.1,99.0,87.0,11.0,14:28:23
,,,,,99.0,82.0,5.1,99.0,87.0,11.0,14:28:23
,,,,,99.0,83.0,5.2,99.0,87.0,11.0,14:28:24
,,,,,99.0,82.0,5.2,99.0,87.0,11.0,14:28:24
,,,,,99.0,82.0,5.3,99.0,88.0,11.0,14:28:25
,,,,,99.0,82.0,5.3,99.0,88.0,11.0,14:28:25
,,,,,99.0,84.0,5.3,99.0,88.0,11.0,14:28:26
,,,,,99.0,84.0,5.3,99.0,88.0,11.0,14:28:26
,,,,,99.0,84.0,5.4,99.0,86.0,10.0,14:28:27
,,,,,99.0,84.0,5.4,99.0,86.0,10.0,14:28:27
,,,,,99.0,88.0,5.4,99.0,86.0,10.0,14:28:28
,,,,,99.0,88.0,5.4,99.0,86.0,10.0,14:28:28
,,,,,99.0,88.0,5.4,99.0,85.0,9.0,14:28:29
,,,,,99.0,88.0,5.4,99.0,85.0,9.0,14:28:29
,,,,,99.0,85.0,5.3,99.0,85.0,9.0,14:28:30
,,,,,99.0,85.0,5.3,99.0,85.0,9.0,14:28:30
,,,,,99.0,84.0,5.3,99.0,85.0,9.0,14:28:31
,,,,,99.0,84.0,5.3,99.0,85.0,9.0,14:28:31
,,,,,99.0,84.0,5.2,99.0,85.0,9.0,14:28:32
,,,,,99.0,84.0,5.2,100.0,85.0,10.0,14:28:32
,,,,,99.0,84.0,5.2,100.0,87.0,10.0,14:28:33
,,,,,99.0,84.0,5.2,100.0,87.0,10.0,14:28:33
,,,,,99.0,85.0,5.2,100.0,87.0,10.0,14:28:34
,,,,,99.0,85.0,5.2,100.0,87.0,10.0,14:28:34
,,,,,99.0,85.0,5.2,100.0,91.0,12.0,14:28:35
,,,,,99.0,85.0,5.2,100.0,91.0,12.0,14:28:35
,,,,,99.0,85.0,5.2,100.0,91.0,12.0,14:28:36
,,,,,99.0,85.0,5.2,100.0,91.0,12.0,14:28:36
,,,,,99.0,88.0,5.2,100.0,93.0,9.0,14:28:37
,,,,,99.0,88.0,5.2,100.0,93.0,9.0,14:28:37
,,,,,99.0,88.0,5.3,100.0,93.0,9.0,14:28:38
,,,,,99.0,88.0,5.3,100.0,93.0,9.0,14:28:38
,,,,,99.0,93.0,5.3,100.0,93.0,11.0,14:28:39
,,,,,99.0,93.0,5.3,100.0,93.0,11.0,14:28:39
,,,,,99.0,94.0,5.3,100.0,93.0,11.0,14:28:40
,,,,,99.0,94.0,5.3,100.0,93.0,11.0,14:28:40
,,,,,99.0,95.0,5.3,100.0,89.0,11.0,14:28:41
,,,,,99.0,95.0,5.3,100.0,89.0,11.0,14:28:41
,,,,,99.0,92.0,5.3,100.0,89.0,11.0,14:28:42
,,,,,99.0,92.0,5.3,100.0,89.0,11.0,14:28:42
,,,,,99.0,92.0,5.2,100.0,87.0,12.0,14:28:43
,,,,,99.0,92.0,5.2,100.0,87.0,12.0,14:28:43
,,,,,99.0,90.0,5.2,100.0,87.0,12.0,14:28:44
,,,,,99.0,90.0,5.2,100.0,87.0,12.0,14:28:44
,,,,,99.0,88.0,5.2,99.0,85.0,12.0,14:28:45
,,,,,99.0,88.0,5.2,99.0,85.0,12.0,14:28:45
,,,,,99.0,84.0,5.2,99.0,85.0,12.0,14:28:46
,,,,,99.0,84.0,5.2,99.0,85.0,12.0,14:28:46
,,,,,99.0,83.0,5.2,99.0,85.0,11.0,14:28:47
,,,,,99.0,83.0,5.2,99.0,85.0,11.0,14:28:47
,,,,,99.0,82.0,5.2,99.0,85.0,11.0,14:28:48
,,,,,99.0,82.0,5.2,99.0,85.0,11.0,14:28:48
,,,,,99.0,82.0,5.2,99.0,86.0,11.0,14:28:49
,,,,,99.0,82.0,5.2,99.0,86.0,11.0,14:28:49
,,,,,99.0,82.0,5.2,99.0,86.0,11.0,14:28:50
,,,,,99.0,82.0,5.2,99.0,86.0,11.0,14:28:50
,,,,,99.0,82.0,5.2,99.0,87.0,11.0,14:28:51
