Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,dev64_SpO2,dev64_HR,dev64_PI,Timestamp
,,,,,,,,71.0,71.0,24.0,,,,14:50:10
,,,,,,,,71.0,71.0,24.0,,,,14:50:11
,,,,,,,,71.0,71.0,24.0,,,,14:50:11
,,,,24.0,,,,,,,,,,14:50:12
,,,,30.0,,,,,,,,,,14:50:13
,7.461895,386.60892,99.983156,29.0,,,,,,,,,,14:50:14
,7.534504,386.60892,99.983081,31.0,,,,,,,,,,14:50:14
,7.534504,386.60892,99.983081,31.0,,,,,,,,,,14:50:15
,7.285158,376.02881,99.982096,29.0,,,,,,,,,,14:50:15
,7.285158,376.02881,99.982096,29.0,,,,,,,,,,14:50:16
,6.630754,376.02881,99.982861,30.0,,,,,,,,,,14:50:16
,7.124136,376.02881,99.982281,48.0,,,,,,,,,,14:50:17
,,,,55.0,,,,,,,,,,14:52:32
,,,,55.0,,,,,,,,,,14:53:32
,,,,58.0,,,,,,,,,,15:03:44
,,,,56.0,,,,,,,,,,15:08:26
,,,,,,,,,,,,,821.0,15:09:05
,,,,,,,,,,,,,821.0,15:09:05
,,,,,,,,,,,,,821.0,15:09:05
,,,,,,,,,,,,,821.0,15:09:06
,,,,,,,,,,,,,643.0,15:09:07
,,,,,,,,,,,,,643.0,15:09:07
,,,,,,,,,,,98.0,,562.0,15:09:07
,,,,,,,,,,,98.0,,562.0,15:09:08
,,,,,,,,,,,98.0,64.0,492.0,15:09:09
,,,,,,,,,,,98.0,64.0,492.0,15:09:09
,,,,,,,,,,,98.0,62.0,435.0,15:09:09
,,,,,,,,,,,98.0,62.0,435.0,15:09:10
,,,,,,,,,,,98.0,70.0,389.0,15:09:11
,,,,,,,,,,,98.0,70.0,389.0,15:09:11
,,,,,,,,,,,98.0,70.0,158.0,15:09:11
,,,,,,,,,,,98.0,70.0,158.0,15:09:12
,,,,,,,,,,,98.0,70.0,173.0,15:09:13
,,,,,,,,,,,98.0,70.0,173.0,15:09:13
,,,,,,,,,,,98.0,65.0,168.0,15:09:13
,,,,,,,,,,,98.0,65.0,168.0,15:09:14
,,,,,,,,,,,98.0,65.0,178.0,15:09:15
,,,,,,,,,,,98.0,65.0,178.0,15:09:15
,,,,,,,,,,,98.0,55.0,158.0,15:09:15
,,,,,,,,,,,98.0,55.0,158.0,15:09:16
,,,,,,,,,,,98.0,55.0,161.0,15:09:16
,,,,,,,,,,,98.0,55.0,161.0,15:09:17
,,,,,,,,,,,98.0,54.0,191.0,15:09:17
,,,,,,,,,,,98.0,54.0,191.0,15:09:18
,,,,,,,,,,,98.0,55.0,167.0,15:09:19
,,,,,,,,,,,98.0,55.0,167.0,15:09:19
,,,,,,,,,,,98.0,53.0,161.0,15:09:19
,,,,,,,,,,,98.0,53.0,161.0,15:09:20
,,,,,,,,,,,98.0,53.0,161.0,15:09:21
,,,,,,,,,,,98.0,53.0,161.0,15:09:21
,,,,,,,,,,,98.0,55.0,148.0,15:09:21
,,,,,,,,,,,98.0,55.0,148.0,15:09:22
,,,,,,,,,,,98.0,55.0,150.0,15:09:23
,,,,,,,,,,,98.0,55.0,150.0,15:09:23
,,,,,,,,,,,98.0,50.0,140.0,15:09:23
,,,,,,,,,,,98.0,50.0,140.0,15:09:24
,,,,,,,,,,,98.0,50.0,137.0,15:09:25
,,,,,,,,,,,98.0,50.0,137.0,15:09:25
,,,,,,,,,,,98.0,50.0,130.0,15:09:25
,,,,,,,,,,,98.0,51.0,107.0,15:09:26
,,,,,,,,,,,98.0,51.0,107.0,15:09:27
,,,,,,,,,,,98.0,52.0,104.0,15:09:27
,,,,,,,,,,,98.0,52.0,104.0,15:09:28
,,,,,,,,,,,99.0,50.0,95.0,15:09:28
,,,,,,,,,,,99.0,50.0,95.0,15:09:29
,,,,,,,,,,,99.0,50.0,95.0,15:09:29
,,,,,,,,,,,99.0,50.0,95.0,15:09:30
,,,,,,,,,,,99.0,50.0,95.0,15:09:30
,,,,,,,,,,,99.0,50.0,95.0,15:09:31
,,,,,,,,,,,99.0,50.0,97.0,15:09:31
,,,,,,,,,,,99.0,50.0,97.0,15:09:32
,,,,,,,,,,,99.0,51.0,97.0,15:09:32
,,,,,,,,,,,99.0,51.0,97.0,15:09:33
,,,,,,,,,,,99.0,50.0,97.0,15:09:33
,,,,,,,,,,,99.0,50.0,97.0,15:09:34
,,,,,,,,,,,99.0,50.0,95.0,15:09:34
,,,,,,,,,,,99.0,50.0,95.0,15:09:35
,,,,,,,,,,,99.0,49.0,95.0,15:09:35
,,,,,,,,,,,99.0,49.0,95.0,15:09:36
,,,,,,,,,,,100.0,50.0,95.0,15:09:36
,,,,,,,,,,,100.0,50.0,95.0,15:09:37
,,,,,,,,,,,100.0,50.0,95.0,15:09:37
,,,,,,,,,,,100.0,50.0,95.0,15:09:38
,,,,,,,,,,,100.0,50.0,95.0,15:09:38
,,,,,,,,,,,100.0,50.0,95.0,15:09:39
,,,,,,,,,,,100.0,50.0,93.0,15:09:39
,,,,,,,,,,,100.0,50.0,93.0,15:09:40
,,,,,,,,,,,100.0,50.0,94.0,15:09:40
,,,,,,,,,,,100.0,50.0,94.0,15:09:41
,,,,,,,,,,,100.0,50.0,90.0,15:09:41
,,,,,,,,,,,100.0,50.0,90.0,15:09:42
,,,,,,,,,,,100.0,50.0,91.0,15:09:42
,,,,,,,,,,,100.0,50.0,91.0,15:09:43
,,,,,,,,,,,100.0,50.0,92.0,15:09:43
,,,,,,,,,,,100.0,50.0,92.0,15:09:44
,,,,,,,,,,,100.0,50.0,92.0,15:09:44
,,,,,,,,,,,100.0,50.0,92.0,15:09:45
,,,,,,,,,,,99.0,51.0,92.0,15:09:45
,,,,,,,,,,,99.0,51.0,92.0,15:09:46
,,,,,,,,,,,99.0,50.0,91.0,15:09:46
,,,,,,,,,,,99.0,50.0,91.0,15:09:47
,,,,,,,,,,,99.0,51.0,91.0,15:09:47
,,,,,,,,,,,99.0,51.0,91.0,15:09:48
,,,,,,,,,,,99.0,51.0,90.0,15:09:48
,,,,,,,,,,,99.0,51.0,90.0,15:09:49
,,,,,,,,,,,99.0,51.0,91.0,15:09:49
,,,,,,,,,,,99.0,51.0,91.0,15:09:50
,,,,,,,,,,,99.0,51.0,91.0,15:09:50
,,,,,,,,,,,99.0,51.0,91.0,15:09:51
,,,,,,,,,,,99.0,51.0,90.0,15:09:51
,,,,,,,,,,,99.0,51.0,90.0,15:09:52
,,,,,,,,,,,99.0,51.0,89.0,15:09:52
,,,,,,,,,,,99.0,51.0,89.0,15:09:53
,,,,,,,,,,,99.0,51.0,88.0,15:09:53
,,,,,,,,,,,99.0,51.0,88.0,15:09:54
,,,,,,,,,,,99.0,50.0,90.0,15:09:54
,,,,,,,,,,,99.0,50.0,90.0,15:09:55
,,,,,,,,,,,100.0,51.0,92.0,15:09:55
,,,,,,,,,,,100.0,51.0,92.0,15:09:56
,,,,,,,,,,,100.0,51.0,93.0,15:09:56
,,,,,,,,,,,100.0,51.0,93.0,15:09:57
,,,,,,,,,,,100.0,50.0,95.0,15:09:57
,,,,,,,,,,,100.0,50.0,95.0,15:09:58
,,,,,,,,,,,100.0,51.0,93.0,15:09:58
,,,,,,,,,,,100.0,51.0,93.0,15:09:59
,,,,,,,,,,,100.0,51.0,93.0,15:09:59
,,,,,,,,,,,100.0,51.0,93.0,15:10:00
,,,,,,,,,,,100.0,51.0,93.0,15:10:00
,,,,,,,,,,,100.0,51.0,93.0,15:10:01
,,,,,,,,,,,99.0,51.0,94.0,15:10:01
,,,,,,,,,,,99.0,51.0,94.0,15:10:02
,,,,,,,,,,,99.0,51.0,94.0,15:10:02
,,,,,,,,,,,99.0,51.0,94.0,15:10:03
,,,,,,,,,,,99.0,51.0,93.0,15:10:03
,,,,,,,,,,,99.0,51.0,93.0,15:10:04
,,,,,,,,,,,99.0,51.0,87.0,15:10:04
,,,,,,,,,,,99.0,51.0,87.0,15:10:05
,,,,,,,,,,,99.0,51.0,88.0,15:10:05
,,,,,,,,,,,99.0,51.0,88.0,15:10:06
,,,,,,,,,,,99.0,51.0,88.0,15:10:06
,,,,,,,,,,,99.0,51.0,86.0,15:10:07
,,,,,,,,,,,99.0,51.0,86.0,15:10:07
,,,,,,,,,,,99.0,51.0,88.0,15:10:07
,,,,,,,,,,,99.0,51.0,88.0,15:10:08
,,,,,,,,,,,99.0,51.0,88.0,15:10:09
,,,,,,,,,,,99.0,51.0,88.0,15:10:09
,,,,,,,,,,,99.0,51.0,90.0,15:10:09
,,,,,,,,,,,99.0,51.0,90.0,15:10:10
,,,,,,,,,,,99.0,51.0,91.0,15:10:11
,,,,,,,,,,,99.0,51.0,91.0,15:10:11
,,,,,,,,,,,99.0,51.0,90.0,15:10:11
,,,,,,,,,,,99.0,51.0,90.0,15:10:12
,,,,,,,,,,,99.0,51.0,93.0,15:10:13
,,,,,,,,,,,99.0,51.0,93.0,15:10:13
,,,,,,,,,,,99.0,50.0,94.0,15:10:13
,,,,,,,,,,,99.0,50.0,94.0,15:10:14
,,,,,,,,,,,99.0,51.0,93.0,15:10:15
,,,,,,,,,,,99.0,51.0,93.0,15:10:15
,,,,,,,,,,,99.0,51.0,92.0,15:10:15
,,,,,,,,,,,99.0,51.0,92.0,15:10:16
,,,,,,,,,,,99.0,51.0,92.0,15:10:17
,,,,,,,,,,,99.0,51.0,92.0,15:10:17
,,,,,,,,,,,99.0,51.0,90.0,15:10:17
,,,,,,,,,,,99.0,51.0,90.0,15:10:18
,,,,,,,,,,,99.0,51.0,87.0,15:10:19
,,,,,,,,,,,99.0,51.0,87.0,15:10:19
,,,,,,,,,,,99.0,51.0,85.0,15:10:19
,,,,,,,,,,,99.0,51.0,85.0,15:10:20
,,,,,,,,,,,99.0,51.0,86.0,15:10:21
,,,,,,,,,,,99.0,51.0,86.0,15:10:21
,,,,16.0,,,,,,,99.0,51.0,85.0,15:10:21
,6.417548,,,15.0,,,,,,,99.0,51.0,85.0,15:10:22
,6.417548,,,15.0,,,,,,,99.0,51.0,84.0,15:10:23
,6.813881,148.232776,99.800032,17.0,,,,,,,99.0,51.0,84.0,15:10:23
,6.813881,148.232776,99.800032,17.0,,,,,,,99.0,51.0,83.0,15:10:23
,6.813881,148.232776,99.800032,34.0,,,,,,,99.0,51.0,83.0,15:10:24
,6.813881,148.232776,99.800032,17.0,,,,,,,99.0,52.0,83.0,15:10:25
,7.604506,148.232776,99.784759,17.0,,,,,,,99.0,52.0,83.0,15:10:25
,7.604506,147.642827,99.782433,18.0,,,,,,,99.0,52.0,82.0,15:10:25
,6.793966,147.642827,99.798286,24.0,,,,,,,99.0,52.0,82.0,15:10:26
,8.092249,147.655961,99.773218,28.0,,,,,,,99.0,52.0,82.0,15:10:27
,8.092249,147.580667,99.772904,28.0,,,,,,,99.0,52.0,83.0,15:10:27
,8.40208,147.564793,99.767037,28.0,,,,,,,99.0,52.0,83.0,15:10:28
,8.199484,147.564793,99.770822,30.0,,,,,,,99.0,52.0,83.0,15:10:28
,8.199484,147.564793,99.770822,30.0,,,,,,,99.0,52.0,83.0,15:10:29
,8.199484,147.564793,99.770822,26.0,,,,,,,99.0,52.0,82.0,15:10:29
,8.199484,147.564793,99.770822,24.0,,,,,,,99.0,52.0,82.0,15:10:30
,8.199484,147.564793,99.770822,22.0,,,,,,,99.0,52.0,83.0,15:10:30
,13.09142,147.564793,99.686335,22.0,,,,,,,99.0,52.0,83.0,15:10:31
,13.09142,146.352968,99.678998,21.0,,,,,,,99.0,52.0,84.0,15:10:31
,13.499932,146.352968,99.672303,21.0,,,,,,,99.0,52.0,84.0,15:10:32
,14.546092,146.352968,99.655454,20.0,,,,,,,99.0,51.0,85.0,15:10:32
,14.546092,146.352968,99.655454,20.0,,,,,,,99.0,51.0,85.0,15:10:33
,14.546092,146.352968,99.655454,20.0,,,,,,,99.0,51.0,87.0,15:10:33
,14.546092,146.352968,99.655454,19.0,,,,,,,99.0,51.0,87.0,15:10:34
,14.546092,146.352968,99.655454,20.0,,,,,,,99.0,51.0,86.0,15:10:34
,14.546092,146.352968,99.655454,17.0,,,,,,,99.0,51.0,86.0,15:10:35
,14.546092,146.352968,99.655454,17.0,,,,,,,99.0,51.0,86.0,15:10:35
,16.386124,146.352968,99.626765,22.0,,,,,,,99.0,51.0,86.0,15:10:36
,16.386124,145.342668,99.619328,30.0,,,,,,,99.0,51.0,86.0,15:10:36
,16.655313,145.325225,99.615001,30.0,,,,,,,99.0,51.0,86.0,15:10:37
,17.490595,145.325225,99.602118,18.0,,,,,,,99.0,51.0,86.0,15:10:37
,17.490595,145.325225,99.602118,39.0,,,,,,,99.0,51.0,86.0,15:10:38
,17.521534,145.158624,99.600336,39.0,,,,,,,99.0,51.0,87.0,15:10:38
,17.580317,145.158624,99.599434,46.0,,,,,,,99.0,51.0,87.0,15:10:39
,17.618536,145.158624,99.598849,51.0,,,,,,,99.0,51.0,86.0,15:10:39
,17.581644,145.102903,99.598973,56.0,,,,,,,99.0,51.0,86.0,15:10:40
,17.594589,145.014036,99.598071,,,,,,,,99.0,51.0,87.0,15:10:40
,17.723192,145.014036,99.596096,52.0,,,,,,,99.0,51.0,87.0,15:10:41
,17.812006,145.006412,99.594674,58.0,,,,,,,99.0,51.0,88.0,15:10:41
,17.927788,144.958925,99.592521,46.0,,,,,,,99.0,51.0,88.0,15:10:42
,18.286045,145.039717,99.587719,46.0,,,,,,,99.0,51.0,89.0,15:10:42
,,145.039717,100.0,,,,,,,,99.0,51.0,89.0,15:10:43
,,145.039717,100.0,,,,,,,,99.0,51.0,90.0,15:10:43
,,145.039717,100.0,,,,,,,,99.0,51.0,90.0,15:10:44
,,145.039717,100.0,,,,,,,,99.0,51.0,91.0,15:10:44
,,145.039717,100.0,,,,,,,,99.0,51.0,91.0,15:10:45
,,145.039717,100.0,,,,,,,,99.0,51.0,91.0,15:10:45
,,145.039717,100.0,,,,,,,,99.0,51.0,91.0,15:10:46
,,145.039717,100.0,,,,,,,,99.0,51.0,91.0,15:10:46
,,145.039717,100.0,,,,,,,,99.0,51.0,91.0,15:10:47
,,145.039717,100.0,,,,,,,,99.0,51.0,91.0,15:10:47
,,145.039717,100.0,,,,,,,,99.0,51.0,91.0,15:10:48
,,145.039717,100.0,,,,,,,,99.0,50.0,92.0,15:10:48
,,145.039717,100.0,,,,,,,,99.0,50.0,92.0,15:10:49
,,145.039717,100.0,,,,,,,,99.0,50.0,93.0,15:10:49
,,145.039717,100.0,,,,,,,,99.0,50.0,93.0,15:10:50
,,145.039717,100.0,,,,,,,,99.0,50.0,93.0,15:10:50
,,145.039717,100.0,,,,,,,,99.0,50.0,93.0,15:10:51
,,145.039717,100.0,,,,,,,,99.0,50.0,93.0,15:10:51
,,145.039717,100.0,,,,,,,,99.0,50.0,93.0,15:10:52
,,145.039717,100.0,,,,,,,,99.0,50.0,93.0,15:10:52
,,145.039717,100.0,,,,,,,,99.0,50.0,93.0,15:10:53
,,145.039717,100.0,,,,,,,,99.0,50.0,91.0,15:10:53
,,145.039717,100.0,,,,,,,,99.0,50.0,91.0,15:10:54
,,145.039717,100.0,,,,,,,,99.0,50.0,91.0,15:10:54
,,145.039717,100.0,,,,,,,,99.0,50.0,91.0,15:10:55
,,145.039717,100.0,,,,,,,,99.0,51.0,88.0,15:10:55
,,145.039717,100.0,,,,,,,,99.0,51.0,88.0,15:10:56
,,145.039717,100.0,,,,,,,,99.0,51.0,88.0,15:10:56
,,145.039717,100.0,,,,,,,,99.0,51.0,88.0,15:10:57
,,145.039717,100.0,,,,,,,107.0,99.0,51.0,88.0,15:10:57
,,145.039717,100.0,,,,,,,107.0,99.0,51.0,85.0,15:10:57
,,145.039717,100.0,,,,,,,107.0,99.0,51.0,85.0,15:10:58
,,145.039717,100.0,,,,,,,107.0,99.0,51.0,84.0,15:10:59
,,145.039717,100.0,,,,,,,107.0,99.0,51.0,84.0,15:10:59
,,145.039717,100.0,,,,,,,107.0,99.0,51.0,86.0,15:10:59
,,145.039717,100.0,,,,,,,107.0,99.0,51.0,86.0,15:11:00
,,145.039717,100.0,,,,,,,107.0,99.0,51.0,86.0,15:11:01
,,145.039717,100.0,,,,,,,255.0,99.0,51.0,86.0,15:11:01
,,145.039717,100.0,,,,,,,255.0,99.0,51.0,88.0,15:11:01
,,145.039717,100.0,,,,,,,255.0,99.0,51.0,88.0,15:11:02
,,145.039717,100.0,,,,,,,255.0,99.0,51.0,88.0,15:11:03
,,145.039717,100.0,,,,,,,,99.0,51.0,88.0,15:11:03
,,145.039717,100.0,,,,,,,,99.0,51.0,92.0,15:11:03
,,145.039717,100.0,,,,,,,,99.0,51.0,92.0,15:11:04
,,145.039717,100.0,,,,,,,,99.0,51.0,92.0,15:11:05
