Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,Timestamp
,,,,,,800.0,200.0,98.0,73.0,25.0,14:32:36
,,,,,97.0,73.0,3.6,98.0,73.0,20.0,14:32:36
,,,,,97.0,73.0,3.6,98.0,74.0,16.0,14:32:37
,,,,,98.0,72.0,3.6,98.0,74.0,16.0,14:32:37
,,,,,98.0,72.0,3.6,98.0,74.0,16.0,14:32:38
,,,,,98.0,67.0,3.6,97.0,75.0,15.0,14:32:38
,,,,,98.0,74.0,3.6,97.0,75.0,15.0,14:32:39
,,,,,98.0,74.0,3.6,97.0,75.0,15.0,14:32:39
,,,,,98.0,74.0,3.6,97.0,75.0,15.0,14:32:40
,,,,,98.0,74.0,3.6,98.0,76.0,20.0,14:32:40
,,,,,98.0,74.0,3.6,98.0,76.0,20.0,14:32:41
,,,,,98.0,74.0,3.6,98.0,76.0,20.0,14:32:41
,,,,,98.0,76.0,3.6,98.0,76.0,20.0,14:32:42
,,,,,98.0,76.0,3.6,98.0,76.0,29.0,14:32:42
,,,,,97.0,77.0,3.6,98.0,76.0,29.0,14:32:43
,,,,,97.0,77.0,3.6,98.0,76.0,29.0,14:32:43
,,,,,97.0,77.0,3.6,98.0,76.0,29.0,14:32:44
,,,,,97.0,77.0,3.6,98.0,74.0,34.0,14:32:44
,,,,,97.0,77.0,3.6,98.0,74.0,34.0,14:32:45
,,,,,97.0,77.0,3.6,98.0,74.0,34.0,14:32:45
,,,,,97.0,77.0,3.6,98.0,74.0,34.0,14:32:46
,,,,,97.0,77.0,3.6,97.0,75.0,30.0,14:32:46
,,,,,97.0,77.0,3.5,97.0,75.0,30.0,14:32:47
,,,,,97.0,77.0,3.5,97.0,75.0,30.0,14:32:47
,,,,,97.0,77.0,3.5,97.0,75.0,30.0,14:32:48
,,,,,97.0,77.0,3.5,97.0,75.0,30.0,14:32:48
,,,,,98.0,77.0,3.5,97.0,75.0,30.0,14:32:49
,,,,,98.0,77.0,3.5,97.0,75.0,30.0,14:32:49
,,,,,98.0,77.0,3.5,97.0,75.0,30.0,14:32:50
,,,,,98.0,77.0,3.5,98.0,74.0,33.0,14:32:50
,,,,,98.0,75.0,3.5,98.0,74.0,33.0,14:32:51
1.0,,,,,98.0,75.0,3.5,98.0,74.0,33.0,14:32:51
1.0,,,,,98.0,74.0,3.5,98.0,74.0,33.0,14:32:52
,,,,,98.0,74.0,3.5,98.0,73.0,27.0,14:32:52
,,,,,98.0,78.0,3.5,98.0,73.0,27.0,14:32:53
,,,,,98.0,78.0,3.5,98.0,73.0,27.0,14:32:53
,,,,,98.0,72.0,3.5,98.0,73.0,27.0,14:32:54
,,,,,98.0,72.0,3.5,98.0,72.0,28.0,14:32:54
,,,,,98.0,72.0,3.5,98.0,72.0,28.0,14:32:55
,,,,,98.0,72.0,3.5,98.0,72.0,28.0,14:32:55
,,,,,98.0,72.0,3.5,98.0,72.0,28.0,14:32:56
,,,,,98.0,72.0,3.5,98.0,73.0,38.0,14:32:56
,,,,,98.0,71.0,3.5,98.0,73.0,38.0,14:32:57
,,,,,98.0,71.0,3.5,98.0,73.0,38.0,14:32:57
,,,,,98.0,69.0,3.5,98.0,73.0,38.0,14:32:58
,,,,,98.0,69.0,3.5,98.0,70.0,33.0,14:32:58
,,,,,98.0,71.0,3.5,98.0,70.0,33.0,14:32:59
,,,,,98.0,71.0,3.5,98.0,70.0,33.0,14:32:59
,,,,,98.0,67.0,3.5,98.0,70.0,33.0,14:33:00
,,,,,98.0,67.0,3.5,98.0,72.0,26.0,14:33:00
,,,,,98.0,67.0,3.5,98.0,72.0,26.0,14:33:01
,,,,,98.0,67.0,3.5,98.0,72.0,26.0,14:33:01
,,,,,98.0,67.0,3.5,98.0,72.0,26.0,14:33:02
,,,,,98.0,67.0,3.5,98.0,69.0,34.0,14:33:02
,,,,,98.0,69.0,3.4,98.0,69.0,34.0,14:33:03
,,,,,98.0,69.0,3.4,98.0,69.0,34.0,14:33:03
,,,,,98.0,69.0,3.3,98.0,69.0,34.0,14:33:04
,,,,,98.0,69.0,3.3,98.0,71.0,35.0,14:33:04
,,,,,98.0,67.0,3.3,98.0,71.0,35.0,14:33:05
,,,,,98.0,67.0,3.3,98.0,71.0,35.0,14:33:05
,,,,,98.0,68.0,3.3,98.0,71.0,35.0,14:33:06
,,,,,98.0,68.0,3.3,98.0,68.0,39.0,14:33:06
,,,,,98.0,68.0,3.3,98.0,68.0,39.0,14:33:07
,,,,,98.0,68.0,3.3,98.0,68.0,39.0,14:33:07
,,,,,98.0,68.0,3.3,98.0,68.0,39.0,14:33:08
,,,,,98.0,68.0,3.3,98.0,68.0,39.0,14:33:08
,,,,,98.0,68.0,3.3,98.0,68.0,39.0,14:33:09
,,,,,98.0,68.0,3.3,98.0,68.0,39.0,14:33:09
,,,,,98.0,68.0,3.3,98.0,68.0,39.0,14:33:10
,,,,,98.0,68.0,3.3,98.0,68.0,39.0,14:33:10
,,,,,98.0,70.0,3.3,98.0,68.0,39.0,14:33:11
,,,,,98.0,70.0,3.3,98.0,68.0,39.0,14:33:11
,,,,,98.0,67.0,3.3,98.0,67.0,48.0,14:33:12
,,,,,98.0,67.0,3.3,98.0,70.0,35.0,14:33:12
,,,,,98.0,67.0,3.3,98.0,70.0,35.0,14:33:13
,,,,,98.0,67.0,3.3,98.0,70.0,35.0,14:33:13
,,,,,98.0,66.0,3.3,98.0,70.0,35.0,14:33:14
,,,,,98.0,66.0,3.3,98.0,68.0,46.0,14:33:14
,,,,,98.0,67.0,3.3,98.0,68.0,46.0,14:33:15
,,,,,98.0,67.0,3.3,98.0,68.0,46.0,14:33:15
,,,,,98.0,68.0,3.3,98.0,68.0,46.0,14:33:16
,,,,,98.0,68.0,3.3,98.0,69.0,41.0,14:33:17
,,,,,98.0,66.0,3.4,98.0,69.0,41.0,14:33:17
,,,,,98.0,66.0,3.4,98.0,69.0,41.0,14:33:17
,,,,,98.0,67.0,3.4,98.0,69.0,41.0,14:33:18
,,,,,98.0,67.0,3.4,98.0,67.0,36.0,14:33:18
,,,,,98.0,67.0,3.4,98.0,67.0,36.0,14:33:19
,,,,,98.0,67.0,3.4,98.0,67.0,36.0,14:33:19
,,,,,98.0,67.0,3.4,98.0,67.0,36.0,14:33:20
,,,,,98.0,67.0,3.4,98.0,67.0,34.0,14:33:20
,,,,,98.0,67.0,3.4,98.0,67.0,34.0,14:33:21
,,,,,98.0,67.0,3.4,98.0,67.0,34.0,14:33:21
,,,,,98.0,65.0,3.4,98.0,67.0,34.0,14:33:22
,,,,,98.0,65.0,3.4,98.0,68.0,36.0,14:33:22
,,,,,99.0,65.0,3.4,98.0,68.0,36.0,14:33:23
,,,,,99.0,65.0,3.4,98.0,68.0,36.0,14:33:23
,,,,,99.0,67.0,3.4,98.0,68.0,36.0,14:33:24
,,,,,99.0,67.0,3.4,98.0,68.0,35.0,14:33:24
,,,,,99.0,67.0,3.4,98.0,68.0,35.0,14:33:25
,,,,,99.0,67.0,3.4,98.0,68.0,35.0,14:33:25
,,,,,99.0,67.0,3.5,98.0,68.0,35.0,14:33:26
,,,,,99.0,67.0,3.5,98.0,69.0,71.0,14:33:26
,,,,,98.0,67.0,3.5,98.0,69.0,71.0,14:33:27
,,,,,98.0,67.0,3.5,98.0,69.0,71.0,14:33:27
,,,,,98.0,68.0,3.5,98.0,69.0,71.0,14:33:28
,,,,,98.0,68.0,3.5,98.0,69.0,71.0,14:33:28
,,,,,98.0,69.0,3.5,98.0,69.0,71.0,14:33:29
,,,,,98.0,69.0,3.5,98.0,69.0,71.0,14:33:29
,,,,,98.0,71.0,3.6,98.0,69.0,71.0,14:33:30
,,,,,98.0,71.0,3.6,98.0,71.0,40.0,14:33:30
,,,,,98.0,71.0,3.6,98.0,71.0,40.0,14:33:31
