Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,Timestamp
,,,,,99.0,78.0,3.7,100.0,76.0,50.0,13:24:28
,,,,,99.0,79.0,3.7,100.0,76.0,57.0,13:24:29
,,,,,99.0,79.0,3.6,100.0,76.0,55.0,13:24:29
,,,,,99.0,80.0,3.6,100.0,76.0,56.0,13:24:30
,,,,,99.0,80.0,3.6,100.0,76.0,56.0,13:24:30
,,,,,99.0,79.0,3.6,100.0,76.0,56.0,13:24:31
,,,,,98.0,79.0,3.6,100.0,76.0,56.0,13:24:31
,,,,,98.0,78.0,3.6,100.0,75.0,57.0,13:24:32
,,,,,98.0,78.0,3.6,100.0,75.0,57.0,13:24:32
,,,,,98.0,77.0,3.6,100.0,75.0,57.0,13:24:33
,,,,,98.0,77.0,3.5,100.0,75.0,57.0,13:24:33
,,,,,98.0,77.0,3.5,100.0,74.0,59.0,13:24:34
,,,,,98.0,76.0,3.5,100.0,74.0,59.0,13:24:34
,,,,,98.0,76.0,3.5,100.0,74.0,59.0,13:24:35
,,,,,98.0,75.0,3.5,100.0,74.0,59.0,13:24:35
,,,,,98.0,75.0,3.5,100.0,75.0,154.0,13:24:36
,,,,,98.0,74.0,3.5,100.0,75.0,154.0,13:24:36
,,,,,98.0,74.0,3.5,100.0,75.0,154.0,13:24:37
,,,,,98.0,74.0,3.5,100.0,75.0,154.0,13:24:37
,,,,,98.0,74.0,3.5,100.0,74.0,127.0,13:24:38
,,,,,98.0,74.0,3.5,100.0,74.0,127.0,13:24:38
,,,,,98.0,74.0,3.5,100.0,74.0,127.0,13:24:39
,,,,,98.0,73.0,3.5,100.0,74.0,127.0,13:24:39
,,,,,98.0,73.0,3.5,100.0,75.0,117.0,13:24:40
,,,,,98.0,73.0,3.5,100.0,75.0,117.0,13:24:40
,,,,,98.0,73.0,3.5,100.0,75.0,117.0,13:24:41
,,,,,98.0,74.0,3.5,100.0,75.0,117.0,13:24:41
,,,,,98.0,74.0,3.5,100.0,74.0,58.0,13:24:42
,,,,,98.0,74.0,3.6,100.0,74.0,58.0,13:24:42
,,,,,98.0,74.0,3.6,100.0,74.0,58.0,13:24:43
,,,,,98.0,74.0,3.6,100.0,74.0,58.0,13:24:43
,,,,,98.0,74.0,3.6,100.0,74.0,58.0,13:24:44
,,,,,98.0,75.0,3.6,100.0,74.0,58.0,13:24:44
,,,,,98.0,75.0,3.6,100.0,74.0,58.0,13:24:45
,,,,,98.0,74.0,3.6,100.0,74.0,58.0,13:24:45
,,,,,98.0,74.0,3.6,100.0,74.0,63.0,13:24:46
,,,,,98.0,75.0,3.6,100.0,74.0,63.0,13:24:46
,,,,,98.0,75.0,3.6,100.0,74.0,63.0,13:24:47
,,,,,98.0,75.0,3.6,100.0,74.0,63.0,13:24:47
,,,,,98.0,75.0,3.6,99.0,75.0,61.0,13:24:48
,,,,,98.0,75.0,3.6,99.0,75.0,61.0,13:24:48
,,,,,98.0,75.0,3.6,99.0,75.0,61.0,13:24:49
,,,,,98.0,75.0,3.6,99.0,75.0,61.0,13:24:49
,,,,,98.0,75.0,3.6,99.0,75.0,63.0,13:24:50
,,,,,98.0,75.0,3.7,99.0,75.0,63.0,13:24:50
,,,,,98.0,75.0,3.7,99.0,75.0,63.0,13:24:51
,,,,,98.0,76.0,3.7,99.0,75.0,63.0,13:24:51
,,,,,98.0,76.0,3.7,99.0,75.0,68.0,13:24:52
,,,,,98.0,75.0,3.7,99.0,75.0,68.0,13:24:52
,,,,,98.0,75.0,3.7,99.0,75.0,68.0,13:24:53
,,,,,97.0,76.0,3.7,99.0,75.0,68.0,13:24:53
,,,,,97.0,76.0,3.7,99.0,74.0,69.0,13:24:54
,,,,,97.0,75.0,3.7,99.0,74.0,69.0,13:24:54
,,,,,97.0,75.0,3.7,99.0,74.0,69.0,13:24:55
,,,,,97.0,75.0,3.7,99.0,74.0,69.0,13:24:55
,,,,,97.0,75.0,3.7,99.0,74.0,71.0,13:24:56
,,,,,97.0,75.0,3.7,99.0,74.0,71.0,13:24:56
,,,,,97.0,75.0,3.7,99.0,74.0,71.0,13:24:57
,,,,,97.0,75.0,3.8,99.0,74.0,71.0,13:24:57
,,,,,97.0,75.0,3.8,99.0,74.0,115.0,13:24:58
,,,,,97.0,75.0,3.8,99.0,74.0,115.0,13:24:58
,,,,,97.0,75.0,3.8,99.0,74.0,115.0,13:24:59
,,,,,97.0,74.0,3.8,99.0,74.0,115.0,13:24:59
,,,,,97.0,74.0,3.9,99.0,74.0,79.0,13:25:00
,,,,,97.0,74.0,3.9,99.0,74.0,79.0,13:25:00
,,,,,97.0,74.0,3.9,99.0,74.0,79.0,13:25:01
,,,,,97.0,74.0,3.9,99.0,74.0,79.0,13:25:01
,,,,,97.0,74.0,3.9,99.0,74.0,120.0,13:25:02
,,,,,97.0,73.0,3.9,99.0,74.0,120.0,13:25:02
,,,,,97.0,73.0,3.9,99.0,74.0,120.0,13:25:03
,,,,,97.0,73.0,3.9,99.0,74.0,120.0,13:25:03
,,,,,97.0,73.0,3.9,99.0,74.0,120.0,13:25:04
,,,,,97.0,73.0,3.9,99.0,74.0,120.0,13:25:04
,,,,,97.0,73.0,3.9,99.0,74.0,120.0,13:25:05
,,,,,97.0,73.0,3.9,99.0,74.0,120.0,13:25:05
,,,,,97.0,73.0,3.9,99.0,74.0,120.0,13:25:06
,,,,,97.0,73.0,3.9,99.0,74.0,120.0,13:25:06
,,,,,97.0,73.0,3.9,99.0,74.0,120.0,13:25:07
,,,,,97.0,73.0,4.0,99.0,74.0,65.0,13:25:07
,,,,,97.0,73.0,4.0,99.0,74.0,68.0,13:25:08
,,,,,97.0,73.0,4.0,99.0,74.0,68.0,13:25:08
,,,,,97.0,73.0,4.0,99.0,74.0,68.0,13:25:09
,,,,,97.0,72.0,4.1,99.0,74.0,68.0,13:25:09
,,,,,97.0,72.0,4.1,99.0,74.0,67.0,13:25:10
,,,,,97.0,72.0,4.1,99.0,74.0,67.0,13:25:10
,,,,,97.0,72.0,4.1,99.0,74.0,67.0,13:25:11
,,,,,97.0,73.0,4.2,99.0,74.0,67.0,13:25:11
