Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,Timestamp
,,,,,99.0,67.0,1.0,,,,09:21:31
,,,,,99.0,67.0,1.0,100.0,67.0,12.0,09:21:31
,,,,,99.0,68.0,1.0,100.0,67.0,16.0,09:21:32
,,,,,99.0,69.0,1.0,100.0,69.0,12.0,09:21:32
,,,,,99.0,69.0,1.0,100.0,69.0,10.0,09:21:33
,,,,,99.0,69.0,1.0,100.0,69.0,11.0,09:21:33
,,,,,99.0,69.0,1.0,100.0,71.0,11.0,09:21:34
,,,,,99.0,69.0,1.0,100.0,71.0,11.0,09:21:34
,,,,,99.0,70.0,1.0,100.0,70.0,12.0,09:21:35
,,,,,99.0,69.0,1.0,100.0,69.0,11.0,09:21:35
,,,,,99.0,69.0,1.0,100.0,69.0,11.0,09:21:36
,,,,,99.0,69.0,1.0,100.0,67.0,10.0,09:21:36
,,,,,99.0,69.0,1.0,100.0,67.0,10.0,09:21:37
,,,,,99.0,69.0,1.0,100.0,66.0,10.0,09:21:37
,,,,,99.0,70.0,1.0,100.0,65.0,10.0,09:21:38
,,,,,99.0,70.0,1.0,100.0,64.0,9.0,09:21:38
,,,,,99.0,70.0,1.0,100.0,64.0,4.0,09:21:39
,,,,,100.0,70.0,1.0,100.0,64.0,1.0,09:21:39
,,,,,100.0,70.0,1.0,100.0,64.0,,09:21:40
,,,,,100.0,70.0,1.0,100.0,64.0,,09:21:40
,,,,,100.0,69.0,1.0,,,1.0,09:21:41
,,,,,100.0,69.0,1.0,,,1.0,09:21:41
,,,,,100.0,69.0,1.0,,,1.0,09:21:42
,,,,,100.0,69.0,1.0,,,,09:21:42
,,,,,100.0,68.0,1.0,,,,09:21:43
,,,,,100.0,67.0,1.0,,,,09:21:43
,,,,,100.0,65.0,1.0,,,,09:21:44
,,,,,100.0,65.0,1.0,,,1.0,09:21:44
,,,,,100.0,65.0,1.0,,,1.0,09:21:45
,,,,,100.0,64.0,1.0,,,2.0,09:21:46
,,,,,100.0,64.0,1.0,100.0,,7.0,09:21:46
,,,,,100.0,64.0,1.0,100.0,,16.0,09:21:46
,,,,,100.0,63.0,1.0,100.0,65.0,11.0,09:21:47
,,,,,100.0,63.0,1.0,100.0,64.0,12.0,09:21:47
,,,,,100.0,63.0,1.0,100.0,64.0,12.0,09:21:48
,,,,,100.0,63.0,1.0,100.0,64.0,12.0,09:21:48
,,,,,100.0,63.0,1.0,100.0,64.0,12.0,09:21:49
,,,,,,,,100.0,64.0,12.0,09:21:49
,,,,,,,,100.0,64.0,12.0,09:21:50
,,,,,,,,100.0,64.0,12.0,09:21:50
,,,,,,,,100.0,64.0,12.0,09:21:51
,,,,,,,,100.0,64.0,12.0,09:21:51
,,,,,,,,100.0,64.0,12.0,09:21:52
,,,,,,,,100.0,64.0,12.0,09:21:52
,,,,,,,,100.0,64.0,12.0,09:21:53
,,,,,,,,100.0,66.0,12.0,09:21:53
,,,,,,,,100.0,66.0,12.0,09:21:54
,,,,,,,,100.0,66.0,12.0,09:21:54
,,,,,,,,100.0,66.0,12.0,09:21:55
,,,,,,,,100.0,68.0,15.0,09:21:55
,,,,,,,,100.0,68.0,15.0,09:21:56
,,,,,,,,100.0,68.0,15.0,09:21:56
,,,,,,,,100.0,68.0,15.0,09:21:57
,,,,,,,,99.0,72.0,16.0,09:21:57
,,,,,,,,99.0,72.0,16.0,09:21:58
,,,,,,,,99.0,72.0,16.0,09:21:58
,,,,,,,,99.0,72.0,16.0,09:21:59
,,,,,,,,100.0,73.0,12.0,09:21:59
,,,,,,,,100.0,73.0,12.0,09:22:00
,,,,,,,,100.0,73.0,12.0,09:22:00
,,,,,,,,100.0,73.0,12.0,09:22:01
,,,,,,,,99.0,72.0,12.0,09:22:01
,,,,,,,,99.0,72.0,12.0,09:22:02
,,,,,,,,99.0,72.0,12.0,09:22:02
,,,,,,,,99.0,72.0,12.0,09:22:03
,,,,,,,,99.0,72.0,13.0,09:22:03
,,,,,100.0,68.0,0.5,99.0,72.0,13.0,09:22:04
,,,,,100.0,69.0,0.6,99.0,72.0,13.0,09:22:04
,,,,,100.0,71.0,0.7,99.0,72.0,13.0,09:22:05
,,,,,100.0,71.0,0.7,100.0,70.0,13.0,09:22:05
,,,,,100.0,71.0,0.7,100.0,70.0,13.0,09:22:06
,,,,,100.0,73.0,0.7,100.0,70.0,13.0,09:22:06
,,,,,100.0,76.0,0.8,100.0,70.0,13.0,09:22:07
,,,,,100.0,76.0,0.8,100.0,70.0,15.0,09:22:07
,,,,,100.0,76.0,0.8,100.0,70.0,15.0,09:22:08
,,,,,100.0,77.0,0.8,100.0,70.0,15.0,09:22:08
,,,,,100.0,76.0,0.8,100.0,70.0,15.0,09:22:09
,,,,,100.0,75.0,0.8,100.0,69.0,16.0,09:22:09
,,,,,100.0,73.0,0.8,100.0,69.0,16.0,09:22:10
,,,,,100.0,72.0,0.8,100.0,69.0,16.0,09:22:10
,,,,,100.0,72.0,0.8,100.0,69.0,16.0,09:22:11
,,,,,100.0,72.0,0.8,100.0,69.0,16.0,09:22:11
,,,,,100.0,70.0,0.8,100.0,69.0,16.0,09:22:12
,,,,,100.0,69.0,0.8,100.0,69.0,16.0,09:22:12
,,,,,100.0,69.0,0.8,100.0,69.0,16.0,09:22:13
,,,,,100.0,68.0,0.8,100.0,66.0,18.0,09:22:13
,,,,,100.0,68.0,0.8,100.0,66.0,18.0,09:22:14
,,,,,100.0,68.0,0.8,100.0,66.0,18.0,09:22:14
,,,,,100.0,67.0,0.8,100.0,66.0,18.0,09:22:15
,,,,,100.0,67.0,0.8,100.0,65.0,18.0,09:22:15
