Sample,ETCO2,ETO2,ScalcO2,RR,dev55_SpO2,dev55_HR,dev55_PI,dev59_SpO2,dev59_HR,dev59_PI,Timestamp
,,,,,98.0,70.0,4.4,,,,09:25:47
,,,,,98.0,70.0,4.8,97.0,77.0,34.0,09:25:48
,,,,,98.0,70.0,4.8,97.0,79.0,26.0,09:25:48
,,,,,99.0,70.0,4.9,97.0,77.0,16.0,09:25:49
,,,,,99.0,72.0,5.1,97.0,77.0,14.0,09:25:49
,,,,,99.0,76.0,5.1,97.0,76.0,14.0,09:25:50
,,,,,99.0,77.0,5.1,96.0,74.0,17.0,09:25:50
,,,,,99.0,77.0,5.1,96.0,74.0,17.0,09:25:51
,,,,,99.0,79.0,4.8,96.0,74.0,17.0,09:25:51
,,,,,99.0,80.0,4.6,96.0,74.0,17.0,09:25:52
,,,,,99.0,81.0,2.9,97.0,74.0,19.0,09:25:52
,,,,,99.0,80.0,2.9,97.0,69.0,23.0,09:25:53
,,,,,99.0,78.0,2.8,97.0,69.0,23.0,09:25:53
,,,,,99.0,78.0,2.8,97.0,68.0,29.0,09:25:54
,,,,,99.0,77.0,2.7,98.0,69.0,31.0,09:25:54
,,,,,99.0,75.0,2.6,98.0,69.0,30.0,09:25:55
,,,,,99.0,75.0,2.6,98.0,68.0,35.0,09:25:55
,,,,,99.0,73.0,2.6,98.0,68.0,34.0,09:25:56
,,,,,99.0,73.0,2.7,98.0,68.0,34.0,09:25:56
,,,,,99.0,73.0,2.7,98.0,68.0,34.0,09:25:57
,,,,,99.0,72.0,2.7,98.0,67.0,39.0,09:25:58
,,,,,99.0,71.0,2.8,98.0,67.0,39.0,09:25:58
,,,,,99.0,69.0,2.9,98.0,67.0,39.0,09:25:59
,,,,,99.0,67.0,3.4,98.0,67.0,39.0,09:25:59
,,,,,99.0,67.0,3.7,98.0,66.0,32.0,09:25:59
,,,,,99.0,67.0,4.0,98.0,66.0,32.0,09:26:00
,,,,,99.0,66.0,4.0,98.0,66.0,32.0,09:26:00
,,,,,99.0,66.0,4.1,98.0,66.0,32.0,09:26:01
,,,,,99.0,67.0,4.2,98.0,66.0,30.0,09:26:01
,,,,,99.0,68.0,4.2,98.0,66.0,30.0,09:26:02
,,,,,99.0,68.0,4.2,98.0,66.0,30.0,09:26:02
,,,,,99.0,69.0,4.2,98.0,66.0,30.0,09:26:03
,,,,,99.0,70.0,4.4,98.0,67.0,44.0,09:26:03
,,,,,99.0,69.0,4.6,98.0,67.0,44.0,09:26:04
,,,,,99.0,68.0,4.7,98.0,67.0,44.0,09:26:04
,,,,,99.0,67.0,4.7,98.0,67.0,44.0,09:26:05
,,,,,99.0,67.0,4.7,98.0,67.0,44.0,09:26:05
,,,,,99.0,67.0,5.1,98.0,67.0,44.0,09:26:06
,,,,,99.0,66.0,5.2,98.0,67.0,44.0,09:26:06
,,,,,99.0,66.0,5.2,98.0,67.0,44.0,09:26:07
,,,,,99.0,66.0,5.3,98.0,73.0,28.0,09:26:07
,,,,,99.0,67.0,5.3,98.0,73.0,28.0,09:26:08
,,,,,99.0,67.0,5.3,98.0,73.0,28.0,09:26:08
,,,,,99.0,69.0,5.1,98.0,73.0,28.0,09:26:09
,,,,,99.0,69.0,5.1,97.0,75.0,15.0,09:26:09
,,,,,99.0,69.0,5.0,97.0,75.0,15.0,09:26:10
,,,,,99.0,69.0,5.0,97.0,75.0,15.0,09:26:10
,,,,,99.0,75.0,4.4,97.0,75.0,15.0,09:26:11
,,,,,99.0,75.0,4.4,97.0,76.0,17.0,09:26:11
,,,,,99.0,76.0,3.6,97.0,76.0,17.0,09:26:12
