Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,Timestamp
,28.274328,,,,,,,,,,13:05:05
,28.274328,,,,,,,,,,13:05:05
,31.947666,,,,,,,,,,13:05:06
,28.925249,,,,,,,,,,13:05:06
,29.821936,150.246028,99.59463,,,,,,,,13:05:07
,29.821936,150.246028,99.59463,,,,,,,,13:05:07
,29.177618,150.398042,99.601677,,,,,,,,13:05:08
,29.305088,150.470984,99.601093,,,,,,,,13:05:08
,28.131508,150.470984,99.611796,,,,,,,,13:05:09
,27.785599,150.470984,99.614979,,,,,,,,13:05:09
,27.686155,150.470984,99.615897,,,,,,,,13:05:10
,27.918879,150.470984,99.613751,,,,,,,,13:05:10
,27.918879,150.578488,99.614565,,,,,,,,13:05:11
,28.220823,150.578488,99.611797,,,,,,,,13:05:11
,30.273607,150.578488,99.593233,,,,,,,,13:05:12
,30.273607,150.578488,99.593233,,,,,,,,13:05:12
,28.099482,150.297554,99.610765,,,,,,,,13:05:13
,29.85553,150.297554,99.594739,,,,,,,,13:05:13
,29.85553,150.297554,99.594739,,,,,,,,13:05:14
,29.85553,150.297554,99.594739,,,,,,,,13:05:14
,29.634014,150.437202,99.597852,,,,,,,,13:05:15
,29.634014,150.437202,99.597852,,,,,,,,13:05:15
,29.634014,150.437202,99.597852,,,,,,,,13:05:16
,29.634014,150.437202,99.597852,,,,,,,,13:05:16
,27.197832,150.437202,99.620167,,,,,,,,13:05:17
,27.197832,150.437202,99.620167,,,,,,,,13:05:17
,29.634014,150.367525,99.597299,34.0,,,,,,,13:05:18
,27.254389,150.508715,99.620175,32.0,,,,,,,13:05:18
,27.254389,150.508715,99.620175,,,,,,,,13:05:19
,25.835606,150.508715,99.633452,,,,,,,,13:05:19
,25.835606,150.508715,99.633452,,,,,,,,13:05:20
,25.835606,150.508715,99.633452,50.0,,,,,,,13:05:20
,25.835606,150.508715,99.633452,50.0,,,,,,,13:05:21
,25.835606,150.508715,99.633452,25.0,,,,,,,13:05:21
,25.835606,150.508715,99.633452,25.0,,,,,,,13:05:22
,32.9692,149.788433,99.562675,11.0,,,,,,,13:05:22
,32.9692,149.788433,99.562675,10.0,,,,,,,13:05:23
,32.9692,149.788433,99.562675,10.0,,,,,,,13:05:23
,32.9692,149.788433,99.562675,10.0,,,,,,,13:05:24
,32.9692,149.788433,99.562675,8.0,,,,,,,13:05:24
,32.9692,149.788433,99.562675,8.0,,,,,,,13:05:25
,32.9692,149.788433,99.562675,8.0,,,,,,,13:05:26
,32.9692,149.788433,99.562675,4.0,,,,,,,13:05:26
,32.9692,149.788433,99.562675,4.0,,,,,,,13:05:27
,32.9692,149.788433,99.562675,4.0,,,,,,,13:05:27
,32.9692,149.788433,99.562675,4.0,,,,,,,13:05:28
,32.9692,149.788433,99.562675,10.0,,,,,,,13:05:28
,32.9692,149.788433,99.562675,10.0,,,,,,,13:05:29
,32.9692,149.788433,99.562675,15.0,,,,,,,13:05:29
,32.9692,149.788433,99.562675,4.0,,,,,,,13:05:29
,32.9692,149.788433,99.562675,9.0,,,,,,,13:05:30
,32.9692,149.788433,99.562675,9.0,,,,,,,13:05:31
,32.9692,149.788433,99.562675,10.0,,,,,,,13:05:31
,32.9692,149.788433,99.562675,8.0,,,,,,,13:05:32
,29.559193,149.788433,99.593349,8.0,,,,,,,13:05:32
,32.9692,149.788433,99.562675,8.0,,,,,,,13:05:33
,29.559193,150.201768,99.596659,7.0,,,,,,,13:05:33
,29.559193,150.201768,99.596659,7.0,,,,,,,13:05:34
,29.559193,150.201768,99.596659,7.0,,,,,,,13:05:34
,29.559193,150.201768,99.596659,7.0,,,,,,,13:05:35
,29.559193,150.201768,99.596659,7.0,,,,,,,13:05:35
,29.559193,150.201768,99.596659,7.0,,,,,,,13:05:36
,29.559193,150.201768,99.596659,7.0,,,,,,,13:05:36
,29.559193,150.201768,99.596659,7.0,,,,,,,13:05:37
,29.559193,150.201768,99.596659,7.0,,,,,,,13:05:37
,29.559193,150.201768,99.596659,9.0,,,,,,,13:05:38
,28.018007,150.201768,99.610784,9.0,,,,,,,13:05:38
,28.018007,150.201768,99.610784,9.0,,,,,,,13:05:39
,28.018007,150.285717,99.611426,9.0,,,,,,,13:05:39
,,,,52.0,,,,,,,13:05:52
,,,,19.0,,,,,,,13:05:57
,27.892109,,,18.0,,,,,,,13:05:57
,,150.03598,100.0,,,,,,,,13:05:58
,28.895319,150.03598,99.601411,16.0,,,,,,,13:05:58
,28.895319,149.981786,99.600984,16.0,,,,,,,13:05:59
,28.895319,149.981786,99.600984,16.0,,,,,,,13:05:59
,28.895319,149.981786,99.600984,16.0,,,,,,,13:06:00
,28.895319,149.927442,99.600555,8.0,,,,,,,13:06:00
,28.895319,149.927442,99.600555,8.0,,,,,,,13:06:01
,28.895319,149.927442,99.600555,8.0,,,,,,,13:06:01
,28.895319,149.927442,99.600555,8.0,,,,,,,13:06:02
,28.895319,149.927442,99.600555,8.0,,,,,,,13:06:02
,28.895319,149.927442,99.600555,14.0,,,,,,,13:06:03
,28.895319,149.927442,99.600555,19.0,,,,,,,13:06:03
,28.895319,149.927442,99.600555,19.0,,,,,,,13:06:04
,30.044298,149.759069,99.588675,19.0,,,,,,,13:06:04
,30.044298,149.75473,99.58864,19.0,,,,,,,13:06:05
,30.044298,149.75473,99.58864,14.0,,,,,,,13:06:05
,30.044298,149.75473,99.58864,9.0,,,,,,,13:06:06
,,,,55.0,,,,,,,13:06:58
,32.401543,,,32.0,,,,,,,13:06:59
,32.401543,,,32.0,,,,,,,13:07:00
,32.401543,151.981813,99.586052,35.0,,,,,,,13:07:00
,32.401543,151.981813,99.586052,35.0,,,,,,,13:07:01
,32.401543,151.981813,99.586052,35.0,,,,,,,13:07:01
,29.616261,151.981813,99.610009,38.0,,,,,,,13:07:02
,29.616261,151.981813,99.610009,38.0,,,,,,,13:07:02
,29.616261,151.981813,99.610009,38.0,,,,,,,13:07:03
,29.616261,151.981813,99.610009,38.0,,,,,,,13:07:03
,29.616261,151.981813,99.610009,38.0,,,,,,,13:07:04
,29.616261,151.981813,99.610009,38.0,,,,,,,13:07:04
,29.616261,151.981813,99.610009,38.0,,,,,,,13:07:05
,29.616261,151.981813,99.610009,30.0,,,,,,,13:07:05
,29.616261,151.981813,99.610009,28.0,,,,,,,13:07:06
,29.616261,151.981813,99.610009,28.0,,,,,,,13:07:06
,29.616261,151.981813,99.610009,27.0,,,,,,,13:07:07
,29.616261,151.981813,99.610009,18.0,,,,,,,13:07:07
,29.616261,151.981813,99.610009,18.0,,,,,,,13:07:08
,30.300144,153.010153,99.61191,9.0,,,,,,,13:07:08
,30.300144,153.010153,99.61191,9.0,,,,,,,13:07:09
,30.300144,153.010153,99.61191,17.0,,,,,,,13:07:09
,30.300144,153.010153,99.61191,17.0,,,,,,,13:07:10
,30.300144,153.010153,99.61191,17.0,,,,,,,13:07:10
,30.300144,153.010153,99.61191,17.0,,,,,,,13:07:11
,30.300144,153.010153,99.61191,17.0,,,,,,,13:07:11
,30.300144,153.010153,99.61191,17.0,,,,,,,13:07:12
,30.300144,153.010153,99.61191,17.0,,,,,,,13:07:12
,29.413975,153.010153,99.619462,17.0,,,,,,,13:07:13
,29.413975,153.010153,99.619462,17.0,,,,,,,13:07:13
,29.413975,153.010153,99.619462,17.0,,,,,,,13:07:14
,29.413975,153.010153,99.619462,17.0,,,,,,,13:07:14
,29.413975,153.010153,99.619462,17.0,,,,,,,13:07:15
,29.413975,153.010153,99.619462,17.0,,,,,,,13:07:15
,29.413975,153.010153,99.619462,17.0,,,,,,,13:07:16
,29.413975,153.010153,99.619462,17.0,,,,,,,13:07:16
,29.413975,153.010153,99.619462,17.0,,,,,,,13:07:17
,29.413841,153.010153,99.619463,17.0,,,,,,,13:07:17
,29.413975,153.010153,99.619462,17.0,,,,,,,13:07:18
,29.413975,153.010153,99.619462,17.0,,,,,,,13:07:18
,29.62299,155.731368,99.637148,16.0,,,,,,,13:07:19
