Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,dev64_SpO2,dev64_HR,dev64_PI,Timestamp
,,,,,84.0,,,,,,,,,11:13:11
,,,,,84.0,,20.0,,,,,,,11:13:11
,,,,,84.0,,20.0,,,,,,,11:13:12
,,,,,84.0,,20.0,,,,,,,11:13:12
,,,,,83.0,,20.0,,,,,,,11:13:13
,,,,,83.0,,20.0,,,,,,,11:13:13
,,,,,82.0,,20.0,,,,,,,11:13:14
,,,,,82.0,,20.0,,,,,,,11:13:14
,,,,,83.0,,11.0,,,,,,,11:13:15
,,,,,83.0,,11.0,,,,,,,11:13:15
,,,,,83.0,82.0,3.9,,,,,,,11:13:16
,,,,,83.0,82.0,3.9,,,,,,,11:13:16
,,,,,99.0,83.0,2.3,,,,,,,11:13:32
,,,,,99.0,83.0,2.3,,,,,,,11:13:32
,,,,,99.0,83.0,2.8,,,,,,,11:13:33
,,,,,99.0,83.0,2.8,,,,,,,11:13:33
,,,,,99.0,83.0,2.8,,,,,,,11:13:34
,,,,,99.0,83.0,2.8,,,,,,,11:13:34
,,,,,99.0,83.0,3.1,,,,,,,11:13:35
,,,,,99.0,83.0,3.1,,,,,,,11:13:35
,,,,,99.0,83.0,3.2,,,,,,,11:13:36
,,,,,99.0,83.0,3.2,,,,,,,11:13:36
,,,,,99.0,76.0,3.5,,,,,,,11:13:37
,,,,,99.0,76.0,3.5,,,,,,,11:13:37
,,,,,99.0,74.0,3.7,,,,,,,11:13:38
,,,,,99.0,74.0,3.7,,,255.0,,,,11:13:38
,,,,,99.0,74.0,3.7,,,255.0,,,,11:13:39
,,,,,99.0,74.0,3.7,,,255.0,,,,11:13:39
,,,,,99.0,74.0,3.8,,,255.0,,,,11:13:40
,,,,,99.0,74.0,3.8,,,21.0,,,,11:13:40
,,,,,99.0,74.0,3.9,,,21.0,,,,11:13:41
,,,,,99.0,74.0,3.9,,,21.0,,,,11:13:41
