Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,Timestamp
,,,,,100.0,81.0,0.5,,,,15:33:26
,,,,,,,,,,255.0,15:33:38
,,,,,,,,,,255.0,15:33:39
,,,,,,,,,,255.0,15:33:39
,,,,,,,,,,255.0,15:33:40
,,,,,,,,,,198.0,15:33:58
,,,,,,,,,,198.0,15:33:59
,,,,,,,,,,198.0,15:33:59
,,,,,,,,,,198.0,15:34:00
,,,,,,,,,,255.0,15:34:10
,,,,,,,,,,255.0,15:34:11
,,,,,,,,,,255.0,15:34:11
,,,,,,,,,,255.0,15:34:12
,,,,,,,,98.0,,26.0,15:34:12
,,,,,,,,98.0,,26.0,15:34:13
,,,,,,,,98.0,,26.0,15:34:13
,,,,,,,,98.0,,26.0,15:34:14
,,,,,,,,99.0,66.0,54.0,15:34:14
,,,,,,,,99.0,66.0,54.0,15:34:15
,,,,,,,,99.0,66.0,54.0,15:34:15
,,,,,,,,99.0,66.0,54.0,15:34:16
,,,,,,,,99.0,66.0,54.0,15:34:16
,,,,,,,,99.0,66.0,54.0,15:34:17
,,,,,,,,99.0,66.0,54.0,15:34:17
,,,,,,,,99.0,66.0,54.0,15:34:18
,,,,,,,,99.0,66.0,72.0,15:34:18
,,,,,,,,99.0,66.0,72.0,15:34:19
,,,,,,,,99.0,66.0,72.0,15:34:19
,,,,,,,,99.0,66.0,72.0,15:34:20
,,,,,,,,98.0,66.0,41.0,15:34:20
,,,,,,,,98.0,66.0,41.0,15:34:21
,,,,,,,,98.0,66.0,41.0,15:34:21
,,,,,,,,98.0,66.0,41.0,15:34:22
,,,,,,,,98.0,65.0,40.0,15:34:22
,,,,,,,,98.0,65.0,40.0,15:34:23
,,,,,,,,98.0,65.0,40.0,15:34:23
,,,,,,,,98.0,65.0,40.0,15:34:24
,,,,,,,,98.0,65.0,40.0,15:34:24
,,,,,,,,98.0,65.0,40.0,15:34:25
,,,,,,,,98.0,65.0,40.0,15:34:25
,,,,,,,,98.0,65.0,40.0,15:34:26
,,,,,,,,98.0,66.0,38.0,15:34:26
,,,,,,,,98.0,66.0,38.0,15:34:27
,,,,,,,,98.0,66.0,38.0,15:34:27
,,,,,,,,98.0,66.0,38.0,15:34:28
,,,,,,,,98.0,66.0,40.0,15:34:28
,,,,,,,,98.0,66.0,40.0,15:34:29
,,,,,,,,98.0,66.0,40.0,15:34:29
,,,,,,,,98.0,66.0,40.0,15:34:30
,,,,,,,,98.0,67.0,39.0,15:34:30
,,,,,,,,98.0,67.0,39.0,15:34:31
,,,,,,,,98.0,67.0,39.0,15:34:31
,,,,,,,,98.0,67.0,39.0,15:34:32
,,,,,,,,98.0,69.0,36.0,15:34:32
,,,,,,,,98.0,69.0,36.0,15:34:33
,,,,,,,,98.0,69.0,36.0,15:34:33
,,,,,,,,98.0,69.0,36.0,15:34:34
,,,,,,,,98.0,69.0,32.0,15:34:34
,,,,,,,,98.0,69.0,32.0,15:34:35
,,,,,,,,98.0,69.0,32.0,15:34:35
,,,,,,,,98.0,69.0,32.0,15:34:36
,,,,,,,,98.0,70.0,32.0,15:34:36
,,,,,,,,98.0,70.0,32.0,15:34:37
,,,,,,,,98.0,70.0,32.0,15:34:37
,,,,,,,,98.0,70.0,32.0,15:34:38
,,,,,,,,98.0,70.0,32.0,15:34:38
,,,,,,,,98.0,70.0,32.0,15:34:39
,,,,,,,,98.0,70.0,32.0,15:34:39
,,,,,,,,98.0,70.0,32.0,15:34:40
,,,,,,,,98.0,71.0,30.0,15:34:40
,,,,,,,,98.0,71.0,30.0,15:34:41
,,,,,,,,98.0,71.0,30.0,15:34:41
,,,,,98.0,72.0,,98.0,71.0,30.0,15:34:42
,,,,,98.0,72.0,,98.0,71.0,30.0,15:34:42
,,,,,98.0,72.0,1.5,98.0,71.0,30.0,15:34:43
,,,,,98.0,72.0,1.5,98.0,71.0,30.0,15:34:43
,,,,,98.0,71.0,1.8,98.0,71.0,30.0,15:34:44
,,,,,98.0,71.0,1.8,98.0,71.0,33.0,15:34:44
,,,,,98.0,70.0,2.1,98.0,71.0,33.0,15:34:45
,,,,,98.0,70.0,2.1,98.0,71.0,33.0,15:34:45
,,,,,98.0,70.0,2.1,98.0,71.0,33.0,15:34:46
,,,,,98.0,70.0,2.1,98.0,68.0,32.0,15:34:46
,,,,,99.0,70.0,2.2,98.0,68.0,32.0,15:34:47
,,,,,99.0,70.0,2.2,98.0,68.0,32.0,15:34:47
,,,,,99.0,69.0,2.4,98.0,68.0,32.0,15:34:48
,,,,,99.0,69.0,2.4,98.0,66.0,29.0,15:34:48
,,,,,99.0,67.0,2.5,98.0,66.0,29.0,15:34:49
,,,,,99.0,67.0,2.5,98.0,66.0,29.0,15:34:49
,,,,,99.0,66.0,2.5,98.0,66.0,29.0,15:34:50
,,,,,99.0,66.0,2.5,98.0,65.0,25.0,15:34:50
,,,,,99.0,66.0,2.5,98.0,65.0,25.0,15:34:51
,,,,,99.0,66.0,2.5,98.0,65.0,25.0,15:34:51
,,,,,99.0,65.0,2.5,98.0,65.0,25.0,15:34:52
,,,,,99.0,65.0,2.5,98.0,66.0,24.0,15:34:52
,,,,,99.0,65.0,2.5,98.0,66.0,24.0,15:34:53
,,,,,99.0,65.0,2.5,98.0,66.0,24.0,15:34:53
,,,,,99.0,64.0,2.4,98.0,66.0,24.0,15:34:54
,,,,,99.0,64.0,2.4,98.0,64.0,24.0,15:34:54
,,,,,99.0,64.0,2.4,98.0,64.0,24.0,15:34:55
,,,,,99.0,64.0,2.4,98.0,64.0,24.0,15:34:55
,,,,,99.0,62.0,2.3,98.0,64.0,24.0,15:34:56
,,,,,99.0,62.0,2.3,98.0,64.0,24.0,15:34:56
,,,,,99.0,62.0,2.3,98.0,64.0,24.0,15:34:57
,,,,,99.0,62.0,2.3,98.0,64.0,24.0,15:34:57
,,,,,99.0,62.0,2.3,98.0,64.0,24.0,15:34:58
,,,,,99.0,62.0,2.3,98.0,64.0,24.0,15:34:58
,,,,,99.0,62.0,2.2,98.0,64.0,24.0,15:34:59
,,,,,99.0,62.0,2.2,98.0,64.0,24.0,15:34:59
,,,,,99.0,63.0,2.2,98.0,64.0,24.0,15:35:00
,,,,,99.0,63.0,2.2,98.0,63.0,23.0,15:35:00
,,,,,99.0,63.0,2.1,98.0,63.0,27.0,15:35:01
,,,,,99.0,63.0,2.1,98.0,63.0,27.0,15:35:01
,,,,,99.0,63.0,2.1,98.0,63.0,27.0,15:35:02
,,,,,99.0,63.0,2.1,98.0,65.0,24.0,15:35:02
,,,,,99.0,63.0,2.1,98.0,65.0,24.0,15:35:03
,,,,,99.0,63.0,2.1,98.0,65.0,24.0,15:35:03
,,,,,99.0,63.0,2.1,98.0,65.0,24.0,15:35:04
,,,,,99.0,63.0,2.1,98.0,67.0,22.0,15:35:04
,,,,,99.0,63.0,2.0,98.0,67.0,22.0,15:35:05
,,,,,99.0,63.0,2.0,98.0,67.0,22.0,15:35:05
,,,,,99.0,65.0,2.0,98.0,67.0,22.0,15:35:06
,,,,,99.0,65.0,2.0,98.0,70.0,22.0,15:35:06
,,,,,99.0,68.0,2.0,98.0,70.0,22.0,15:35:07
,,,,,99.0,68.0,2.0,98.0,70.0,22.0,15:35:07
,,,,,99.0,69.0,2.0,98.0,70.0,22.0,15:35:08
,,,,,99.0,69.0,2.0,98.0,69.0,24.0,15:35:08
,,,,,99.0,69.0,2.0,98.0,69.0,24.0,15:35:09
,,,,,99.0,69.0,2.0,98.0,69.0,24.0,15:35:09
,,,,,99.0,73.0,1.9,98.0,69.0,24.0,15:35:10
,,,,,99.0,73.0,1.9,99.0,66.0,26.0,15:35:10
,,,,,99.0,73.0,1.9,99.0,66.0,26.0,15:35:11
,,,,,99.0,73.0,1.9,99.0,66.0,26.0,15:35:11
,,,,,99.0,72.0,1.9,99.0,66.0,26.0,15:35:12
,,,,,99.0,72.0,1.9,99.0,64.0,27.0,15:35:12
,,,,,99.0,71.0,1.9,99.0,64.0,27.0,15:35:13
,,,,,99.0,71.0,1.9,99.0,64.0,27.0,15:35:13
,,,,,99.0,71.0,1.9,99.0,64.0,27.0,15:35:14
,,,,,99.0,71.0,1.9,98.0,63.0,27.0,15:35:14
,,,,,99.0,69.0,1.9,98.0,63.0,27.0,15:35:15
,,,,,99.0,69.0,1.9,98.0,63.0,27.0,15:35:15
,,,,,99.0,67.0,1.9,98.0,63.0,27.0,15:35:16
,,,,,99.0,67.0,1.9,98.0,63.0,27.0,15:35:16
,,,,,99.0,64.0,1.9,98.0,63.0,27.0,15:35:17
,,,,,99.0,64.0,1.9,98.0,63.0,27.0,15:35:17
,,,,,99.0,63.0,1.9,98.0,63.0,27.0,15:35:18
,,,,,99.0,63.0,1.9,98.0,60.0,31.0,15:35:18
,,,,,99.0,61.0,1.9,98.0,60.0,31.0,15:35:19
,,,,,99.0,61.0,1.9,98.0,60.0,31.0,15:35:19
,,,,,99.0,60.0,1.9,98.0,60.0,31.0,15:35:20
,,,,,99.0,60.0,1.9,98.0,60.0,33.0,15:35:20
,,,,,99.0,59.0,1.9,98.0,60.0,33.0,15:35:21
,,,,,99.0,59.0,1.9,98.0,60.0,33.0,15:35:21
,,,,,99.0,58.0,1.9,98.0,60.0,33.0,15:35:22
,,,,,99.0,58.0,1.9,98.0,60.0,36.0,15:35:22
,,,,,99.0,59.0,1.9,98.0,60.0,36.0,15:35:23
,,,,,99.0,59.0,1.9,98.0,60.0,36.0,15:35:23
,,,,,99.0,59.0,1.9,98.0,60.0,36.0,15:35:24
,,,,,99.0,59.0,1.9,98.0,60.0,36.0,15:35:24
,,,,,99.0,59.0,1.9,98.0,60.0,36.0,15:35:25
,,,,,99.0,59.0,1.9,98.0,60.0,36.0,15:35:25
,,,,,99.0,59.0,1.9,98.0,60.0,36.0,15:35:26
,,,,,99.0,59.0,1.9,98.0,60.0,36.0,15:35:26
,,,,,99.0,59.0,1.9,98.0,60.0,36.0,15:35:27
,,,,,99.0,59.0,1.9,98.0,60.0,36.0,15:35:27
,,,,,99.0,59.0,2.0,98.0,60.0,36.0,15:35:28
,,,,,99.0,59.0,2.0,98.0,61.0,31.0,15:35:28
,,,,,99.0,59.0,2.0,98.0,61.0,31.0,15:35:29
,,,,,99.0,59.0,2.0,98.0,61.0,31.0,15:35:29
,,,,,99.0,60.0,2.0,98.0,61.0,31.0,15:35:30
,,,,,99.0,60.0,2.0,98.0,62.0,31.0,15:35:30
,,,,,99.0,60.0,2.0,98.0,62.0,31.0,15:35:31
,,,,,99.0,60.0,2.0,98.0,62.0,31.0,15:35:31
,,,,,99.0,61.0,2.1,98.0,62.0,31.0,15:35:32
,,,,,99.0,61.0,2.1,98.0,64.0,26.0,15:35:32
,,,,,99.0,63.0,2.1,98.0,64.0,26.0,15:35:33
,,,,,99.0,63.0,2.1,98.0,64.0,26.0,15:35:33
,,,,,99.0,64.0,2.2,98.0,64.0,26.0,15:35:34
,,,,,99.0,64.0,2.2,98.0,68.0,23.0,15:35:34
