Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,Timestamp
,,,,,99.0,68.0,0.8,100.0,69.0,255.0,15:33:24
,,,,,99.0,69.0,0.8,100.0,69.0,76.0,15:33:25
,,,,,99.0,69.0,0.8,100.0,68.0,32.0,15:33:25
,,,,,99.0,69.0,0.8,100.0,68.0,32.0,15:33:25
,,,,,99.0,70.0,0.8,100.0,65.0,7.0,15:33:26
,,,,,98.0,70.0,0.8,100.0,65.0,7.0,15:33:26
,,,,,98.0,70.0,0.8,100.0,65.0,7.0,15:33:27
,,,,,97.0,70.0,0.8,100.0,65.0,7.0,15:33:27
,,,,,97.0,70.0,0.8,100.0,64.0,7.0,15:33:28
,,,,,97.0,70.0,0.8,100.0,64.0,7.0,15:33:28
,,,,,97.0,70.0,0.8,100.0,64.0,7.0,15:33:29
,,,,,97.0,70.0,0.8,100.0,64.0,7.0,15:33:29
,,,,,96.0,71.0,0.8,100.0,64.0,7.0,15:33:30
,,,,,96.0,71.0,0.8,100.0,64.0,7.0,15:33:30
,,,,,,,,100.0,64.0,7.0,15:33:31
,,,,,,,,100.0,64.0,7.0,15:33:31
,,,,,,,,100.0,64.0,7.0,15:33:32
,,,,,,,,100.0,64.0,7.0,15:33:32
,,,,,,,,100.0,64.0,7.0,15:33:33
,,,,,,,,100.0,64.0,7.0,15:33:33
,,,,,,,,100.0,64.0,7.0,15:33:34
,,,,,,,,100.0,64.0,7.0,15:33:34
,,,,,,,,100.0,64.0,7.0,15:33:35
,,,,,,,,100.0,62.0,7.0,15:33:35
,,,,,,,,100.0,60.0,7.0,15:33:36
,,,,,,,,100.0,60.0,7.0,15:33:36
,,,,,,,,100.0,60.0,7.0,15:33:37
,,,,,,,,100.0,60.0,7.0,15:33:37
,,,,,95.0,,0.5,100.0,60.0,7.0,15:33:38
,,,,,95.0,,0.5,100.0,60.0,7.0,15:33:38
,,,,,95.0,,0.6,100.0,60.0,7.0,15:33:39
,,,,,95.0,,0.6,100.0,60.0,7.0,15:33:39
,,,,,95.0,28.0,0.2,100.0,60.0,7.0,15:33:40
,,,,,95.0,28.0,0.2,100.0,60.0,7.0,15:33:40
,,,,,98.0,38.0,0.3,100.0,60.0,7.0,15:33:41
,,,,,98.0,38.0,0.3,100.0,60.0,7.0,15:33:41
,,,,,98.0,38.0,0.3,100.0,60.0,7.0,15:33:42
,,,,,98.0,38.0,0.3,100.0,60.0,7.0,15:33:42
,,,,,100.0,56.0,0.4,100.0,60.0,7.0,15:33:43
,,,,,100.0,56.0,0.4,100.0,60.0,7.0,15:33:43
,,,,,100.0,56.0,0.5,100.0,60.0,7.0,15:33:44
,,,,,100.0,56.0,0.5,100.0,60.0,7.0,15:33:44
,,,,,100.0,56.0,0.5,100.0,60.0,7.0,15:33:45
,,,,,100.0,56.0,0.5,100.0,60.0,7.0,15:33:45
,,,,,100.0,56.0,0.6,100.0,60.0,7.0,15:33:46
,,,,,100.0,56.0,0.6,100.0,60.0,7.0,15:33:46
,,,,,100.0,57.0,0.7,100.0,60.0,7.0,15:33:47
,,,,,100.0,57.0,0.7,100.0,60.0,7.0,15:33:47
,,,,,100.0,57.0,0.7,100.0,60.0,7.0,15:33:48
,,,,,100.0,57.0,0.7,100.0,60.0,7.0,15:33:48
,,,,,100.0,53.0,0.7,100.0,60.0,7.0,15:33:49
,,,,,100.0,53.0,0.7,100.0,60.0,7.0,15:33:49
,,,,,100.0,58.0,0.8,100.0,60.0,7.0,15:33:50
,,,,,100.0,58.0,0.8,100.0,60.0,7.0,15:33:50
,,,,,100.0,59.0,0.8,100.0,60.0,7.0,15:33:51
,,,,,100.0,59.0,0.8,100.0,60.0,7.0,15:33:51
,,,,,100.0,59.0,0.8,100.0,60.0,7.0,15:33:52
,,,,,100.0,59.0,0.8,100.0,60.0,7.0,15:33:52
,,,,,100.0,59.0,0.8,100.0,60.0,7.0,15:33:53
,,,,,100.0,59.0,0.8,100.0,60.0,7.0,15:33:53
,,,,,100.0,59.0,0.8,100.0,60.0,7.0,15:33:54
,,,,,100.0,59.0,0.8,100.0,60.0,7.0,15:33:54
,,,,,100.0,60.0,0.8,100.0,60.0,7.0,15:33:55
,,,,,100.0,60.0,0.8,100.0,60.0,7.0,15:33:55
,,,,,100.0,60.0,0.8,100.0,60.0,7.0,15:33:56
,,,,,100.0,60.0,0.8,100.0,60.0,7.0,15:33:56
,,,,,100.0,60.0,0.8,100.0,60.0,7.0,15:33:57
,,,,,100.0,60.0,0.8,100.0,60.0,7.0,15:33:57
,,,,,100.0,60.0,0.8,100.0,60.0,7.0,15:33:58
,,,,,100.0,60.0,0.8,100.0,60.0,7.0,15:33:58
,,,,,100.0,60.0,0.8,100.0,60.0,7.0,15:33:59
,,,,,100.0,60.0,0.8,100.0,60.0,7.0,15:33:59
,,,,,100.0,59.0,0.8,100.0,60.0,7.0,15:34:00
,,,,,100.0,59.0,0.8,100.0,60.0,7.0,15:34:00
,,,,,100.0,59.0,0.8,100.0,60.0,7.0,15:34:01
,,,,,100.0,59.0,0.8,100.0,60.0,7.0,15:34:01
,,,,,100.0,59.0,0.8,100.0,60.0,7.0,15:34:02
,,,,,100.0,59.0,0.8,100.0,60.0,7.0,15:34:02
,,,,,100.0,59.0,0.8,100.0,60.0,7.0,15:34:03
,,,,,100.0,59.0,0.8,100.0,60.0,7.0,15:34:03
,,,,,100.0,59.0,0.8,100.0,60.0,7.0,15:34:04
,,,,,100.0,59.0,0.8,100.0,60.0,7.0,15:34:04
,,,,,100.0,59.0,0.8,100.0,60.0,7.0,15:34:05
,,,,,100.0,59.0,0.8,100.0,60.0,7.0,15:34:05
,,,,,100.0,58.0,0.8,100.0,60.0,7.0,15:34:06
,,,,,100.0,58.0,0.8,100.0,60.0,7.0,15:34:06
,,,,,100.0,58.0,0.8,100.0,60.0,7.0,15:34:07
,,,,,100.0,58.0,0.8,100.0,60.0,7.0,15:34:07
,,,,,100.0,58.0,0.8,100.0,60.0,7.0,15:34:08
,,,,,100.0,58.0,0.8,100.0,60.0,7.0,15:34:08
,,,,,100.0,57.0,0.8,100.0,60.0,7.0,15:34:09
,,,,,100.0,57.0,0.8,100.0,60.0,7.0,15:34:09
,,,,,100.0,57.0,0.8,100.0,60.0,7.0,15:34:10
,,,,,100.0,57.0,0.8,100.0,60.0,7.0,15:34:10
