Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,Timestamp
,,,,55.0,,,,,,,10:17:43
,,,,59.0,,,,,,,10:17:44
,,,,,,,,,,57.0,10:18:30
,,,,,,,,,,57.0,10:18:31
,,,,,,,,,,57.0,10:18:31
,,,,,,,,,,57.0,10:18:32
,,,,,,,,,,126.0,10:18:32
,,,,,,,,,,126.0,10:18:33
,,,,,,,,,,126.0,10:18:33
,,,,,,,,,,126.0,10:18:34
,,,,,,,,,,255.0,10:18:52
,,,,,,,,,,255.0,10:18:53
,,,,,,,,,,255.0,10:18:53
,,,,,,,,,,255.0,10:18:54
,,,,,,,,,,255.0,10:18:54
,,,,,,,,,,255.0,10:18:55
,,,,,,,,,,255.0,10:18:55
,,,,,,,,,,255.0,10:18:56
,,,,,,,,,,255.0,10:18:56
,,,,,,,,,,255.0,10:18:57
,,,,,,,,,,255.0,10:18:57
,,,,,,,,,,255.0,10:18:58
,,,,,,,,,,255.0,10:18:58
,,,,,,,,,,255.0,10:18:59
,,,,,,,,,,255.0,10:18:59
,,,,,,,,,,255.0,10:19:00
,,,,,,,,97.0,,108.0,10:19:00
,,,,,,,,97.0,,108.0,10:19:01
,,,,,,,,97.0,,108.0,10:19:01
,,,,,,,,97.0,,108.0,10:19:02
,,,,,,,,97.0,67.0,149.0,10:19:02
,,,,,,,,97.0,67.0,149.0,10:19:03
,,,,,,,,97.0,67.0,149.0,10:19:03
,,,,,,,,97.0,67.0,149.0,10:19:04
,,,,,,,,97.0,67.0,100.0,10:19:04
,,,,,,,,97.0,67.0,100.0,10:19:05
,,,,,,,,97.0,67.0,100.0,10:19:05
,,,,,,,,97.0,67.0,100.0,10:19:06
,,,,,,,,97.0,70.0,72.0,10:19:06
,,,,,,,,97.0,70.0,72.0,10:19:07
,,,,,,,,97.0,70.0,72.0,10:19:07
,,,,,,,,97.0,70.0,72.0,10:19:08
,,,,,,,,97.0,72.0,74.0,10:19:08
,,,,,,,,97.0,72.0,74.0,10:19:09
,,,,,,,,97.0,72.0,74.0,10:19:09
,,,,,,,,97.0,72.0,74.0,10:19:10
,,,,,,,,97.0,72.0,65.0,10:19:10
,,,,,,,,97.0,72.0,65.0,10:19:11
,,,,,,,,97.0,72.0,65.0,10:19:11
,,,,,,,,97.0,72.0,65.0,10:19:12
,,,,,,,,97.0,71.0,70.0,10:19:12
,,,,,,,,97.0,71.0,70.0,10:19:13
,,,,,,,,97.0,71.0,70.0,10:19:13
,,,,,,,,97.0,71.0,70.0,10:19:14
,,,,,,,,97.0,70.0,76.0,10:19:14
,,,,,,,,97.0,70.0,76.0,10:19:15
,,,,,,,,97.0,70.0,76.0,10:19:15
,,,,,,,,97.0,70.0,76.0,10:19:16
,,,,,,,,97.0,70.0,76.0,10:19:16
,,,,,,,,97.0,70.0,76.0,10:19:17
,,,,,,,,97.0,70.0,76.0,10:19:17
,,,,,,,,96.0,70.0,75.0,10:19:18
,,,,,,,,96.0,70.0,81.0,10:19:18
,,,,,,,,96.0,70.0,81.0,10:19:19
,,,,,,,,96.0,70.0,81.0,10:19:19
,,,,,,,,96.0,70.0,81.0,10:19:20
,,,,,,,,96.0,70.0,80.0,10:19:20
,,,,,,,,96.0,70.0,80.0,10:19:21
,,,,,,,,96.0,70.0,80.0,10:19:21
,,,,,,,,96.0,70.0,80.0,10:19:22
,,,,,,,,96.0,70.0,81.0,10:19:22
,,,,,,,,96.0,70.0,81.0,10:19:23
,,,,,,,,96.0,70.0,81.0,10:19:23
,,,,,,,,96.0,70.0,81.0,10:19:24
,,,,,,,,96.0,70.0,77.0,10:19:24
,,,,,,,,96.0,70.0,77.0,10:19:25
,,,,,,,,96.0,70.0,77.0,10:19:25
,,,,,,,,96.0,70.0,77.0,10:19:26
,,,,,,,,96.0,70.0,71.0,10:19:26
,,,,,,,,96.0,70.0,71.0,10:19:27
,,,,,,,,96.0,70.0,71.0,10:19:27
,,,,,,,,96.0,70.0,71.0,10:19:28
,,,,,,,,96.0,71.0,60.0,10:19:28
,,,,,,,,96.0,71.0,60.0,10:19:29
,,,,,96.0,75.0,,96.0,71.0,60.0,10:19:29
,,,,,96.0,75.0,,96.0,71.0,60.0,10:19:30
,,,,,96.0,75.0,3.9,96.0,70.0,54.0,10:19:30
,,,,,96.0,75.0,3.9,96.0,70.0,54.0,10:19:31
