Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,dev64_SpO2,dev64_HR,dev64_PI,Timestamp
,,,,,98.0,63.0,2.8,,,,,,,13:12:26
,,,,,98.0,63.0,2.8,,,,,,,13:12:26
,,,,,98.0,64.0,3.8,,,,,,,13:12:27
,,,,,98.0,64.0,3.8,,,,,,,13:12:27
,,,,,98.0,64.0,3.8,,,,,,,13:12:28
,,,,,98.0,64.0,3.8,,,,,,,13:12:28
,,,,,98.0,64.0,4.3,,,,,,,13:12:29
,,,,,98.0,64.0,4.3,,,,,,,13:12:29
,,,,,99.0,62.0,4.6,,,,,,,13:12:30
,,,,,99.0,62.0,4.6,,,,,,,13:12:30
,,,,,99.0,61.0,4.6,,,,,,,13:12:31
,,,,,99.0,61.0,4.6,,,,,,,13:12:31
,,,,,99.0,60.0,4.6,,,,,,,13:12:32
,,,,,99.0,60.0,4.6,,,,,,,13:12:32
,,,,,99.0,59.0,4.7,,,,,,,13:12:33
,,,,,99.0,59.0,4.7,,,,,,,13:12:33
,,,,,99.0,59.0,4.7,,,,,,,13:12:34
,,,,,99.0,59.0,4.7,,,,,,,13:12:34
,,,,,99.0,59.0,4.7,,,,,,,13:12:35
,,,,,99.0,59.0,4.7,,,,,,,13:12:35
,,,,,99.0,59.0,4.7,,,,,,,13:12:36
,,,,,99.0,59.0,4.7,,,,,,,13:12:36
,,,,,99.0,59.0,4.8,,,,,,,13:12:37
,,,,,99.0,59.0,4.8,,,,,,,13:12:37
,,,,,99.0,59.0,4.9,,,,,,,13:12:38
,,,,,99.0,59.0,4.9,,,,,,,13:12:38
,,,,,99.0,60.0,5.0,,,,,,,13:12:39
,,,,,99.0,60.0,5.0,,,,,,,13:12:39
,,,,,99.0,60.0,5.0,,,,,,,13:12:40
,,,,,99.0,60.0,5.0,,,,,,,13:12:40
,,,,,99.0,59.0,5.1,,,,,,,13:12:41
,,,,,99.0,59.0,5.1,,,,,,,13:12:41
,,,,,99.0,58.0,5.3,,,,,,,13:12:42
,,,,,99.0,58.0,5.3,,,,,,,13:12:42
,,,,,99.0,58.0,5.4,,,,,,,13:12:43
,,,,,99.0,58.0,5.4,,,,,,,13:12:43
,,,,,99.0,58.0,5.4,,,,,,,13:12:44
,,,,,99.0,58.0,5.4,,,,,,,13:12:44
,,,,,99.0,58.0,5.4,,,,,,,13:12:45
,,,,,99.0,58.0,5.4,,,,,,,13:12:45
,,,,,99.0,58.0,5.4,,,,,,,13:12:46
,,,,,99.0,58.0,5.4,,,,,,,13:12:46
,,,,,99.0,58.0,5.3,,,,,,,13:12:48
,,,,,99.0,57.0,5.3,,,,,,,13:12:48
,,,,,99.0,57.0,5.3,,,,,,,13:12:48
,,,,,99.0,57.0,5.2,,,,,,,13:12:49
,,,,,99.0,57.0,5.2,,,,,,,13:12:50
,,,,,99.0,57.0,5.2,,,,,,,13:12:50
,,,,,99.0,57.0,5.2,,,,,,,13:12:50
,,,,,99.0,57.0,5.2,,,,,,,13:12:51
,,,,,99.0,57.0,5.2,,,,,,,13:12:52
,,,,,99.0,56.0,5.2,,,,,,,13:12:52
,,,,,99.0,56.0,5.2,,,,,,,13:12:52
,,,,,99.0,56.0,5.2,,,,,,,13:12:53
,,,,,99.0,56.0,5.2,,,,,,,13:12:54
,,,,,99.0,57.0,5.2,,,,,,,13:12:54
,,,,,99.0,57.0,5.2,,,,,,,13:12:54
,,,,,99.0,57.0,5.2,,,,,,,13:12:55
,,,,,99.0,57.0,5.2,,,,,,,13:12:56
,,,,,99.0,59.0,5.3,,,,,,,13:12:56
,,,,,99.0,59.0,5.3,,,,,,,13:12:56
,,,,,99.0,59.0,5.3,,,,,,,13:12:57
,,,,,99.0,59.0,5.3,,,,,,,13:12:58
,,,,,99.0,59.0,5.3,,,,,,,13:12:58
,,,,,99.0,59.0,5.3,,,,,,,13:12:58
,,,,,99.0,59.0,5.3,,,,,,,13:12:59
,,,,,99.0,59.0,5.3,,,,,,,13:13:00
