Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,dev64_SpO2,dev64_HR,dev64_PI,Timestamp
,,,,,96.0,87.0,1.8,,,,,,,10:07:13
,,,,,96.0,87.0,1.8,,,,,,,10:07:13
,,,,,96.0,89.0,2.7,,,,,,,10:07:14
,,,,,96.0,89.0,2.7,,,,,,,10:07:14
,,,,,96.0,89.0,2.7,,,,,,,10:07:15
,,,,,96.0,89.0,2.7,,,,,,,10:07:15
,,,,,96.0,94.0,3.1,,,,,,,10:07:16
,,,,,96.0,94.0,3.1,,,,,,,10:07:16
,,,,,97.0,94.0,3.2,,,,,,,10:07:17
,,,,,97.0,94.0,3.2,,,,,,,10:07:17
,,,,,97.0,99.0,3.3,,,,,,,10:07:18
,,,,,97.0,99.0,3.3,,,,,,,10:07:18
,,,,,97.0,97.0,3.3,,,,,,,10:07:19
,,,,,97.0,97.0,3.3,,,,,,,10:07:19
,,,,,97.0,95.0,3.3,,,,,,,10:07:20
,,,,,97.0,95.0,3.3,,,,,,,10:07:20
,,,,,97.0,95.0,3.3,,,,,,,10:07:21
,,,,,97.0,95.0,3.3,,,,,,,10:07:21
,,,,,97.0,95.0,3.2,,,,,,,10:07:22
,,,,,97.0,95.0,3.2,,,,,,,10:07:22
,,,,,97.0,92.0,3.1,,,,,,,10:07:23
,,,,,97.0,92.0,3.1,,,,,,,10:07:23
,,,,,97.0,92.0,3.0,,,,,,,10:07:24
,,,,,97.0,92.0,3.0,,,,,,,10:07:24
,,,,,97.0,93.0,2.9,,,,,,,10:07:25
,,,,,97.0,93.0,2.9,,,,,,,10:07:25
,,,,,97.0,93.0,2.8,,,,,,,10:07:26
,,,,,97.0,93.0,2.8,,,,,,,10:07:26
,,,,,97.0,94.0,2.8,,,,,,,10:07:27
,,,,,97.0,94.0,2.8,,,,,,,10:07:27
,,,,,97.0,96.0,2.8,,,,,,,10:07:28
,,,,,97.0,96.0,2.8,,,,,,,10:07:28
,,,,,97.0,96.0,2.7,,,,,,,10:07:29
,,,,,97.0,96.0,2.7,,,,,,,10:07:29
,,,,,98.0,95.0,2.7,,,,,,,10:07:30
,,,,,98.0,95.0,2.7,,,,,,,10:07:30
,,,,,98.0,94.0,2.7,,,,,,,10:07:31
,,,,,98.0,94.0,2.7,,,,,,,10:07:31
,,,,,98.0,94.0,2.7,,,,,,,10:07:32
,,,,,98.0,94.0,2.7,,,,,,,10:07:32
,,,,,98.0,94.0,2.7,,,,,,,10:07:33
,,,,,98.0,94.0,2.7,,,,,,,10:07:33
,,,,,98.0,93.0,2.6,,,,,,,10:07:34
,,,,,98.0,93.0,2.6,,,,,,,10:07:34
,,,,,98.0,93.0,2.6,,,,,,,10:07:35
,,,,,98.0,93.0,2.6,,,,,,,10:07:35
,,,,,98.0,94.0,2.6,,,,,,,10:07:36
,,,,,98.0,94.0,2.6,,,,,,,10:07:36
,,,,,98.0,97.0,2.6,,,,,,,10:07:37
,,,,,98.0,97.0,2.6,,,,,,,10:07:37
,,,,,98.0,97.0,2.6,,,,,,,10:07:38
,,,,,98.0,97.0,2.6,,,,,,,10:07:38
,,,,,98.0,98.0,2.6,,,,,,,10:07:39
,,,,,98.0,98.0,2.6,,,,,,,10:07:39
,,,,,98.0,96.0,2.6,,,,,,,10:07:40
,,,,,98.0,96.0,2.6,,,,,,,10:07:40
,,,,,98.0,95.0,2.6,,,,,,,10:07:41
,,,,,98.0,95.0,2.6,,,,,,,10:07:41
,,,,,98.0,94.0,2.6,,,,,,,10:07:42
,,,,,98.0,94.0,2.6,,,,,,,10:07:42
,,,,,98.0,93.0,2.5,,,,,,,10:07:43
,,,,,98.0,93.0,2.5,,,,,,,10:07:43
,,,,,98.0,93.0,2.5,,,,,,,10:07:44
,,,,,98.0,93.0,2.5,,,,,,,10:07:44
,,,,,98.0,91.0,2.5,,,,,,,10:07:45
