Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,Timestamp
,,,,,,,,,,255.0,14:14:43
,,,,,,,,,,255.0,14:14:44
,,,,,,,,,,255.0,14:14:44
,,,,,,,,,,255.0,14:14:45
,,,,,,,,,,255.0,14:14:45
,,,,,,,,,,255.0,14:14:46
,,,,,,,,,,255.0,14:14:46
,,,,,,,,,,255.0,14:14:47
,,,,,,,,99.0,82.0,26.0,14:14:47
,,,,,,,,100.0,84.0,22.0,14:14:48
,,,,,,,,100.0,84.0,22.0,14:14:48
,,,,,,,,100.0,84.0,22.0,14:14:49
,,,,,,,,100.0,84.0,22.0,14:14:49
,,,,,,,,100.0,84.0,22.0,14:14:50
,,,,,,,,100.0,84.0,22.0,14:14:50
,,,,,,,,100.0,84.0,22.0,14:14:51
,,,,,,,,100.0,84.0,22.0,14:14:51
,,,,,,,,100.0,84.0,22.0,14:14:52
,,,,,,,,100.0,84.0,22.0,14:14:52
,,,,,,,,100.0,84.0,22.0,14:14:53
,,,,,,,,100.0,84.0,22.0,14:14:53
,,,,,,,,100.0,84.0,22.0,14:14:54
,,,,,,,,100.0,84.0,22.0,14:14:54
,,,,,,,,100.0,84.0,22.0,14:14:55
,,,,,,,,100.0,84.0,22.0,14:14:55
,,,,,,,,100.0,84.0,22.0,14:14:56
,,,,,,,,100.0,84.0,22.0,14:14:56
,,,,,,,,100.0,84.0,22.0,14:14:57
,,,,,,,,100.0,84.0,22.0,14:14:57
,,,,,,,,100.0,84.0,22.0,14:14:58
,,,,,100.0,,,100.0,84.0,22.0,14:14:58
,,,,,100.0,,,100.0,84.0,22.0,14:14:59
,,,,,100.0,,1.5,100.0,84.0,22.0,14:14:59
,,,,,100.0,,1.5,100.0,84.0,22.0,14:15:00
,,,,,100.0,,2.1,100.0,84.0,22.0,14:15:00
,,,,,100.0,,2.1,100.0,84.0,22.0,14:15:01
,,,,,100.0,85.0,2.5,100.0,84.0,22.0,14:15:01
,,,,,100.0,85.0,2.5,100.0,84.0,22.0,14:15:02
,,,,,100.0,86.0,2.6,100.0,84.0,22.0,14:15:02
,,,,,100.0,86.0,2.6,100.0,84.0,22.0,14:15:03
,,,,,100.0,86.0,2.6,100.0,84.0,22.0,14:15:03
,,,,,100.0,86.0,2.6,100.0,84.0,22.0,14:15:04
,,,,,100.0,87.0,2.6,100.0,84.0,22.0,14:15:04
,,,,,100.0,87.0,2.6,100.0,84.0,22.0,14:15:05
,,,,,100.0,89.0,2.6,100.0,84.0,22.0,14:15:05
,,,,,100.0,89.0,2.6,100.0,84.0,22.0,14:15:06
,,,,,100.0,89.0,2.7,100.0,84.0,22.0,14:15:06
,,,,,100.0,89.0,2.7,100.0,84.0,22.0,14:15:07
,,,,,100.0,89.0,2.7,100.0,84.0,22.0,14:15:07
,,,,,100.0,89.0,2.7,100.0,84.0,22.0,14:15:08
,,,,,100.0,89.0,2.7,100.0,84.0,22.0,14:15:08
,,,,,100.0,89.0,2.7,100.0,84.0,22.0,14:15:09
,,,,,100.0,89.0,2.7,100.0,84.0,22.0,14:15:09
,,,,,100.0,89.0,2.7,100.0,84.0,22.0,14:15:10
,,,,,100.0,88.0,2.6,100.0,84.0,22.0,14:15:10
,,,,,100.0,88.0,2.6,100.0,84.0,22.0,14:15:11
,,,,,100.0,87.0,2.6,100.0,84.0,22.0,14:15:11
,,,,,100.0,87.0,2.6,100.0,84.0,22.0,14:15:12
,,,,,100.0,86.0,2.6,100.0,84.0,22.0,14:15:12
,,,,,100.0,86.0,2.6,100.0,84.0,22.0,14:15:13
,,,,,100.0,85.0,2.6,100.0,84.0,22.0,14:15:13
,,,,,100.0,85.0,2.6,100.0,84.0,22.0,14:15:14
,,,,,100.0,85.0,2.6,100.0,84.0,22.0,14:15:14
,,,,,100.0,85.0,2.6,100.0,84.0,22.0,14:15:15
,,,,,100.0,84.0,2.6,100.0,84.0,22.0,14:15:15
,,,,,100.0,84.0,2.6,100.0,84.0,22.0,14:15:16
,,,,,100.0,84.0,2.7,100.0,84.0,22.0,14:15:16
,,,,,100.0,84.0,2.7,100.0,84.0,22.0,14:15:17
,,,,,100.0,84.0,2.7,100.0,84.0,22.0,14:15:17
,,,,,100.0,84.0,2.7,100.0,84.0,22.0,14:15:18
,,,,,100.0,84.0,2.7,100.0,84.0,22.0,14:15:18
,,,,,100.0,84.0,2.7,100.0,84.0,22.0,14:15:19
,,,,,100.0,83.0,2.7,100.0,84.0,22.0,14:15:19
,,,,,100.0,83.0,2.7,100.0,84.0,22.0,14:15:20
,,,,,100.0,83.0,2.7,100.0,84.0,22.0,14:15:20
,,,,,100.0,83.0,2.7,100.0,84.0,22.0,14:15:21
,,,,,100.0,83.0,2.7,100.0,84.0,22.0,14:15:21
,,,,,100.0,83.0,2.7,100.0,84.0,22.0,14:15:22
,,,,,100.0,83.0,2.7,100.0,84.0,22.0,14:15:22
,,,,,100.0,83.0,2.7,100.0,84.0,22.0,14:15:23
,,,,,100.0,83.0,2.7,100.0,84.0,22.0,14:15:23
,,,,,100.0,83.0,2.7,100.0,84.0,22.0,14:15:24
