Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,dev64_SpO2,dev64_HR,dev64_PI,Timestamp
,,,,,91.0,,,,,,,,,15:04:37
,,,,,91.0,,,,,,,,,15:04:37
,,,,,90.0,,1.9,,,,,,,15:04:38
,,,,,90.0,,1.9,,,,,,,15:04:38
,,,,,88.0,,0.2,,,,,,,15:04:39
,,,,,88.0,,0.2,,,,,,,15:04:39
,,,,,88.0,,0.3,,,,,,,15:04:40
,,,,,88.0,,0.3,,,,,,,15:04:40
,,,,,88.0,83.0,0.3,,,,,,,15:04:41
,,,,,88.0,83.0,0.3,,,,,,,15:04:41
,,,,,88.0,83.0,0.3,,,,,,,15:04:42
,,,,,88.0,83.0,0.3,,,,,,,15:04:42
,,,,,88.0,79.0,0.3,,,,,,,15:04:43
,,,,,88.0,79.0,0.3,,,,,,,15:04:43
,,,,,89.0,80.0,0.3,,,,,,,15:04:44
,,,,,89.0,80.0,0.3,,,,,,,15:04:44
,,,,,95.0,78.0,0.3,,,,,,,15:04:45
,,,,,95.0,78.0,0.3,,,,,,,15:04:46
,,,,,99.0,79.0,0.3,,,,,,,15:04:46
,,,,,99.0,79.0,0.3,,,,,,,15:04:46
,,,,,99.0,79.0,0.3,,,,,,,15:04:47
,,,,,99.0,79.0,0.3,,,,,,,15:04:47
,,,,,100.0,79.0,0.3,,,,,,,15:04:48
,,,,,100.0,79.0,0.3,,,,,,,15:04:48
,,,,,100.0,79.0,0.4,,,,,,,15:04:49
,,,,,100.0,79.0,0.4,,,,,,,15:04:49
,,,,,100.0,79.0,0.4,,,,,,,15:04:50
,,,,,100.0,79.0,0.4,,,,,,,15:04:50
,,,,,100.0,79.0,0.4,,,,,,,15:04:51
,,,,,100.0,79.0,0.4,,,,,,,15:04:51
,,,,,100.0,80.0,0.4,,,,,,,15:04:52
,,,,,100.0,80.0,0.4,,,,,,,15:04:52
,,,,,100.0,80.0,0.4,,,,,,,15:04:53
,,,,,100.0,80.0,0.4,,,,,,,15:04:53
,,,,,100.0,81.0,0.4,,,,,,,15:04:54
,,,,,100.0,81.0,0.4,,,,,,,15:04:54
,,,,,100.0,81.0,0.4,,,,,,,15:04:55
,,,,,100.0,81.0,0.4,,,,,,,15:04:55
,,,,,100.0,82.0,0.4,,,,,,,15:04:56
,,,,,100.0,82.0,0.4,,,,,,,15:04:56
,,,,,100.0,83.0,0.4,,,,,,,15:04:57
,,,,,100.0,83.0,0.4,,,,,,,15:04:57
,,,,,100.0,86.0,0.4,,,,,,,15:04:58
,,,,,100.0,86.0,0.4,,,,,,,15:04:58
,,,,,100.0,86.0,0.4,,,,,,,15:04:59
,,,,,100.0,86.0,0.4,,,,,,,15:04:59
,,,,,100.0,91.0,0.4,,,,,,,15:05:00
,,,,,100.0,91.0,0.4,,,,,,,15:05:00
,,,,,100.0,95.0,0.4,,,,,,,15:05:01
,,,,,100.0,95.0,0.4,,,,,,,15:05:01
,,,,,100.0,100.0,0.4,,,,,,,15:05:02
,,,,,100.0,100.0,0.4,,,,,,,15:05:02
,,,,,100.0,101.0,0.3,,,,,,,15:05:03
,,,,,100.0,101.0,0.3,,,,,,,15:05:03
,,,,,100.0,101.0,0.3,,,,,,,15:05:04
,,,,,100.0,101.0,0.3,,,,,,,15:05:04
,,,,,100.0,101.0,0.3,,,,,,,15:05:05
,,,,,100.0,101.0,0.3,,,,,,,15:05:05
,,,,,100.0,101.0,0.3,,,,,,,15:05:06
,,,,,100.0,101.0,0.3,,,,,,,15:05:06
,,,,,100.0,101.0,0.3,,,,,,,15:05:07
,,,,,100.0,101.0,0.3,,,,,,,15:05:07
,,,,,100.0,101.0,0.3,,,,,,,15:05:08
,,,,,100.0,101.0,0.3,,,,,,,15:05:08
,,,,,100.0,99.0,0.3,,,,,,,15:05:09
,,,,,100.0,99.0,0.3,,,,,,,15:05:09
,,,,,100.0,99.0,0.3,,,,,,,15:05:10
,,,,,100.0,99.0,0.3,,,,,,,15:05:10
,,,,,100.0,98.0,0.3,,,,,,,15:05:11
,,,,,100.0,98.0,0.3,,,,,,,15:05:11
,,,,,100.0,97.0,0.3,,,,,,,15:05:12
,,,,,100.0,97.0,0.3,,,,,,,15:05:12
,,,,,100.0,93.0,0.3,,,,,,,15:05:13
,,,,,100.0,93.0,0.3,,,,,,,15:05:13
,,,,,100.0,91.0,0.3,,,,,,,15:05:14
,,,,,100.0,91.0,0.3,,,,,,,15:05:14
,,,,,100.0,91.0,0.3,,,,,,,15:05:15
,,,,,100.0,91.0,0.3,,,,,,,15:05:15
,,,,,100.0,89.0,0.3,,,,,,,15:05:16
,,,,,100.0,89.0,0.3,,,,,,,15:05:16
,,,,,100.0,86.0,0.3,,,,,,,15:05:17
,,,,,100.0,86.0,0.3,,,,,,,15:05:17
,,,,,100.0,85.0,0.3,,,,,,,15:05:18
,,,,,100.0,85.0,0.3,,,,,,,15:05:18
,,,,,100.0,86.0,0.3,,,,,,,15:05:19
