Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,Timestamp
,,,,,,,,,,1.0,09:19:43
,,,,,,,,,,1.0,09:19:44
,,,,,,,,,,1.0,09:19:45
,,,,,,,,,,1.0,09:19:46
,,,,,,,,,,1.0,09:19:50
,,,,,,,,,,1.0,09:19:51
,,,,,,,,,,1.0,09:19:51
,,,,,,,,,,1.0,09:19:52
,,,,,,,,,,1.0,09:19:58
,,,,,,,,,,1.0,09:19:58
,,,,,,,,,,1.0,09:19:59
,,,,,,,,,,1.0,09:19:59
,,,,,,,,,,3.0,09:20:00
,,,,,,,,,,3.0,09:20:00
,,,,,,,,,,2.0,09:20:01
,,,,,,,,,,1.0,09:20:01
,,,,,,,,,,1.0,09:20:04
,,,,,,,,,,1.0,09:20:06
,,,,,,,,,,1.0,09:20:06
,,,,,,,,,,1.0,09:20:07
,,,,,,,,,,1.0,09:20:12
,,,,,,,,,,2.0,09:20:18
,,,,,,,,,,2.0,09:20:19
,,,,,,,,,,1.0,09:20:21
,,,,,,,,,,1.0,09:20:21
,,,,,,,,,,1.0,09:20:27
,,,,,,,,,,2.0,09:20:28
,,,,,,,,,,2.0,09:20:28
,,,,,,,,,,1.0,09:20:29
,,,,,,,,,,1.0,09:20:30
,,,,,,,,,,1.0,09:20:30
,,,,,,,,,,1.0,09:20:31
,,,,,,,,,,1.0,09:20:31
,,,,,,,,,,23.0,09:20:42
,,,,,,,,,,30.0,09:20:42
,,,,,,,,,,14.0,09:20:43
,,,,,,,,,,3.0,09:20:43
,,,,,,,,,,2.0,09:20:44
,,,,,,,,,,1.0,09:20:44
,,,,,,,,,,3.0,09:20:45
,,,,,,,,,,5.0,09:20:45
,,,,,,,,,,2.0,09:20:46
,,,,,,,,,,1.0,09:20:46
,,,,,,,,,,1.0,09:20:47
,,,,,,,,,,1.0,09:20:47
,,,,,,,,,,1.0,09:20:48
,,,,,,,,,,1.0,09:20:53
,,,,,,,,,,1.0,09:20:54
,,,,,,,,,,1.0,09:20:54
,,,,,,,,,,2.0,09:20:55
,,,,,,,,,,1.0,09:20:55
,,,,,,,,,,1.0,09:20:56
,,,,,,,,,,1.0,09:20:57
,,,,,,,,,,1.0,09:20:57
,,,,,,,,,,1.0,09:20:57
,,,,,,,,,,1.0,09:20:58
,,,,,,,,,,1.0,09:20:58
,,,,,,,,,,1.0,09:21:00
,,,,,,,,,,1.0,09:21:00
,,,,,,,,,,1.0,09:21:01
,,,,,,,,,,1.0,09:21:01
,,,,,,,,,,2.0,09:21:02
,,,,,,,,,,3.0,09:21:02
,,,,,,,,,,1.0,09:21:03
,,,,,,,,,,1.0,09:21:03
,,,,,,,,,,2.0,09:21:17
,,,,,,,,,,1.0,09:21:17
,,,,,,,,,,1.0,09:21:19
,,,,,,,,,,1.0,09:21:20
,,,,,,,,,,1.0,09:21:20
,,,,,,,,,,1.0,09:21:21
,,,,,,,,,,3.0,09:21:21
,,,,,,,,,,3.0,09:21:22
,,,,,,,,,,9.0,09:21:22
,,,,,,,,,,9.0,09:21:23
,,,,,,,,,,1.0,09:21:23
,,,,,,,,,,1.0,09:21:24
,,,,,,,,,,1.0,09:21:24
,,,,,,,,,,1.0,09:21:25
,,,,,,,,,,1.0,09:21:36
,,,,,,,,,,1.0,09:21:36
,,,,,,,,,,1.0,09:21:39
,,,,,,,,,,1.0,09:21:41
,,,,,,,,,,1.0,09:21:41
,,,,,,,,,,2.0,09:21:43
,,,,,,,,,,2.0,09:21:43
,,,,,,,,,,1.0,09:21:50
,,,,,,,,,,1.0,09:21:53
,,,,,,,,,,1.0,09:21:53
,,,,,,,,,,1.0,09:21:57
,,,,,,,,,,1.0,09:21:58
,,,,,,,,,,1.0,09:21:59
,,,,,,,,,,1.0,09:22:00
,,,,,,,,,,1.0,09:22:04
,,,,,,,,,,2.0,09:22:04
,,,,,,,,,,1.0,09:22:07
,,,,,,,,,,1.0,09:22:07
,,,,,,,,,,1.0,09:22:08
,,,,,,,,,,1.0,09:22:08
,,,,,,,,,,1.0,09:22:09
,,,,,,,,,,1.0,09:22:12
,,,,,,,,,,1.0,09:22:14
,,,,,,,,,,1.0,09:22:15
,,,,,,,,,,1.0,09:22:15
,,,,,,,,,,1.0,09:22:16
,,,,,,,,,,1.0,09:22:16
,,,,,,,,,,1.0,09:22:17
,,,,,,,,,,1.0,09:22:17
,,,,,,,,,,1.0,09:22:18
,,,,,,,,,,1.0,09:22:18
,,,,,,,,,,1.0,09:22:22
,,,,,,,,,,1.0,09:22:22
,,,,,,,,,,1.0,09:22:33
,,,,,,,,,,1.0,09:22:34
,,,,,,,,,,1.0,09:22:34
,,,,,,,,,,2.0,09:22:35
,,,,,,,,,,2.0,09:22:36
,,,,,,,,,,1.0,09:22:40
,,,,,,,,,,1.0,09:22:41
,,,,,,,,,,1.0,09:22:41
,,,,,,,,,,1.0,09:22:42
,,,,,,,,,,1.0,09:22:42
,,,,,,,,,,1.0,09:22:54
,,,,,,,,,,1.0,09:22:54
,,,,,,,,,,1.0,09:23:15
,,,,,,,,,,2.0,09:23:15
,,,,,,,,,,1.0,09:23:17
,,,,,,,,,,1.0,09:23:20
,,,,,,,,,,1.0,09:23:20
,,,,,,,,,,1.0,09:23:21
,,,,,,,,,,1.0,09:23:21
,,,,,,,,,,1.0,09:23:27
,,,,,,,,,,1.0,09:23:28
,,,,,,,,,,1.0,09:23:28
,,,,,,,,,,1.0,09:23:29
,,,,,,,,,,2.0,09:23:29
,,,,,,,,,,2.0,09:23:30
,,,,,,,,,,1.0,09:23:30
,,,,,,,,,,1.0,09:23:31
,,,,,,,,,,1.0,09:23:32
,,,,,,,,,,1.0,09:23:33
,,,,,,,,,,3.0,09:23:53
,,,,,,,,,,3.0,09:23:54
,,,,,,,,,,3.0,09:23:54
,,,,,,,,,,3.0,09:23:55
,,,,,,,,,,3.0,09:23:55
,,,,,,,,,,1.0,09:23:56
,,,,,,,,,,1.0,09:23:56
,,,,,,,,,,1.0,09:23:57
,,,,,,,,,,1.0,09:23:57
,,,,,,,,,,2.0,09:23:58
,,,,,,,,,,2.0,09:23:58
,,,,,,,,,,1.0,09:23:59
,,,,,,,,,,1.0,09:23:59
,,,,,,,,,,3.0,09:24:00
,,,,,,,,,,2.0,09:24:00
,,,,,,,,,,2.0,09:24:01
,,,,,,,,,,1.0,09:24:01
,,,,,,,,,,2.0,09:24:02
,,,,,,,,,,2.0,09:24:02
,,,,,,,,,,1.0,09:24:03
,,,,,,,,,,1.0,09:24:03
,,,,,,,,,,1.0,09:24:04
,,,,,,,,,,1.0,09:24:04
,,,,,,,,,,1.0,09:24:05
,,,,,,,,,,1.0,09:24:05
,,,,,,,,,,1.0,09:24:06
,,,,,,,,,,1.0,09:24:06
,,,,,,,,,,1.0,09:24:07
,,,,,,,,,,1.0,09:24:07
,,,,,,,,,,1.0,09:24:08
,,,,,,,,,,1.0,09:24:08
,,,,,,,,,,1.0,09:24:09
,,,,,,,,,,1.0,09:24:09
,,,,,,,,,,1.0,09:24:10
,,,,,,,,,,1.0,09:24:10
,,,,,,,,,,1.0,09:24:11
,,,,,,,,,,1.0,09:24:12
,,,,,,,,,,1.0,09:24:12
,,,,,,,,,,1.0,09:24:13
,,,,,,,,,,1.0,09:24:13
,,,,,,,,,,1.0,09:24:14
,,,,,,,,,,1.0,09:24:14
,,,,,,,,,,1.0,09:24:15
,,,,,,,,,,1.0,09:24:15
,,,,,,,,,,1.0,09:24:16
,,,,,,,,,,1.0,09:24:16
,,,,,,,,,,1.0,09:24:17
,,,,,,,,,,1.0,09:24:18
,,,,,,,,,,1.0,09:24:19
,,,,,,,,,,1.0,09:24:19
,,,,,,,,,,1.0,09:24:20
,,,,,,,,,,1.0,09:24:20
,,,,,,,,,,1.0,09:24:21
,,,,,,,,,,1.0,09:24:21
,,,,,,,,,,1.0,09:24:22
,,,,,,,,,,1.0,09:24:22
,,,,,,,,,,1.0,09:24:23
,,,,,,,,,,1.0,09:24:23
,,,,,,,,,,1.0,09:24:24
,,,,,,,,,,1.0,09:24:24
,,,,,,,,,,1.0,09:24:25
,,,,,,,,,,1.0,09:24:25
,,,,,,,,,,19.0,09:24:26
,,,,,,,,,,22.0,09:24:26
,,,,,,,,,,53.0,09:24:27
,,,,,,,,,,90.0,09:24:27
,,,,,,,,,,194.0,09:24:28
,,,,,,,,,,194.0,09:24:28
,,,,,,,,,,150.0,09:24:29
,,,,,,,,,,184.0,09:24:29
,,,,,,,,,,69.0,09:24:30
,,,,,,,,,,4.0,09:24:30
,,,,,,,,,,25.0,09:24:31
,,,,,,,,,,10.0,09:24:31
,,,,,,,,,,8.0,09:24:32
,,,,,,,,,,115.0,09:24:32
,,,,,,,,,,115.0,09:24:33
,,,,,,,,,,25.0,09:24:33
,,,,,,,,,,10.0,09:24:34
,,,,,,,,,,7.0,09:24:34
,,,,,,,,,,10.0,09:24:35
,,,,,,,,,,3.0,09:24:35
,,,,,,,,,,3.0,09:24:36
,,,,,,,,,,3.0,09:24:36
,,,,,,,,,,3.0,09:24:37
,,,,,,,,,,28.0,09:24:37
,,,,,,,,,,151.0,09:24:38
,,,,,,,,,,124.0,09:24:38
,,,,,,,,,,65.0,09:24:39
,,,,,,,,,,42.0,09:24:39
,,,,,,,,,,27.0,09:24:40
,,,,,,,,,,27.0,09:24:40
,,,,,,,,,,12.0,09:24:41
,,,,,,,,,,69.0,09:24:41
,,,,,,,,,,110.0,09:24:42
,,,,,,,,,,67.0,09:24:42
,,,,,,,,,,22.0,09:24:43
,,,,,,,,,,4.0,09:24:43
,,,,,,,,,,3.0,09:24:44
,,,,,,,,,,2.0,09:24:44
,,,,,,,,,,1.0,09:24:45
,,,,,,,,,,1.0,09:24:45
,,,,,,,,,,1.0,09:24:46
,,,,,,,,,,1.0,09:24:46
,,,,,,,,,,1.0,09:24:47
,,,,,,,,,,72.0,09:24:47
,,,,,,,,,,212.0,09:24:48
,,,,,,,,,,255.0,09:24:48
,,,,,,,,,,255.0,09:24:49
,,,,,,,,,,255.0,09:24:49
,,,,,,,,,,255.0,09:24:50
,,,,,,,,,,255.0,09:24:50
,,,,,,,,,,255.0,09:24:51
,,,,,,,,,,115.0,09:24:51
,,,,,,,,,,255.0,09:24:52
,,,,,,,,,,255.0,09:24:52
,,,,,,,,,,206.0,09:24:53
,,,,,,,,,,231.0,09:24:53
,,,,,,,,,,175.0,09:24:54
,,,,,,,,,,255.0,09:24:54
,,,,,,,,,,255.0,09:24:55
,,,,,,,,,,254.0,09:24:55
,,,,,,,,,,254.0,09:24:56
,,,,,,,,,,23.0,09:24:56
,,,,,,,,,,23.0,09:24:57
,,,,,,,,,,23.0,09:24:57
,,,,,,,,,,23.0,09:24:58
,,,,,,,,,,23.0,09:24:58
,,,,,,,,,,23.0,09:24:59
,,,,,,,,,,23.0,09:24:59
,,,,,,,,,,23.0,09:25:00
,,,,,,,,,,1.0,09:25:00
,,,,,,,,,,1.0,09:25:01
,,,,,,,,,,1.0,09:25:01
,,,,,,,,,,1.0,09:25:02
,,,,,,,,,,1.0,09:25:02
,,,,,,,,,,1.0,09:25:03
,,,,,,,,,,1.0,09:25:03
,,,,,,,,,,1.0,09:25:04
,,,,,,,,,,1.0,09:25:08
,,,,,,,,,,1.0,09:25:09
,,,,,,,,,,1.0,09:25:09
,,,,,,,,,,1.0,09:25:10
,,,,,,,,,,1.0,09:25:10
,,,,,,,,,,1.0,09:25:11
,,,,,,,,,,1.0,09:25:11
,,,,,,,,,,1.0,09:25:12
,,,,,,,,,,1.0,09:25:32
,,,,,,,,,,1.0,09:25:33
,,,,,,,,,,1.0,09:25:33
,,,,,,,,,,1.0,09:25:34
,,,,,,,,,,2.0,09:25:34
,,,,,,,,,,2.0,09:25:35
,,,,,,,,,,2.0,09:25:35
,,,,,,,,,,2.0,09:25:36
,,,,,,,,,,10.0,09:25:36
,,,,,,,,,,10.0,09:25:37
,,,,,,,,,,10.0,09:25:37
,,,,,,,,,,10.0,09:25:38
,,,,,,,,,,10.0,09:25:38
,,,,,,,,,,10.0,09:25:39
,,,,,,,,,,10.0,09:25:39
,,,,,,,,,,10.0,09:25:40
,,,,,,,,,,1.0,09:25:44
,,,,,,,,,,1.0,09:25:45
,,,,,,,,,,1.0,09:25:45
,,,,,,,,,,1.0,09:25:46
,,,,,,,,,,3.0,09:25:46
,,,,,,,,,,3.0,09:25:47
,,,,,,,,,,3.0,09:25:47
,,,,,,,,,,3.0,09:25:48
,,,,,,,,,,3.0,09:25:48
,,,,,,,,,,3.0,09:25:49
,,,,,,,,,,3.0,09:25:49
,,,,,,,,,,3.0,09:25:50
,,,,,,,,,,4.0,09:25:50
,,,,,,,,,,4.0,09:25:51
,,,,,,,,,,4.0,09:25:51
,,,,,,,,,,4.0,09:25:52
,,,,,,,,,,1.0,09:25:52
,,,,,,,,,,1.0,09:25:53
,,,,,,,,,,1.0,09:25:53
,,,,,,,,,,1.0,09:25:54
,,,,,,,,,,1.0,09:25:54
,,,,,,,,,,1.0,09:25:55
,,,,,,,,,,1.0,09:25:55
,,,,,,,,,,1.0,09:25:56
,,,,,,,,,,2.0,09:26:04
,,,,,,,,,,2.0,09:26:05
,,,,,,,,,,2.0,09:26:05
,,,,,,,,,,2.0,09:26:06
,,,,,,,,,,2.0,09:26:06
,,,,,,,,,,2.0,09:26:07
,,,,,,,,,,2.0,09:26:07
,,,,,,,,,,2.0,09:26:08
,,,,,,,,,,17.0,09:26:08
,,,,,,,,,,17.0,09:26:09
,,,,,,,,,,17.0,09:26:09
,,,,,,,,,,17.0,09:26:10
,,,,,,,,,,12.0,09:26:10
