Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,dev64_SpO2,dev64_HR,dev64_PI,Timestamp
,,,,,18.0,20.0,,,,,,,,15:29:30
,,,,,100.0,92.0,1.0,99.0,82.0,7.0,,,,15:29:30
,,,,,100.0,90.0,1.0,99.0,82.0,8.0,,,,15:29:31
,,,,,100.0,84.0,1.0,99.0,83.0,7.0,,,,15:29:31
,,,,,100.0,83.0,1.0,99.0,82.0,7.0,,,,15:29:32
,,,,,100.0,83.0,1.0,99.0,79.0,8.0,,,,15:29:32
,,,,,100.0,83.0,1.0,99.0,81.0,8.0,,,,15:29:33
,,,,,100.0,86.0,1.0,99.0,81.0,8.0,,,,15:29:33
,39.575096,95.228739,97.265645,10.0,100.0,82.0,1.0,99.0,85.0,8.0,,,,15:29:34
,,95.228739,100.0,,100.0,82.0,1.0,99.0,85.0,8.0,,,,15:29:34
,,95.228739,100.0,,100.0,82.0,1.0,99.0,85.0,8.0,,,,15:29:35
,40.307873,95.228739,97.228658,8.0,100.0,83.0,1.0,99.0,85.0,8.0,,,,15:29:35
,40.307873,88.850314,96.597249,8.0,100.0,81.0,1.0,99.0,85.0,8.0,,,,15:29:36
,40.307873,88.850314,96.597249,8.0,100.0,78.0,1.0,99.0,85.0,8.0,,,,15:29:36
,40.307873,88.850314,96.597249,8.0,100.0,81.0,1.0,99.0,85.0,8.0,,,,15:29:37
,40.307873,88.850314,96.597249,8.0,100.0,81.0,1.0,99.0,85.0,8.0,,,,15:29:37
,40.307873,88.850314,96.597249,8.0,100.0,81.0,1.0,99.0,83.0,8.0,,,,15:29:38
,40.413773,88.850314,96.590646,8.0,100.0,84.0,1.0,99.0,83.0,8.0,,,,15:29:38
,40.413773,88.640403,96.566762,8.0,100.0,85.0,1.0,99.0,83.0,8.0,,,,15:29:39
,40.413773,88.640403,96.566762,8.0,100.0,84.0,1.0,99.0,83.0,8.0,,,,15:29:39
,40.413773,88.640403,96.566762,8.0,100.0,86.0,1.0,99.0,85.0,6.0,,,,15:29:40
,40.413773,88.640403,96.566762,8.0,100.0,86.0,1.0,99.0,85.0,6.0,,,,15:29:40
,40.413773,88.640403,96.566762,8.0,100.0,86.0,1.0,99.0,85.0,6.0,,,,15:29:41
,40.426781,88.640403,96.565946,8.0,100.0,86.0,1.0,99.0,85.0,6.0,,,,15:29:41
,40.426781,88.418529,96.540456,8.0,100.0,88.0,1.0,99.0,85.0,7.0,,,,15:29:42
,40.426781,88.418529,96.540456,8.0,100.0,88.0,1.0,99.0,85.0,7.0,,,,15:29:42
,40.426781,88.418529,96.540456,8.0,100.0,89.0,1.0,99.0,85.0,7.0,,,,15:29:43
,40.426781,88.418529,96.540456,8.0,100.0,89.0,1.0,99.0,85.0,7.0,,,,15:29:43
,40.426781,88.418529,96.540456,8.0,100.0,90.0,1.0,99.0,87.0,7.0,,,,15:29:44
,40.668198,88.418529,96.525198,8.0,100.0,90.0,1.0,99.0,87.0,7.0,,,,15:29:44
