Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,dev64_SpO2,dev64_HR,dev64_PI,Timestamp
,13.251031,,,,,,,,,,,,,11:15:39
,13.251031,,,,,,,,,,,,,11:15:39
,13.251031,,,,,,,,,,,,,11:15:40
,14.90828,,,,,,,,,,,,,11:15:40
,14.3341,144.245314,99.601761,,,,,,,,,,,11:15:41
,14.3341,144.245314,99.601761,,,,,,,,,,,11:15:41
,,,,45.0,,,,,,,,,,11:16:06
,15.340335,144.170582,99.582516,12.0,,,,,,,,,,11:16:08
,,144.170582,100.0,,,,,,,,,,,11:16:08
,16.448124,144.170582,99.562432,8.0,,,,,,,,,,11:16:09
,16.448124,144.170582,99.562432,8.0,,,,,,,,,,11:16:09
,16.448124,143.820479,99.559392,8.0,,,,,,,,,,11:16:10
,16.448124,143.820479,99.559392,8.0,,,,,,,,,,11:16:10
,16.448124,143.820479,99.559392,8.0,,,,,,,,,,11:16:11
,16.448124,143.820479,99.559392,,,,,,,,,,,11:16:11
,16.448124,143.820479,99.559392,,,,,,,,,,,11:16:12
,16.448124,143.820479,99.559392,7.0,,,,,,,,,,11:16:12
,16.448124,143.820479,99.559392,7.0,,,,,,,,,,11:16:13
,16.448124,143.820479,99.559392,8.0,,,,,,,,,,11:16:13
,16.448124,143.820479,99.559392,6.0,,,,,,,,,,11:16:14
,16.448124,143.820479,99.559392,6.0,,,,,,,,,,11:16:14
,16.448124,143.820479,99.559392,6.0,,,,,,,,,,11:16:15
,15.497991,144.039075,99.57854,5.0,,,,,,,,,,11:16:15
,15.497991,144.037631,99.578528,5.0,,,,,,,,,,11:16:16
,15.497991,144.037631,99.578528,5.0,,,,,,,,,,11:16:17
,15.497991,144.037631,99.578528,5.0,,,,,,,,,,11:16:17
,15.497991,144.037631,99.578528,5.0,,,,,,,,,,11:16:18
,15.497991,144.037631,99.578528,5.0,,,,,,,,,,11:16:18
,15.497991,144.037631,99.578528,5.0,,,,,,,,,,11:16:19
,15.497991,144.037631,99.578528,5.0,,,,,,,,,,11:16:19
,15.497991,144.037631,99.578528,5.0,,,,,,,,,,11:16:20
,15.497991,144.037631,99.578528,4.0,,,,,,,,,,11:16:20
,15.497991,144.037631,99.578528,5.0,,,,,,,,,,11:16:21
,15.497991,144.037631,99.578528,5.0,,,,,,,,,,11:16:21
,15.497991,144.037631,99.578528,5.0,,,,,,,,,,11:16:22
,15.497991,144.037631,99.578528,4.0,,,,,,,,,,11:16:22
,18.822577,143.265631,99.512081,3.0,,,,,,,,,,11:16:23
,18.822577,143.18304,99.511271,3.0,,,,,,,,,,11:16:23
,18.822577,143.18304,99.511271,3.0,,,,,,,,,,11:16:24
,15.497991,143.18304,99.571355,,,,,,,,,,,11:16:24
,15.497991,143.18304,99.571355,,,,,,,,,,,11:16:25
,19.050825,143.18304,99.507281,2.0,,,,,,,,,,11:16:25
,19.050825,143.117508,99.506632,2.0,,,,,,,,,,11:16:26
,19.050825,143.117508,99.506632,2.0,,,,,,,,,,11:16:26
,19.050825,143.117508,99.506632,4.0,,,,,,,,,,11:16:27
,19.050825,143.117508,99.506632,5.0,,,,,,,,,,11:16:27
,18.164755,143.29919,99.52397,5.0,,,,,,,,,,11:16:27
,18.164755,143.271748,99.523709,5.0,,,,,,,,,,11:16:28
,18.164755,143.204351,99.523066,9.0,,,,,,,,,,11:16:28
,18.164755,143.204351,99.523066,,,,,,,,,,,11:16:29
,16.321388,143.626757,99.56,,,,,,,,,,,11:16:29
,16.321388,143.626757,99.56,,,,,,,,,,,11:16:30
,17.547823,143.626757,99.537966,,,,,,,,,,,11:16:30
,17.294405,143.626757,99.542476,,,,,,,,,,,11:16:31
,17.017044,143.483217,99.546144,,,,,,,,,,,11:16:31
,,143.483217,100.0,,,,,,,,,,,11:16:32
,,143.483217,100.0,,,,,,,,,,,11:16:32
,,,,9.0,,,,,,,,,,11:17:16
,,,,9.0,,,,,,,,,,11:17:17
,20.868254,,,9.0,,,,,,,,,,11:17:18
,20.868254,,,7.0,,,,,,,,,,11:17:18
,20.868254,142.681369,99.470704,7.0,,,,,,,,,,11:17:19
,20.868254,142.681369,99.470704,,,,,,,,,,,11:17:19
,20.868254,142.681369,99.470704,,,,,,,,,,,11:17:20
,20.868254,142.681369,99.470704,8.0,,,,,,,,,,11:17:20
,20.868254,142.681369,99.470704,9.0,,,,,,,,,,11:17:21
,19.415503,142.681369,99.495869,7.0,,,,,,,,,,11:17:21
,19.415503,142.681369,99.495869,6.0,,,,,,,,,,11:17:22
,19.415503,143.194011,99.501048,6.0,,,,,,,,,,11:17:22
,19.415503,143.194011,99.501048,6.0,,,,,,,,,,11:17:23
