Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,Timestamp
,,,,,,,,,,1.0,14:08:22
,,,,,,,,,,5.0,14:08:22
,,,,,,,,,,5.0,14:08:23
,,,,,,,,,,5.0,14:08:23
,,,,,,,,,,5.0,14:08:24
,,,,,,,,,,4.0,14:08:24
,,,,,,,,,,1.0,14:08:25
,,,,,,,,,,1.0,14:08:27
,,,,,,,,,,1.0,14:08:27
,,,,,,,,,,2.0,14:08:28
,,,,,,,,,,1.0,14:08:28
,,,,,,,,,,2.0,14:08:29
,,,,,,,,,,2.0,14:08:29
,,,,,,,,,,1.0,14:08:33
,,,,,,,,,,2.0,14:08:33
,,,,,,,,,,2.0,14:08:34
,,,,,,,,,,1.0,14:08:39
,,,,,,,,,,1.0,14:08:39
,,,,,,,,,,1.0,14:08:40
,,,,,,,,,,1.0,14:08:40
,,,,,,,,,,1.0,14:08:41
,,,,,,,,,,2.0,14:08:50
,,,,,,,,,,2.0,14:08:50
,,,,,,,,,,2.0,14:08:51
,,,,,,,,,,2.0,14:08:51
,,,,,,,,,,2.0,14:08:52
,,,,,,,,,,2.0,14:08:52
,,,,,,,,,,1.0,14:08:53
,,,,,,,,,,4.0,14:09:00
,,,,,,,,,,4.0,14:09:01
,,,,,,,,,,4.0,14:09:01
,,,,,,,,,,5.0,14:09:02
,,,,,,,,,,4.0,14:09:02
,,,,,,,,,,4.0,14:09:03
,,,,,,,,,,6.0,14:09:03
,,,,,,,,,,3.0,14:09:04
,,,,,,,,,,3.0,14:09:04
,,,,,,,,,,3.0,14:09:05
,,,,,,,,,,3.0,14:09:05
,,,,,,,,,,3.0,14:09:06
,,,,,,,,,,2.0,14:09:06
,,,,,,,,,,2.0,14:09:07
,,,,,,,,,,1.0,14:09:07
,,,,,,,,,,1.0,14:09:08
,,,,,,,,,,1.0,14:09:08
,,,,,,,,,,1.0,14:09:09
,,,,,,,,,,1.0,14:09:09
,,,,,,,,,,1.0,14:09:10
,,,,,,,,,,1.0,14:09:10
,,,,,,,,,,2.0,14:09:11
,,,,,,,,,,1.0,14:09:11
,,,,,,,,,,1.0,14:09:12
,,,,,,,,,,1.0,14:09:12
,,,,,,,,,,1.0,14:09:13
,,,,,,,,,,1.0,14:09:13
,,,,,,,,,,1.0,14:09:14
,,,,,,,,,,1.0,14:09:14
,,,,,,,,,,1.0,14:09:15
,,,,,,,,,,1.0,14:09:15
,,,,,,,,,,1.0,14:09:16
,,,,,,,,,,1.0,14:09:16
,,,,,,,,,,1.0,14:09:17
,,,,,,,,,,1.0,14:09:17
,,,,,,,,,,1.0,14:09:18
,,,,,,,,,,1.0,14:09:18
,,,,,,,,,,1.0,14:09:19
,,,,,,,,,,1.0,14:09:19
,,,,,,,,,,1.0,14:09:20
,,,,,,,,,,1.0,14:09:20
,,,,,,,,,,1.0,14:09:21
,,,,,,,,,,1.0,14:09:21
,,,,,,,,,,1.0,14:09:22
,,,,,,,,,,1.0,14:09:22
,,,,,,,,,,1.0,14:09:23
,,,,,,,,,,2.0,14:09:27
,,,,,,,,,,2.0,14:09:27
,,,,,,,,,,1.0,14:09:28
,,,,,,,,,,1.0,14:09:29
,,,,,,,,,,1.0,14:09:29
,,,,,,,,,,1.0,14:09:30
,,,,,,,,,,1.0,14:09:34
,,,,,,,,,,1.0,14:09:35
,,,,,,,,,,1.0,14:09:37
,,,,,,,,,,1.0,14:09:46
,,,,,,,,,,1.0,14:09:47
,,,,,,,,,,1.0,14:09:47
,,,,,,,,,,1.0,14:09:48
,,,,,,,,,,1.0,14:09:48
,,,,,,,,,,1.0,14:09:49
,,,,,,,,,,1.0,14:09:49
,,,,,,,,,,1.0,14:09:50
,,,,,,,,,,1.0,14:09:50
,,,,,,,,,,1.0,14:09:51
,,,,,,,,,,1.0,14:09:51
,,,,,,,,,,1.0,14:09:52
,,,,,,,,,,1.0,14:09:53
,,,,,,,,,,1.0,14:09:53
,,,,,,,,,,1.0,14:09:59
,,,,,,,,,,1.0,14:09:59
