Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,Timestamp
,,,,,97.0,89.0,2.7,,,,15:01:12
,,,,,97.0,81.0,2.9,,,,15:01:13
,,,,,97.0,79.0,3.0,,,,15:01:13
,,,,,97.0,77.0,3.1,,,,15:01:14
,,,,,97.0,75.0,3.2,,,,15:01:14
,,,,,97.0,76.0,3.3,,,,15:01:15
,,,,,97.0,76.0,3.3,,,,15:01:15
,,,,,97.0,78.0,3.4,,,,15:01:16
,,,,,97.0,78.0,3.4,,,,15:01:16
,,,,,97.0,80.0,3.5,,,,15:01:17
,,,,,97.0,80.0,3.5,,,,15:01:17
,,,,,97.0,81.0,3.6,,,,15:01:18
,,,,,97.0,81.0,3.6,,,,15:01:18
,,,,,97.0,86.0,3.6,,,,15:01:19
,,,,,97.0,86.0,3.6,,,,15:01:19
,,,,,97.0,87.0,3.7,,,,15:01:20
,,,,,97.0,87.0,3.7,,,,15:01:20
,,,,,97.0,87.0,3.7,,,,15:01:21
,,,,,97.0,87.0,3.7,,,,15:01:21
,,,,,97.0,86.0,3.7,,,,15:01:22
,,,,,97.0,86.0,3.7,,,,15:01:22
,,,,,97.0,87.0,3.7,,,,15:01:23
,,,,,97.0,87.0,3.7,,,,15:01:23
,,,,,97.0,88.0,3.8,,,,15:01:24
,,,,,97.0,88.0,3.8,,,,15:01:24
,,,,,97.0,88.0,3.8,,,,15:01:25
,,,,,97.0,88.0,3.8,,,,15:01:25
,,,,,97.0,88.0,3.8,,,,15:01:26
,,,,,97.0,88.0,3.8,,,,15:01:26
,,,,,97.0,88.0,3.8,,,,15:01:27
,,,,,97.0,88.0,3.8,,,,15:01:27
,,,,,97.0,86.0,3.9,,,,15:01:28
,,,,,97.0,86.0,3.9,,,,15:01:28
,,,,,97.0,88.0,3.9,,,,15:01:29
,,,,,97.0,88.0,3.9,,,,15:01:29
,,,,,97.0,89.0,3.9,,,,15:01:30
,,,,,97.0,89.0,3.9,,,,15:01:30
,,,,,97.0,93.0,4.0,,,,15:01:31
,,,,,97.0,93.0,4.0,,,,15:01:31
,,,,,97.0,93.0,4.0,,,,15:01:32
,,,,,97.0,93.0,4.0,,,,15:01:32
,,,,,97.0,93.0,4.0,,,,15:01:33
,,,,,97.0,93.0,4.0,,,,15:01:33
,,,,,97.0,93.0,4.0,,,,15:01:34
,,,,,97.0,93.0,4.0,,,,15:01:34
,,,,,97.0,95.0,4.0,,,,15:01:35
,,,,,97.0,95.0,4.0,,,,15:01:35
,,,,,97.0,95.0,4.0,,,,15:01:36
,,,,,97.0,95.0,4.0,,,,15:01:36
,,,,,97.0,95.0,4.0,,,,15:01:37
,,,,,97.0,95.0,4.0,,,,15:01:37
,,,,,97.0,95.0,4.0,,,,15:01:38
,,,,,97.0,95.0,4.0,,,,15:01:38
,,,,,97.0,93.0,4.0,,,,15:01:39
,,,,,97.0,93.0,4.0,,,,15:01:39
,,,,,97.0,92.0,4.0,,,,15:01:40
,,,,,97.0,92.0,4.0,,,,15:01:40
,,,,,97.0,89.0,4.0,,,,15:01:41
,,,,,97.0,89.0,4.0,,,,15:01:41
,,,,,97.0,90.0,4.0,,,,15:01:42
,,,,,97.0,90.0,4.0,,,,15:01:42
,,,,,98.0,90.0,4.0,,,,15:01:43
,,,,,98.0,90.0,4.0,,,,15:01:43
,,,,,98.0,90.0,4.0,,,,15:01:44
,,,,,98.0,90.0,4.0,,,,15:01:44
,,,,,98.0,89.0,4.0,,,,15:01:45
,,,,,98.0,89.0,4.0,,,,15:01:45
,,,,,98.0,93.0,4.0,,,,15:01:46
,,,,,98.0,93.0,4.0,,,,15:01:46
,,,,,97.0,90.0,4.0,,,,15:01:47
,,,,,97.0,90.0,4.0,,,,15:01:47
,,,,,97.0,89.0,4.0,,,,15:01:48
,,,,,97.0,89.0,4.0,,,,15:01:48
,,,,,97.0,87.0,4.0,,,,15:01:49
,,,,,97.0,87.0,4.0,,,,15:01:49
,,,,,97.0,87.0,4.0,,,,15:01:50
,,,,,97.0,87.0,4.0,,,,15:01:50
,,,,,97.0,87.0,4.0,,,,15:01:51
,,,,,97.0,87.0,4.0,,,,15:01:51
,,,,,97.0,84.0,4.0,,,,15:01:52
,,,,,97.0,84.0,4.0,,,,15:01:52
,,,,,97.0,81.0,4.0,,,,15:01:53
,,,,,97.0,81.0,4.0,,,,15:01:53
,,,,,97.0,80.0,3.9,,,,15:01:54
,,,,,97.0,80.0,3.9,,,,15:01:54
,,,,,97.0,80.0,3.9,,,,15:01:55
,,,,,97.0,80.0,3.9,,,,15:01:55
,,,,,97.0,81.0,3.9,,,,15:01:56
,,,,,97.0,81.0,3.9,,,,15:01:56
,,,,,97.0,81.0,3.8,,,,15:01:57
,,,,,97.0,81.0,3.8,,,,15:01:57
,,,,,97.0,82.0,3.6,,,,15:01:58
,,,,,97.0,82.0,3.6,,,,15:01:58
,,,,,97.0,83.0,3.5,,,,15:01:59
,,,,,97.0,83.0,3.5,,,,15:01:59
,,,,,97.0,83.0,3.4,,,,15:02:00
,,,,,97.0,83.0,3.4,,,,15:02:00
,,,,,97.0,84.0,3.3,,,,15:02:01
,,,,,97.0,84.0,3.3,,,,15:02:01
,,,,,97.0,86.0,3.2,,,,15:02:02
,,,,,97.0,86.0,3.2,,,,15:02:02
,,,,,97.0,89.0,3.1,,,,15:02:03
,,,,,97.0,89.0,3.1,,,,15:02:03
,,,,,97.0,90.0,3.0,,,,15:02:04
,,,,,97.0,90.0,3.0,,,,15:02:04
