Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,dev64_SpO2,dev64_HR,dev64_PI,Timestamp
,,,,,98.0,70.0,6.7,,,,,,,13:18:50
,,,,,98.0,70.0,6.8,,,,,,,13:18:51
,,,,,98.0,71.0,6.8,,,,,,,13:18:51
,,,,,98.0,71.0,6.8,100.0,69.0,32.0,,,,13:18:52
,,,,,98.0,70.0,6.8,99.0,69.0,32.0,,,,13:18:52
,,,,,98.0,70.0,6.8,99.0,68.0,30.0,,,,13:18:53
,,,,,98.0,69.0,6.8,99.0,68.0,33.0,,,,13:18:53
,,,,,98.0,69.0,6.7,99.0,69.0,43.0,,,,13:18:54
,,,,,98.0,69.0,6.7,99.0,69.0,33.0,,,,13:18:54
,,,,,98.0,69.0,6.7,99.0,69.0,25.0,,,,13:18:55
,,,,,98.0,68.0,6.6,99.0,69.0,25.0,,,,13:18:55
,,,,,98.0,68.0,6.6,99.0,68.0,27.0,,,,13:18:56
,,,,,98.0,68.0,6.6,99.0,68.0,27.0,,,,13:18:56
,,,,,98.0,68.0,6.6,99.0,68.0,27.0,,,,13:18:57
,,,,,98.0,68.0,6.7,99.0,68.0,27.0,,,,13:18:57
,,,,,98.0,69.0,6.8,98.0,69.0,31.0,,,,13:18:58
,,,,,98.0,69.0,6.8,98.0,69.0,31.0,,,,13:18:58
,,,,,98.0,69.0,6.8,98.0,69.0,31.0,,,,13:18:59
,,,,,98.0,69.0,6.8,98.0,69.0,31.0,,,,13:18:59
,,,,,97.0,69.0,6.8,98.0,70.0,34.0,,,,13:19:00
,,,,,97.0,69.0,6.7,98.0,70.0,34.0,,,,13:19:00
,,,,,97.0,69.0,6.7,98.0,70.0,34.0,,,,13:19:01
,,,,,97.0,69.0,6.7,98.0,70.0,34.0,,,,13:19:01
,,,,,97.0,70.0,6.7,98.0,69.0,36.0,,,,13:19:02
,,,,,97.0,70.0,6.7,98.0,69.0,36.0,,,,13:19:02
,,,,,97.0,70.0,6.7,98.0,69.0,36.0,,,,13:19:03
,,,,,97.0,70.0,6.7,98.0,69.0,36.0,,,,13:19:03
,,,,,97.0,70.0,6.6,98.0,69.0,28.0,,,,13:19:04
