Sample,ETCO2,ETO2,ScalcO2,RR,dev55_SpO2,dev55_HR,dev55_PI,dev59_SpO2,dev59_HR,dev59_PI,Timestamp
,,,,,,,,,,255.0,15:17:09
,,,,,,,,,,255.0,15:17:09
,,,,,,,,,,255.0,15:17:10
,,,,,,,,,,255.0,15:17:10
,,,,,,,,,,255.0,15:17:11
,,,,,,,,,,255.0,15:17:11
,,,,,,,,,,255.0,15:17:12
,,,,,,,,,,255.0,15:17:12
,,,,,,,,99.0,73.0,39.0,15:17:13
,,,,,,,,99.0,73.0,39.0,15:17:13
,,,,,,,,99.0,73.0,39.0,15:17:14
,,,,,,,,99.0,73.0,39.0,15:17:14
,,,,,,,,99.0,76.0,38.0,15:17:15
,,,,,,,,99.0,76.0,38.0,15:17:15
,,,,,,,,99.0,76.0,38.0,15:17:16
,,,,,,,,99.0,76.0,38.0,15:17:16
,,,,,,,,99.0,76.0,37.0,15:17:17
,,,,,,,,99.0,76.0,37.0,15:17:17
,,,,,,,,99.0,76.0,37.0,15:17:18
,,,,,,,,99.0,76.0,37.0,15:17:18
,,,,,,,,99.0,76.0,37.0,15:17:19
,,,,,,,,99.0,76.0,37.0,15:17:19
,,,,,,,,99.0,76.0,37.0,15:17:20
,,,,,,,,99.0,78.0,36.0,15:17:20
,,,,,,,,99.0,79.0,41.0,15:17:21
,,,,,,,,99.0,79.0,41.0,15:17:21
,,,,,,,,99.0,79.0,41.0,15:17:22
,,,,,,,,99.0,79.0,41.0,15:17:22
,,,,,,,,99.0,81.0,50.0,15:17:23
,,,,,,,,99.0,81.0,50.0,15:17:23
,,,,,,,,99.0,81.0,50.0,15:17:24
,,,,,,,,99.0,81.0,50.0,15:17:24
,,,,,,,,99.0,81.0,69.0,15:17:25
,,,,,,,,99.0,81.0,69.0,15:17:25
,,,,,,,,99.0,81.0,69.0,15:17:26
,,,,,,,,99.0,81.0,69.0,15:17:26
,,,,,,,,99.0,80.0,62.0,15:17:27
,,,,,,,,99.0,80.0,62.0,15:17:27
,,,,,,,,99.0,80.0,62.0,15:17:28
,,,,,,,,99.0,80.0,62.0,15:17:28
,,,,,,,,98.0,80.0,79.0,15:17:29
,,,,,,,,98.0,80.0,79.0,15:17:29
,,,,,,,,98.0,80.0,79.0,15:17:30
,,,,,,,,98.0,80.0,79.0,15:17:30
,,,,,,,,98.0,80.0,79.0,15:17:31
,,,,,,,9.3,98.0,80.0,79.0,15:17:31
,,,,,,,9.3,98.0,80.0,79.0,15:17:32
,,,,,98.0,82.0,4.8,98.0,80.0,79.0,15:17:32
,,,,,98.0,82.0,4.8,98.0,82.0,74.0,15:17:33
