Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,Timestamp
,,,,,,,,,,255.0,11:29:51
,,,,,,,,,,255.0,11:29:52
,,,,,,,,,,255.0,11:29:52
,,,,,,,,,,255.0,11:29:53
,,,,,,,,,,255.0,11:29:53
,,,,,,,,,,23.0,11:29:54
,,,,,,,,,,25.0,11:29:54
,,,,,,,,97.0,45.0,15.0,11:29:55
,,,,,,,,97.0,45.0,15.0,11:29:55
,,,,,,,,98.0,39.0,15.0,11:29:56
,,,,,,,,98.0,40.0,14.0,11:29:56
,,,,,,,,98.0,40.0,15.0,11:29:57
,,,,,,,,98.0,40.0,15.0,11:29:57
,,,,,,,,98.0,40.0,15.0,11:29:58
,,,,,,,,98.0,40.0,15.0,11:29:58
,,,,,,,,98.0,41.0,14.0,11:29:59
,,,,,,,,98.0,40.0,13.0,11:29:59
,,,,,,,,98.0,39.0,13.0,11:30:00
,,,,,,,,98.0,39.0,13.0,11:30:00
,,,,,,,,98.0,39.0,13.0,11:30:01
,,,,,,,,98.0,39.0,13.0,11:30:01
,,,,,,,,98.0,41.0,13.0,11:30:02
,,,,,,,,98.0,41.0,13.0,11:30:02
,,,,,,,,98.0,40.0,12.0,11:30:03
,,,,,,,,98.0,40.0,12.0,11:30:03
,,,,,,,,99.0,41.0,12.0,11:30:04
,,,,,,,,99.0,41.0,12.0,11:30:04
,,,,,,,,99.0,41.0,11.0,11:30:05
,,,,,,,,99.0,42.0,11.0,11:30:05
,,,,,,,,99.0,42.0,12.0,11:30:06
,,,,,,,,99.0,43.0,11.0,11:30:06
,,,,,,,,99.0,43.0,11.0,11:30:07
,,,,,,,,99.0,41.0,12.0,11:30:07
,,,,,,,,99.0,41.0,11.0,11:30:08
,,,,,,,,99.0,42.0,11.0,11:30:08
,,,,,,,,99.0,41.0,11.0,11:30:09
,,,,,,,,99.0,42.0,12.0,11:30:09
,,,,,,,,99.0,44.0,12.0,11:30:10
,,,,,,,,99.0,44.0,12.0,11:30:10
,,,,,,,,99.0,45.0,11.0,11:30:11
,,,,,,,,99.0,46.0,10.0,11:30:11
,,,,,,,,99.0,46.0,10.0,11:30:12
,,,,,,,,99.0,42.0,10.0,11:30:12
,,,,,,,,99.0,42.0,11.0,11:30:13
,,,,,,,,99.0,42.0,10.0,11:30:13
,,,,,,,,99.0,41.0,11.0,11:30:14
,,,,,,,,99.0,41.0,11.0,11:30:14
,,,,,,,,99.0,41.0,11.0,11:30:15
,,,,,,,,99.0,41.0,11.0,11:30:15
,,,,,,,,99.0,40.0,11.0,11:30:16
,,,,,,,,99.0,40.0,11.0,11:30:16
,,,,,,,,100.0,40.0,11.0,11:30:17
,,,,,,,,100.0,40.0,11.0,11:30:17
,,,,,,,,100.0,39.0,12.0,11:30:18
,,,,,,,,100.0,39.0,12.0,11:30:18
,,,,,,,,100.0,39.0,29.0,11:30:19
