Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,dev64_SpO2,dev64_HR,dev64_PI,Timestamp
,,,,37.0,,,,,,,,,,11:38:04
,,,,42.0,,,,,,,,,,11:38:05
,,,,15.0,,,,,,,,,,11:38:06
,,,,30.0,,,,,,,,,,11:38:07
,,,,31.0,,,,,,,,,,11:38:07
,43.137436,,,15.0,,,,,,,,,,11:38:08
,43.137436,,,15.0,,,,,,,,,,11:38:08
,43.137436,,,15.0,,,,,,,,,,11:38:09
,62.104324,159.007086,99.211832,,,,,,,,,,,11:38:09
,62.104324,159.007086,99.211832,,,,,,,,,,,11:38:10
,62.104324,159.007086,99.211832,,,,,,,,,,,11:38:11
,62.104324,159.007086,99.211832,,,,,,,,,,,11:38:11
,62.104324,159.007086,99.211832,,,,,,,,,,,11:38:12
,62.104324,159.007086,99.211832,,,,,,,,,,,11:38:12
,62.104324,159.007086,99.211832,,,,,,,,,,,11:38:13
,62.104324,159.007086,99.211832,,,,,,,,,,,11:38:13
,62.104324,159.007086,99.211832,,,,,,,,,,,11:38:14
,62.104324,159.007086,99.211832,13.0,,,,,,,,,,11:38:14
,62.104324,159.007086,99.211832,,,,,,,,,,,11:38:15
,28.156322,159.007086,99.529362,4.0,,,,,,,,,,11:38:15
,28.156322,159.007086,99.529362,4.0,,,,,,,,,,11:38:16
,29.825321,162.642697,99.542951,15.0,,,,,,,,,,11:38:16
,29.825321,162.642697,99.542951,15.0,,,,,,,,,,11:38:17
,29.825321,162.642697,99.542951,17.0,,,,,,,,,,11:38:17
,29.825321,162.642697,99.542951,17.0,,,,,,,,,,11:38:18
,29.825321,162.642697,99.542951,17.0,,,,,,,,,,11:38:18
,29.825321,162.642697,99.542951,17.0,,,,,,,,,,11:38:19
,29.825321,162.642697,99.542951,17.0,,,,,,,,,,11:38:19
,29.825321,162.642697,99.542951,17.0,,,,,,,,,,11:38:20
,29.825321,162.642697,99.542951,17.0,,,,,,,,,,11:38:20
,29.825321,162.642697,99.542951,14.0,,,,,,,,,,11:38:21
,29.825321,162.642697,99.542951,14.0,,,,,,,,,,11:38:21
,29.825321,162.642697,99.542951,11.0,,,,,,,,,,11:38:22
,29.825321,162.642697,99.542951,10.0,,,,,,,,,,11:38:22
,29.825321,162.642697,99.542951,11.0,,,,,,,,,,11:38:23
,29.825321,162.642697,99.542951,11.0,,,,,,,,,,11:38:23
,29.825321,162.642697,99.542951,13.0,,,,,,,,,,11:38:24
,29.825321,162.642697,99.542951,11.0,99.0,82.0,1.3,,,,,,,11:38:24
,29.825321,162.642697,99.542951,11.0,99.0,82.0,1.3,,,,,,,11:38:25
,29.825321,162.642697,99.542951,12.0,99.0,82.0,1.3,,,,,,,11:38:25
,64.959091,162.642697,99.243525,9.0,99.0,82.0,1.3,,,,,,,11:38:26
,64.959091,158.341442,99.177818,9.0,99.0,83.0,1.6,,,,,,,11:38:26
,64.959091,158.341442,99.177818,9.0,99.0,83.0,1.6,,,,,,,11:38:27
,64.959091,158.341442,99.177818,9.0,99.0,83.0,1.8,,,,,,,11:38:27
,64.959091,158.341442,99.177818,10.0,99.0,83.0,1.8,,,,,,,11:38:28
,68.406998,158.341442,99.149682,10.0,99.0,87.0,1.8,,,,,,,11:38:28
,68.406998,157.880228,99.141917,10.0,99.0,87.0,1.8,,,,,,,11:38:29
,68.406998,157.880228,99.141917,10.0,99.0,87.0,1.8,,,,,,,11:38:29
,68.406998,157.880228,99.141917,9.0,99.0,87.0,1.8,,,,,,,11:38:30
,68.406998,157.880228,99.141917,9.0,99.0,87.0,1.8,,,,,,,11:38:30
,68.406998,157.880228,99.141917,9.0,99.0,87.0,1.8,,,,,,,11:38:31
,68.406998,157.880228,99.141917,9.0,99.0,87.0,1.8,,,,,,,11:38:31
,68.406998,157.880228,99.141917,9.0,99.0,87.0,1.8,,,,,,,11:38:32
,68.406998,157.880228,99.141917,8.0,99.0,87.0,1.8,,,,,,,11:38:32
,68.406998,157.880228,99.141917,8.0,99.0,87.0,1.8,,,,,,,11:38:33
,68.406998,157.880228,99.141917,8.0,99.0,86.0,1.8,,,,,,,11:38:33
,68.406998,157.880228,99.141917,8.0,99.0,86.0,1.8,,,,,,,11:38:34
