Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,Timestamp
,,,,,100.0,77.0,0.5,100.0,78.0,5.0,10:37:58
,,,,,100.0,78.0,0.5,100.0,80.0,6.0,10:37:58
,,,,,100.0,78.0,0.5,100.0,81.0,17.0,10:37:59
,,,,,100.0,78.0,0.5,100.0,81.0,17.0,10:37:59
,,,,,100.0,79.0,0.5,100.0,81.0,17.0,10:38:00
,,,,,100.0,79.0,0.5,100.0,81.0,17.0,10:38:00
,,,,,100.0,80.0,0.5,99.0,83.0,5.0,10:38:01
,,,,,100.0,80.0,0.5,99.0,83.0,5.0,10:38:01
,,,,,100.0,81.0,0.5,99.0,83.0,5.0,10:38:02
,,,,,100.0,81.0,0.5,99.0,83.0,5.0,10:38:02
,,,,,100.0,82.0,0.5,100.0,84.0,5.0,10:38:03
,,,,,100.0,82.0,0.5,100.0,84.0,5.0,10:38:03
,,,,,100.0,82.0,0.5,100.0,84.0,5.0,10:38:04
,,,,,100.0,82.0,0.5,100.0,84.0,5.0,10:38:04
,,,,,100.0,83.0,0.5,100.0,85.0,4.0,10:38:05
,,,,,100.0,83.0,0.5,100.0,85.0,4.0,10:38:05
,,,,,100.0,84.0,0.5,100.0,85.0,4.0,10:38:06
,,,,,100.0,84.0,0.5,100.0,85.0,4.0,10:38:06
,,,,,100.0,86.0,0.5,100.0,86.0,14.0,10:38:07
,,,,,100.0,86.0,0.5,100.0,86.0,14.0,10:38:07
,,,,,100.0,87.0,0.5,100.0,86.0,14.0,10:38:08
,,,,,100.0,87.0,0.5,100.0,86.0,14.0,10:38:08
,,,,,100.0,88.0,0.5,100.0,86.0,29.0,10:38:09
,,,,,100.0,88.0,0.5,100.0,86.0,29.0,10:38:09
,,,,,100.0,88.0,0.5,100.0,86.0,29.0,10:38:10
,,,,,100.0,88.0,0.5,100.0,86.0,29.0,10:38:10
,,,,,100.0,88.0,0.5,100.0,86.0,29.0,10:38:11
,,,,,100.0,88.0,0.5,100.0,86.0,29.0,10:38:11
,,,,,100.0,88.0,0.5,100.0,86.0,29.0,10:38:12
,,,,,100.0,88.0,0.5,100.0,87.0,17.0,10:38:12
,,,,,100.0,87.0,0.5,100.0,87.0,17.0,10:38:13
,,,,,100.0,87.0,0.5,100.0,87.0,17.0,10:38:13
,,,,,100.0,86.0,0.5,100.0,87.0,17.0,10:38:14
,,,,,100.0,86.0,0.5,100.0,87.0,17.0,10:38:14
,,,,,100.0,85.0,0.5,100.0,86.0,14.0,10:38:15
,,,,,100.0,85.0,0.5,100.0,86.0,14.0,10:38:15
