Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,dev64_SpO2,dev64_HR,dev64_PI,Timestamp
,,,,,,,,,,255.0,,,,10:28:34
,,,,,,,,,,255.0,,,,10:28:34
,,,,,,,,,,255.0,,,,10:28:35
,,,,,,,,,,255.0,,,,10:28:35
,,,,,,,,96.0,,15.0,,,,10:28:36
,,,,,,,,96.0,,15.0,,,,10:28:36
,,,,,,,,96.0,,15.0,,,,10:28:37
,,,,,,,,96.0,,15.0,,,,10:28:37
,,,,,,,,99.0,79.0,23.0,,,,10:28:38
,,,,,,,,99.0,79.0,23.0,,,,10:28:38
,,,,,,,,99.0,79.0,23.0,,,,10:28:39
,,,,,,,,99.0,79.0,23.0,,,,10:28:39
,,,,,,,,99.0,79.0,23.0,,,,10:28:40
,,,,,,,,99.0,79.0,23.0,,,,10:28:40
,,,,,,,,99.0,79.0,23.0,,,,10:28:40
,,,,,,,,100.0,81.0,13.0,,,,10:28:41
,,,,,,,,100.0,81.0,13.0,,,,10:28:41
,,,,,,,,100.0,83.0,15.0,,,,10:28:42
,,,,,,,,100.0,83.0,15.0,,,,10:28:42
,,,,,,,,100.0,83.0,15.0,,,,10:28:43
,,,,,100.0,89.0,,100.0,83.0,15.0,,,,10:28:43
,,,,,100.0,89.0,,100.0,83.0,19.0,,,,10:28:44
,,,,,100.0,89.0,1.6,100.0,83.0,19.0,,,,10:28:44
,,,,,100.0,89.0,1.6,100.0,83.0,19.0,,,,10:28:45
,,,,,100.0,82.0,2.6,100.0,83.0,19.0,,,,10:28:45
,,,,,100.0,82.0,2.6,100.0,83.0,22.0,,,,10:28:46
,,,,,100.0,82.0,3.3,100.0,83.0,22.0,,,,10:28:46
,,,,,100.0,82.0,3.3,100.0,83.0,22.0,,,,10:28:47
,,,,,100.0,82.0,3.5,100.0,83.0,22.0,,,,10:28:47
,,,,,100.0,82.0,3.5,100.0,83.0,10.0,,,,10:28:48
,,,,,,,,100.0,83.0,10.0,,,,10:28:48
,,,,,,,,100.0,83.0,10.0,,,,10:28:49
,,,,,,,,100.0,83.0,10.0,,,,10:28:49
,,,,,,,,,,255.0,,,,10:28:56
,,,,,,,,,,255.0,,,,10:28:56
,,,,,,,,,,255.0,,,,10:28:57
,,,,,100.0,82.0,,,,255.0,,,,10:28:57
,,,,,100.0,82.0,,,,173.0,,,,10:28:58
,,,,,100.0,82.0,3.3,,,173.0,,,,10:28:58
,,,,,100.0,82.0,3.3,,,173.0,,,,10:28:59
,,,,,100.0,82.0,3.5,,,173.0,,,,10:28:59
,,,,,100.0,82.0,3.5,,,255.0,,,,10:29:00
,,,,,100.0,82.0,3.5,,,255.0,,,,10:29:00
