Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,Timestamp
,,,,,,,,100,87,15,10:27:22
,,,,,,,,100,85,24,10:27:22
,,,,,,,,100,85,24,10:27:23
,,,,,,,,100,84,21,10:27:23
,,,,,,,,100,84,21,10:27:24
,,,,,,,,100,84,21,10:27:24
,,,,,,,,100,84,21,10:27:25
,,,,,,,,100,85,22,10:27:25
,,,,,,,,100,85,22,10:27:26
,,,,,,,,100,85,22,10:27:26
,,,,,,,,100,85,22,10:27:27
,,,,,,,,100,83,25,10:27:27
,,,,,,,,100,83,25,10:27:28
,,,,,,,,100,83,25,10:27:28
,,,,,100.0,,,100,83,25,10:27:29
,,,,,100.0,,,100,84,25,10:27:29
,,,,,100.0,,4.3,100,84,25,10:27:30
,,,,,100.0,,4.3,100,84,25,10:27:30
,,,,,100.0,,8.3,100,84,25,10:27:31
,,,,,100.0,,8.3,100,81,25,10:27:31
,,,,,98.0,,1.2,100,81,25,10:27:32
,,,,,98.0,,1.2,100,81,25,10:27:32
,,,,,98.0,85.0,1.2,100,81,25,10:27:33
,,,,,98.0,85.0,1.2,100,81,31,10:27:33
,,,,,98.0,85.0,1.2,100,81,31,10:27:34
,,,,,98.0,85.0,1.2,100,81,31,10:27:34
,,,,,98.0,85.0,1.2,100,81,31,10:27:35
,,,,,98.0,85.0,1.2,100,81,31,10:27:35
,,,,,98.0,82.0,1.8,100,81,31,10:27:36
,,,,,98.0,82.0,1.8,100,81,31,10:27:36
,,,,,99.0,82.0,2.0,100,80,21,10:27:37
,,,,,99.0,82.0,2.0,100,83,21,10:27:37
,,,,,99.0,80.0,2.1,100,83,21,10:27:38
,,,,,99.0,80.0,2.1,100,83,21,10:27:38
,,,,,100.0,80.0,2.1,100,83,21,10:27:39
,,,,,100.0,80.0,2.1,100,84,24,10:27:39
,,,,,100.0,82.0,2.1,100,84,24,10:27:40
,,,,,100.0,82.0,2.1,100,84,24,10:27:40
,,,,,100.0,82.0,2.1,100,84,24,10:27:41
,,,,,100.0,82.0,2.1,100,83,20,10:27:41
,,,,,100.0,82.0,2.1,100,83,20,10:27:42
,,,,,100.0,82.0,2.1,100,83,20,10:27:42
,,,,,100.0,82.0,2.1,100,83,20,10:27:43
,,,,,100.0,82.0,2.1,100,82,17,10:27:43
,,,,,100.0,81.0,2.1,100,82,17,10:27:44
,,,,,100.0,81.0,2.1,100,82,17,10:27:44
,,,,,100.0,81.0,2.1,100,82,17,10:27:45
,,,,,100.0,81.0,2.1,100,86,16,10:27:45
,,,,,100.0,81.0,2.1,100,86,16,10:27:46
,,,,,100.0,81.0,2.1,100,86,16,10:27:46
,,,,,100.0,80.0,2.1,100,86,16,10:27:47
,,,,,100.0,80.0,2.1,100,91,19,10:27:47
,,,,,100.0,89.0,2.1,100,91,19,10:27:48
,,,,,100.0,89.0,2.1,100,91,19,10:27:48
,,,,,100.0,93.0,2.1,100,91,19,10:27:49
,,,,,100.0,93.0,2.1,100,86,26,10:27:49
,,,,,100.0,93.0,1.9,100,86,26,10:27:50
,,,,,100.0,93.0,1.9,100,86,26,10:27:50
,,,,,100.0,90.0,1.9,100,86,26,10:27:51
,,,,,100.0,90.0,1.9,100,84,23,10:27:51
,,,,,100.0,90.0,1.9,100,84,23,10:27:52
,,,,,100.0,90.0,1.9,100,84,23,10:27:52
,,,,,100.0,90.0,1.9,100,84,23,10:27:53
,,,,,100.0,90.0,1.9,100,86,16,10:27:53
,,,,,100.0,90.0,1.9,100,86,16,10:27:54
,,,,,100.0,90.0,1.9,100,86,16,10:27:54
,,,,,100.0,90.0,1.9,100,86,16,10:27:55
,,,,,100.0,90.0,1.9,100,86,16,10:27:55
,,,,,100.0,89.0,1.9,100,86,16,10:27:56
,,,,,100.0,89.0,1.9,100,86,16,10:27:56
,,,,,100.0,92.0,1.9,100,86,16,10:27:57
,,,,,100.0,92.0,1.9,100,89,16,10:27:57
,,,,,100.0,92.0,1.9,100,89,16,10:27:58
,,,,,100.0,92.0,1.9,100,89,16,10:27:58
,,,,,100.0,98.0,1.9,100,89,16,10:27:59
,,,,,100.0,98.0,1.9,100,98,20,10:27:59
,,,,,100.0,99.0,1.9,100,98,20,10:28:00
,,,,,100.0,99.0,1.9,100,98,20,10:28:00
,,,,,100.0,100.0,1.9,100,98,20,10:28:01
,,,,,100.0,100.0,1.9,100,100,18,10:28:01
,,,,,100.0,100.0,1.9,100,100,18,10:28:02
,,,,,100.0,100.0,1.9,100,100,18,10:28:02
,,,,,100.0,93.0,1.9,100,100,18,10:28:03
,,,,,100.0,93.0,1.9,100,102,20,10:28:03
,,,,,100.0,93.0,1.9,100,102,20,10:28:04
,,,,,100.0,93.0,1.9,100,102,20,10:28:04
,,,,,100.0,97.0,1.9,100,102,20,10:28:05
,,,,,100.0,97.0,1.9,100,100,19,10:28:05
,,,,,100.0,97.0,1.9,100,100,19,10:28:06
,,,,,100.0,97.0,1.9,100,100,19,10:28:06
,,,,,100.0,98.0,1.9,100,100,19,10:28:07
,,,,,100.0,98.0,1.9,100,99,17,10:28:07
,,,,,100.0,102.0,1.9,100,99,17,10:28:08
,,,,,100.0,102.0,1.9,100,99,17,10:28:08
,,,,,100.0,102.0,1.9,100,99,17,10:28:09
,,,,,100.0,102.0,1.9,100,93,25,10:28:09
,,,,,100.0,102.0,1.9,100,93,25,10:28:10
,,,,,100.0,102.0,1.9,100,93,25,10:28:10
,,,,,100.0,98.0,1.9,100,93,25,10:28:11
,,,,,100.0,98.0,1.9,100,89,23,10:28:11
,,,,,100.0,98.0,1.9,100,89,23,10:28:12
,,,,,100.0,98.0,1.9,100,89,23,10:28:12
,,,,,100.0,92.0,1.9,100,89,23,10:28:13
,,,,,100.0,92.0,1.9,100,88,27,10:28:13
,,,,,100.0,90.0,1.9,100,88,27,10:28:14
,,,,,100.0,90.0,1.9,100,88,27,10:28:14
,,,,,100.0,90.0,1.9,100,88,27,10:28:15
,,,,,100.0,90.0,1.9,100,83,32,10:28:15
,,,,,100.0,89.0,1.9,100,83,32,10:28:16
,,,,,100.0,89.0,1.9,100,83,32,10:28:16
,,,,,100.0,89.0,1.9,100,83,32,10:28:17
,,,,,100.0,89.0,1.9,100,80,32,10:28:17
,,,,,100.0,89.0,1.9,100,80,32,10:28:18
,,,,,100.0,89.0,1.9,100,80,32,10:28:18
,,,,,100.0,89.0,1.9,100,80,32,10:28:19
,,,,,100.0,89.0,1.9,100,80,37,10:28:19
,,,,,100.0,89.0,1.9,100,80,37,10:28:20
,,,,,100.0,89.0,1.9,100,80,37,10:28:20
,,,,,100.0,89.0,1.9,100,80,37,10:28:21
,,,,,100.0,89.0,1.9,100,80,34,10:28:21
,,,,,100.0,89.0,1.9,100,80,34,10:28:22
,,,,,100.0,89.0,1.9,100,80,34,10:28:22
,,,,,100.0,82.0,1.9,100,80,34,10:28:23
,,,,,100.0,82.0,1.9,100,79,34,10:28:23
,,,,,100.0,81.0,1.9,100,79,34,10:28:24
,,,,,100.0,81.0,1.9,100,79,34,10:28:24
