Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,dev64_SpO2,dev64_HR,dev64_PI,Timestamp
,,,,23.0,,,,,,,,,,10:14:26
,12.631414,,,25.0,,,,,,,,,,10:14:27
,12.631414,,,42.0,,,,,,,,,,10:14:27
,13.276527,,,19.0,,,,,,,,,,10:14:28
,13.276527,,,19.0,,,,,,,,,,10:14:28
,12.444733,,,19.0,,,,,,,,,,10:14:29
,12.976954,294.769904,99.948834,22.0,,,,,,,,,,10:14:30
,12.976954,294.769904,99.948834,17.0,,,,,,,,,,10:14:30
,12.976954,294.769904,99.948834,34.0,,,,,,,,,,10:14:30
,12.976954,294.769904,99.948834,13.0,,,,,,,,,,10:14:31
,12.976954,294.769904,99.948834,16.0,,,,,,,,,,10:14:31
,12.976954,294.769904,99.948834,28.0,,,,,,,,,,10:14:32
,12.976954,294.769904,99.948834,33.0,,,,,,,,,,10:14:32
,17.619495,294.769904,99.939991,23.0,,,,,,,,,,10:14:33
,17.619495,294.769904,99.939991,11.0,,,,,,,,,,10:14:33
,13.276527,294.769904,99.948222,,,,,,,,,,,10:14:34
,17.619495,294.769904,99.939991,5.0,,,,,,,,,,10:14:34
,17.619495,294.769904,99.939991,5.0,,,,,,,,,,10:14:35
,17.619495,294.769904,99.939991,5.0,,,,,,,,,,10:14:36
,17.619495,298.374945,99.942015,5.0,,,,,,,,,,10:14:36
,17.619495,298.374945,99.942015,5.0,,,,,,,,,,10:14:37
,17.619495,298.374945,99.942015,5.0,,,,,,,,,,10:14:37
,17.619495,298.374945,99.942015,5.0,,,,,,,,,,10:14:38
,17.619495,298.374945,99.942015,5.0,,,,,,,,,,10:14:38
,13.080247,298.374945,99.950314,10.0,,,,,,,,,,10:14:39
,17.619495,298.374945,99.942015,5.0,,,,,,,,,,10:14:39
,17.619495,298.374945,99.942015,5.0,,,,,,,,,,10:14:40
