Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,dev64_SpO2,dev64_HR,dev64_PI,Timestamp
,,,,,100.0,60.0,1.0,,,,,,,15:05:38
,,,,,100.0,61.0,2.5,,,,,,,15:05:54
,,,,,100.0,61.0,2.5,,,,,,,15:05:54
,,,,,100.0,61.0,1.2,,,,,,,15:05:55
,,,,,100.0,61.0,1.2,,,,,,,15:05:55
,,,,,100.0,57.0,2.0,,,,,,,15:05:56
,,,,,100.0,57.0,2.0,,,,,,,15:05:56
,,,,,100.0,57.0,1.9,,,,,,,15:05:57
,,,,,100.0,57.0,1.9,,,,,,,15:05:57
,,,,,100.0,58.0,2.3,,,,,,,15:05:58
,,,,,100.0,58.0,2.3,,,,,,,15:05:58
,,,,,100.0,58.0,2.1,,,,,,,15:05:59
,,,,,100.0,58.0,2.1,,,,,,,15:05:59
,,,,,100.0,58.0,2.4,,,,,,,15:06:00
,,,,,100.0,58.0,2.4,,,,,,,15:06:00
,,,,,100.0,59.0,2.2,,,,,,,15:06:01
,,,,,100.0,59.0,2.2,,,,,,,15:06:01
,,,,,100.0,59.0,1.7,,,255.0,,,,15:06:02
,,,,,100.0,59.0,1.7,,,255.0,,,,15:06:02
,,,,,100.0,59.0,1.7,,,255.0,,,,15:06:03
,,,,,100.0,59.0,1.7,,,255.0,,,,15:06:03
,,,,,100.0,60.0,1.6,,,,,,,15:06:04
,,,,,100.0,60.0,1.6,,,,,,,15:06:04
,,,,,100.0,61.0,1.3,,,,,,,15:06:05
,,,,,100.0,61.0,1.3,,,,,,,15:06:05
,,,,,100.0,64.0,1.2,,,,,,,15:06:06
,,,,,100.0,64.0,1.2,,,,,,,15:06:06
,,,,,100.0,65.0,1.2,,,,,,,15:06:07
,,,,,100.0,65.0,1.2,,,,,,,15:06:07
,,,,,100.0,69.0,1.1,,,,,,,15:06:08
,,,,,100.0,69.0,1.1,,,,,,,15:06:08
,,,,,100.0,69.0,1.1,,,,,,,15:06:09
,,,,,100.0,69.0,1.1,,,,,,,15:06:09
,,,,,100.0,69.0,1.1,,,,,,,15:06:10
,,,,,100.0,69.0,1.1,,,,,,,15:06:10
,,,,,100.0,69.0,1.1,,,,,,,15:06:11
,,,,,100.0,69.0,1.1,,,,,,,15:06:11
,,,,,100.0,69.0,1.1,,,,,,,15:06:12
,,,,,100.0,69.0,1.1,,,,,,,15:06:12
,,,,,100.0,69.0,1.1,,,,,,,15:06:13
,,,,,100.0,69.0,1.1,,,,,,,15:06:13
,,,,,100.0,69.0,1.1,,,,,,,15:06:14
,,,,,100.0,69.0,1.1,,,,,,,15:06:14
,,,,,100.0,71.0,1.1,,,,,,,15:06:15
,,,,,100.0,71.0,1.1,,,,,,,15:06:15
,,,,,100.0,71.0,1.1,,,,,,,15:06:16
,,,,,100.0,71.0,1.1,,,,,,,15:06:16
,,,,,100.0,71.0,1.1,,,,,,,15:06:17
,,,,,100.0,71.0,1.1,,,,,,,15:06:17
,,,,,100.0,70.0,1.2,,,,,,,15:06:18
,,,,,100.0,70.0,1.2,,,,,,,15:06:18
,,,,,100.0,70.0,1.2,,,,,,,15:06:19
,,,,,100.0,70.0,1.2,,,,,,,15:06:19
,,,,,100.0,70.0,1.2,,,,,,,15:06:20
,,,,,100.0,70.0,1.2,,,,,,,15:06:20
,,,,,100.0,70.0,1.2,,,,,,,15:06:21
,,,,,100.0,70.0,1.2,,,,,,,15:06:21
,,,,,100.0,70.0,1.2,,,,,,,15:06:22
,,,,,100.0,70.0,1.2,,,,,,,15:06:22
,,,,,100.0,70.0,1.2,,,,,,,15:06:23
,,,,,100.0,70.0,1.2,,,,,,,15:06:23
