Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,Timestamp
,,,,,,,,,,1.0,14:16:08
,,,,,,,,,,1.0,14:16:08
,,,,,,,,,,1.0,14:16:09
,,,,,,,,,,1.0,14:16:09
,,,,,,,,,,2.0,14:16:47
,,,,,,,,,,2.0,14:16:47
,,,,,,,,,,2.0,14:16:48
,,,,,,,,,,2.0,14:16:48
,,,,,,,,,,2.0,14:16:49
,,,,,,,,,,2.0,14:16:49
,,,,,,,,,,2.0,14:16:50
,,,,,,,,,,2.0,14:16:50
,,,,,,,,,,85.0,14:16:55
,,,,,,,,,,85.0,14:16:55
,,,,,,,,,,85.0,14:16:56
,,,,,,,,,,85.0,14:16:56
,,,,,,,,,,100.0,14:16:57
,,,,,,,,,,100.0,14:16:57
,,,,,,,,,,100.0,14:16:58
,,,,,,,,,,100.0,14:16:58
,,,,,,,,,,119.0,14:16:59
,,,,,,,,,,119.0,14:16:59
,,,,,,,,,,119.0,14:17:00
,,,,,,,,,,119.0,14:17:00
,,,,,,,,,,135.0,14:17:01
,,,,,,,,,,135.0,14:17:01
,,,,,,,,,,135.0,14:17:02
,,,,,,,,,,135.0,14:17:02
,,,,,,,,,,18.0,14:17:09
,,,,,,,,,,18.0,14:17:09
,,,,,,,,,,18.0,14:17:10
,,,,,,,,,,18.0,14:17:10
,,,,,,,,99.0,78.0,23.0,14:17:11
,,,,,,,,99.0,78.0,23.0,14:17:11
,,,,,,,,99.0,78.0,23.0,14:17:12
,,,,,,,,99.0,78.0,23.0,14:17:12
,,,,,,,,99.0,84.0,21.0,14:17:13
,,,,,,,,99.0,84.0,21.0,14:17:13
,,,,,,,,99.0,84.0,21.0,14:17:14
,,,,,,,,99.0,84.0,21.0,14:17:14
,,,,,,,,99.0,89.0,23.0,14:17:15
,,,,,,,,99.0,89.0,23.0,14:17:15
,,,,,,,,99.0,89.0,23.0,14:17:16
,,,,,,,,99.0,89.0,23.0,14:17:16
,,,,,,,,99.0,89.0,23.0,14:17:17
,,,,,,,,99.0,89.0,23.0,14:17:17
,,,,,,,,99.0,89.0,23.0,14:17:18
,,,,,,,,99.0,85.0,24.0,14:17:18
,,,,,,,,99.0,85.0,22.0,14:17:19
,,,,,,,,99.0,85.0,22.0,14:17:19
,,,,,,,,99.0,85.0,22.0,14:17:20
,,,,,,,,99.0,85.0,22.0,14:17:20
,,,,,,,,99.0,85.0,24.0,14:17:21
,,,,,,,,99.0,85.0,24.0,14:17:21
,,,,,,,,99.0,85.0,24.0,14:17:22
,,,,,,,,99.0,85.0,24.0,14:17:22
,,,,,,,,99.0,83.0,22.0,14:17:23
,,,,,,,,99.0,83.0,22.0,14:17:23
,,,,,,,,99.0,83.0,22.0,14:17:24
,,,,,,,,99.0,83.0,22.0,14:17:24
,,,,,,,,99.0,82.0,24.0,14:17:25
,,,,,,,,99.0,82.0,24.0,14:17:25
,,,,,,,,99.0,82.0,24.0,14:17:26
,,,,,,,,99.0,82.0,24.0,14:17:26
,,,,,,,,99.0,81.0,26.0,14:17:27
,,,,,,,,99.0,81.0,26.0,14:17:27
,,,,,,,,99.0,81.0,26.0,14:17:28
,,,,,,,,99.0,81.0,26.0,14:17:28
,,,,,,,,99.0,82.0,26.0,14:17:29
,,,,,,,,99.0,82.0,26.0,14:17:29
,,,,,,,,99.0,82.0,26.0,14:17:30
,,,,,,,,99.0,82.0,26.0,14:17:30
,,,,,,,,99.0,81.0,23.0,14:17:31
,,,,,,,,99.0,81.0,23.0,14:17:31
,,,,,,,,99.0,81.0,23.0,14:17:32
,,,,,,,,99.0,81.0,23.0,14:17:32
,,,,,,,,99.0,80.0,23.0,14:17:33
,,,,,,,,99.0,80.0,23.0,14:17:33
,,,,,,,,99.0,80.0,23.0,14:17:34
,,,,,,,,99.0,80.0,23.0,14:17:34
,,,,,,,,99.0,79.0,26.0,14:17:35
,,,,,,,,99.0,79.0,26.0,14:17:35
,,,,,,,,99.0,79.0,26.0,14:17:36
,,,,,,,,99.0,79.0,26.0,14:17:36
,,,,,,,,99.0,81.0,20.0,14:17:37
,,,,,,,,99.0,81.0,20.0,14:17:37
,,,,,,,,99.0,81.0,20.0,14:17:38
,,,,,,,,99.0,81.0,20.0,14:17:38
,,,,,,,,99.0,80.0,23.0,14:17:39
,,,,,,,,99.0,80.0,23.0,14:17:39
,,,,,,,,99.0,80.0,23.0,14:17:40
,,,,,,,,99.0,80.0,23.0,14:17:40
,,,,,,,,99.0,81.0,25.0,14:17:41
,,,,,,,,99.0,81.0,25.0,14:17:41
,,,,,,,,99.0,81.0,25.0,14:17:42
,,,,,,,,99.0,81.0,25.0,14:17:42
,,,,,,,,99.0,80.0,26.0,14:17:43
,,,,,,,,99.0,80.0,26.0,14:17:43
,,,,,,,,99.0,80.0,26.0,14:17:44
,,,,,,,,99.0,80.0,26.0,14:17:44
,,,,,,,,99.0,79.0,27.0,14:17:45
,,,,,,,,99.0,79.0,27.0,14:17:45
,,,,,,,,99.0,79.0,27.0,14:17:46
,,,,,,,,99.0,79.0,27.0,14:17:46
,,,,,,,,99.0,79.0,27.0,14:17:47
,,,,,,,,99.0,79.0,27.0,14:17:47
,,,,,,,,99.0,79.0,27.0,14:17:48
,,,,,,,,99.0,79.0,27.0,14:17:48
,,,,,,,,99.0,77.0,26.0,14:17:49
,,,,,,,,99.0,77.0,26.0,14:17:49
,,,,,,,,99.0,77.0,26.0,14:17:50
,,,,,,,,99.0,77.0,26.0,14:17:50
,,,,,,,,99.0,76.0,27.0,14:17:51
,,,,,,,,99.0,76.0,27.0,14:17:51
,,,,,,,,99.0,76.0,27.0,14:17:52
,,,,,,,,99.0,76.0,27.0,14:17:52
,,,,,,,,99.0,76.0,29.0,14:17:53
,,,,,,,,99.0,76.0,29.0,14:17:53
,,,,,,,,99.0,76.0,29.0,14:17:54
,,,,,,,,99.0,76.0,29.0,14:17:54
,,,,,,,,99.0,75.0,31.0,14:17:55
,,,,,,,,99.0,75.0,31.0,14:17:55
,,,,,,,,99.0,75.0,31.0,14:17:56
,,,,,,,,99.0,75.0,31.0,14:17:56
,,,,,,,,99.0,75.0,29.0,14:17:57
,,,,,,,,99.0,75.0,29.0,14:17:57
,,,,,,,,99.0,75.0,29.0,14:17:58
,,,,,,,,99.0,75.0,29.0,14:17:58
,,,,,,,,99.0,75.0,29.0,14:17:59
,,,,,,,,99.0,75.0,29.0,14:17:59
,,,,,,,,99.0,75.0,29.0,14:18:00
,,,,,,,,99.0,75.0,29.0,14:18:00
,,,,,,,,99.0,75.0,31.0,14:18:01
,,,,,,,,99.0,75.0,31.0,14:18:01
,,,,,,,,99.0,75.0,31.0,14:18:02
,,,,,,,,99.0,75.0,31.0,14:18:02
,,,,,,,,99.0,76.0,30.0,14:18:03
,,,,,,,,99.0,76.0,30.0,14:18:03
,,,,,,,,99.0,76.0,30.0,14:18:04
,,,,,,,,99.0,76.0,30.0,14:18:04
,,,,,,,,99.0,75.0,29.0,14:18:05
,,,,,,,,99.0,75.0,29.0,14:18:05
,,,,,,,,99.0,75.0,29.0,14:18:06
,,,,,,,,99.0,75.0,29.0,14:18:06
