Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,Timestamp
,,,,,89.0,,14.0,,,,15:11:45
,,,,,89.0,,14.0,,,,15:11:46
,,,,,89.0,,14.0,,,,15:11:46
,,,,,89.0,,14.0,,,,15:11:47
,,,,,89.0,75.0,17.0,,,,15:11:47
,,,,,89.0,75.0,17.0,,,,15:11:48
,,,,,89.0,75.0,3.9,,,,15:11:48
,,,,,89.0,75.0,3.9,,,,15:11:49
,,,,,92.0,75.0,5.5,,,,15:11:49
,,,,,92.0,75.0,5.5,,,,15:11:50
,,,,,93.0,75.0,6.1,,,,15:11:50
,,,,,93.0,75.0,6.1,,,,15:11:51
,,,,,94.0,75.0,6.3,,,,15:11:51
,,,,,94.0,75.0,6.3,,,,15:11:52
,,,,,94.0,75.0,6.3,,,,15:11:52
,,,,,94.0,75.0,6.3,,,,15:11:53
,,,,,94.0,77.0,6.4,,,,15:11:53
,,,,,94.0,77.0,6.4,,,,15:11:54
,,,,,95.0,77.0,6.4,,,,15:11:54
,,,,,95.0,77.0,6.4,,,,15:11:55
,,,,,95.0,77.0,6.3,,,,15:11:55
,,,,,95.0,77.0,6.3,,,,15:11:56
,,,,,96.0,77.0,6.2,,,,15:11:56
,,,,,96.0,77.0,6.2,,,,15:11:57
,,,,,96.0,78.0,6.1,,,,15:11:57
,,,,,96.0,78.0,6.1,,,,15:11:58
,,,,,96.0,78.0,6.1,,,,15:11:58
,,,,,96.0,78.0,6.1,,,,15:11:59
,,,,,96.0,78.0,6.0,,,,15:11:59
,,,,,96.0,78.0,6.0,,,,15:12:00
,,,,,97.0,79.0,6.0,,,,15:12:00
,,,,,97.0,79.0,6.0,,,,15:12:01
,,,,,97.0,81.0,5.9,,,,15:12:01
,,,,,97.0,81.0,5.9,,,,15:12:02
,,,,,97.0,81.0,5.9,,,,15:12:02
,,,,,97.0,81.0,5.9,,,,15:12:03
,,,,,97.0,81.0,5.8,,,,15:12:03
,,,,,97.0,81.0,5.8,,,,15:12:04
,,,,,97.0,81.0,5.8,,,,15:12:04
,,,,,97.0,81.0,5.8,,,,15:12:05
,,,,,97.0,84.0,5.7,,,,15:12:05
,,,,,97.0,84.0,5.7,,,,15:12:06
,,,,,97.0,86.0,5.6,,,,15:12:06
,,,,,97.0,86.0,5.6,,,,15:12:07
,,,,,97.0,86.0,5.6,,,,15:12:07
,,,,,97.0,86.0,5.6,,,,15:12:08
,,,,,97.0,87.0,5.6,,,,15:12:08
,,,,,97.0,87.0,5.6,,,,15:12:09
,,,,,97.0,87.0,5.6,,,,15:12:09
,,,,,97.0,87.0,5.6,,,,15:12:10
,,,,,97.0,89.0,5.6,,,,15:12:10
,,,,,97.0,89.0,5.6,,,,15:12:11
,,,,,97.0,92.0,5.6,,,,15:12:11
,,,,,97.0,92.0,5.6,,,,15:12:12
,,,,,97.0,94.0,5.5,,,,15:12:12
,,,,,97.0,94.0,5.5,,,,15:12:13
,,,,,97.0,92.0,5.4,,,,15:12:13
,,,,,97.0,92.0,5.4,,,,15:12:14
,,,,,97.0,92.0,5.3,,,,15:12:14
,,,,,97.0,92.0,5.3,,,,15:12:15
,,,,,97.0,92.0,5.3,,,,15:12:15
,,,,,97.0,92.0,5.3,,,,15:12:16
,,,,,97.0,91.0,5.1,,,,15:12:16
,,,,,97.0,91.0,5.1,,,,15:12:17
,,,,,97.0,89.0,4.9,,,,15:12:17
,,,,,97.0,89.0,4.9,,,,15:12:18
,,,,,97.0,86.0,4.7,,,,15:12:18
,,,,,97.0,86.0,4.7,,,,15:12:19
,,,,,97.0,86.0,4.7,,,,15:12:19
,,,,,97.0,86.0,4.7,,,,15:12:20
,,,,,97.0,86.0,4.6,,,,15:12:20
,,,,,97.0,86.0,4.6,,,,15:12:21
,,,,,97.0,86.0,4.6,,,,15:12:21
,,,,,97.0,86.0,4.6,,,,15:12:22
,,,,,97.0,84.0,4.5,,,,15:12:22
,,,,,97.0,84.0,4.5,,,,15:12:23
,,,,,97.0,82.0,4.5,,,,15:12:23
,,,,,97.0,82.0,4.5,,,,15:12:24
,,,,,97.0,79.0,4.5,,,,15:12:24
,,,,,97.0,79.0,4.5,,,,15:12:25
,,,,,97.0,78.0,4.5,,,,15:12:25
,,,,,97.0,78.0,4.5,,,,15:12:26
,,,,,97.0,78.0,4.3,,,,15:12:26
,,,,,97.0,78.0,4.3,,,,15:12:27
,,,,,97.0,76.0,4.3,,,,15:12:27
,,,,,97.0,76.0,4.3,,,,15:12:28
,,,,,97.0,74.0,4.2,,,,15:12:28
,,,,,97.0,74.0,4.2,,,,15:12:29
,,,,,97.0,74.0,4.1,,,,15:12:29
,,,,,97.0,74.0,4.1,,,,15:12:30
,,,,,97.0,76.0,4.1,,,,15:12:30
,,,,,97.0,76.0,4.1,,,,15:12:31
,,,,,97.0,76.0,3.9,,,,15:12:31
,,,,,97.0,76.0,3.9,,,,15:12:32
,,,,,97.0,76.0,3.9,,,,15:12:32
,,,,,97.0,76.0,3.9,,,,15:12:33
,,,,,97.0,78.0,3.8,,,,15:12:33
,,,,,97.0,78.0,3.8,,,,15:12:34
,,,,,97.0,81.0,3.7,,,,15:12:34
,,,,,97.0,81.0,3.7,,,,15:12:35
,,,,,97.0,85.0,3.7,,,,15:12:35
,,,,,97.0,85.0,3.7,,,,15:12:36
,,,,,97.0,88.0,3.6,,,,15:12:36
,,,,,97.0,88.0,3.6,,,,15:12:37
,,,,,97.0,88.0,3.6,,,,15:12:37
,,,,,97.0,88.0,3.6,,,,15:12:38
,,,,,97.0,88.0,3.6,,,,15:12:38
,,,,,97.0,88.0,3.6,,,,15:12:39
,,,,,97.0,89.0,3.5,,,,15:12:39
,,,,,97.0,89.0,3.5,,,,15:12:40
,,,,,97.0,89.0,3.5,,,,15:12:40
,,,,,97.0,89.0,3.5,,,,15:12:41
,,,,,97.0,89.0,3.5,,,,15:12:41
,,,,,97.0,89.0,3.5,,,,15:12:42
,,,,,97.0,89.0,3.5,,,,15:12:42
,,,,,97.0,89.0,3.5,,,,15:12:43
,,,,,97.0,89.0,3.5,,,,15:12:43
,,,,,97.0,89.0,3.5,,,,15:12:44
,,,,,97.0,89.0,3.5,,,,15:12:44
,,,,,97.0,89.0,3.5,,,,15:12:45
,,,,,97.0,89.0,3.5,,,,15:12:45
,,,,,97.0,89.0,3.5,,,,15:12:46
,,,,,97.0,89.0,3.5,,,,15:12:46
,,,,,97.0,89.0,3.5,,,,15:12:47
,,,,,97.0,93.0,3.5,,,,15:12:47
,,,,,97.0,93.0,3.5,,,,15:12:48
,,,,,98.0,96.0,3.5,,,,15:12:48
,,,,,98.0,96.0,3.5,,,,15:12:49
,,,,,98.0,100.0,3.5,,,,15:12:49
,,,,,98.0,100.0,3.5,,,,15:12:50
,,,,,98.0,100.0,3.5,,,,15:12:50
,,,,58.0,98.0,100.0,3.5,,,,15:12:51
,,,,,97.0,99.0,3.5,,,,15:12:51
,,,,56.0,97.0,99.0,3.5,,,,15:12:52
,,,,,97.0,99.0,3.5,,,,15:12:52
,,,,,97.0,99.0,3.5,,,,15:12:53
,,,,,97.0,99.0,3.5,,,,15:12:53
,,,,,97.0,99.0,3.5,,,,15:12:54
,,,,,97.0,98.0,3.5,,,,15:12:54
,,,,,97.0,98.0,3.5,,,,15:12:55
,,,,,97.0,97.0,3.5,,,,15:12:55
,,,,,97.0,97.0,3.5,,,,15:12:56
,,,,,97.0,97.0,3.4,,,,15:12:56
,,,,,97.0,97.0,3.4,,,,15:12:57
,,,,,97.0,95.0,3.4,,,,15:12:57
,,,,,97.0,95.0,3.4,,,,15:12:58
,,,,,97.0,95.0,3.4,,,,15:12:58
,30.481684,,,,97.0,95.0,3.4,,,,15:12:59
,30.662226,102.236528,98.160592,,97.0,95.0,3.3,,,,15:12:59
,30.8634,102.174258,98.148494,56.0,97.0,95.0,3.3,,,,15:13:00
