Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,dev64_SpO2,dev64_HR,dev64_PI,Timestamp
,,,,,100.0,67.0,1.3,,,,,,,14:12:40
,,,,,99.0,62.0,1.3,,,,,,,14:12:41
,,,,,100.0,61.0,1.3,,,,,,,14:12:41
,,,,,100.0,61.0,1.3,,,,,,,14:12:42
,,,,,99.0,60.0,1.3,,,,,,,14:12:42
,,,,,99.0,60.0,1.3,,,,,,,14:12:43
,,,,,99.0,60.0,1.3,,,,,,,14:12:43
,,,,,100.0,59.0,1.3,,,,,,,14:12:44
,19.422987,,,,100.0,60.0,1.3,,,,,,,14:12:44
,19.199764,,,,100.0,60.0,1.3,,,,,,,14:12:45
,19.610872,144.696893,99.512552,,100.0,60.0,1.3,,,,,,,14:12:45
,19.610872,144.696893,99.512552,,100.0,60.0,1.3,,,,,,,14:12:46
,19.349655,144.696893,99.516929,,100.0,60.0,1.3,,,,,,,14:12:46
,19.504797,144.696893,99.514327,,100.0,60.0,1.3,,,,,,,14:12:47
,,,,,100.0,60.0,1.3,,,,,,,14:12:47
,,,,,100.0,60.0,1.3,,,,,,,14:12:48
,,,,,100.0,60.0,1.3,,,,,,,14:12:48
,,,,,100.0,59.0,1.3,,,,,,,14:12:49
,,,,,100.0,59.0,1.3,,,,,,,14:12:49
,,,,,100.0,59.0,1.3,,,,,,,14:12:50
,,,,,100.0,59.0,1.3,,,,,,,14:12:50
,,,,,100.0,59.0,1.4,,,,,,,14:12:51
,,,,,100.0,59.0,1.4,,,,,,,14:12:51
,,,,,100.0,60.0,1.4,,,,,,,14:12:52
,6.152959,,,23.0,100.0,60.0,1.4,,,,,,,14:12:52
,,,,,100.0,61.0,1.4,,,,,,,14:12:53
,6.152959,,,23.0,100.0,61.0,1.4,,,,,,,14:12:53
,6.152959,,,23.0,100.0,61.0,1.4,,,,,,,14:12:54
,6.152959,,,23.0,100.0,61.0,1.4,,,,,,,14:12:54
,6.152959,,,23.0,100.0,61.0,1.4,,,,,,,14:12:55
,6.152959,,,23.0,100.0,60.0,1.4,,,,,,,14:12:55
,6.152959,,,23.0,100.0,60.0,1.4,,,,,,,14:12:56
,6.152959,,,23.0,100.0,61.0,1.4,,,,,,,14:12:56
,6.152959,,,23.0,100.0,61.0,1.4,,,,,,,14:12:57
,6.152959,,,23.0,100.0,61.0,1.4,,,,,,,14:12:57
,6.152959,,,23.0,100.0,61.0,1.4,,,,,,,14:12:58
,,,,,100.0,60.0,1.4,,,,,,,14:12:58
,,,,,100.0,60.0,1.4,,,,83.0,,270.0,14:12:59
,,,,,99.0,60.0,1.4,,,,83.0,,270.0,14:12:59
,,,,,99.0,60.0,1.4,,,,83.0,,270.0,14:13:00
,,,,,99.0,59.0,1.4,,,,83.0,,270.0,14:13:00
,,,,,99.0,59.0,1.4,,,,83.0,,270.0,14:13:01
,,,,,99.0,59.0,1.4,,,,83.0,,270.0,14:13:01
,,,,,99.0,56.0,1.4,,,,83.0,,270.0,14:13:02
,,,,,100.0,56.0,1.4,,,,83.0,,270.0,14:13:02
,,,,,100.0,56.0,1.4,,,,83.0,,270.0,14:13:03
,,,,,100.0,56.0,1.4,,,,83.0,,270.0,14:13:03
,,,,,100.0,55.0,1.4,,,,83.0,,270.0,14:13:04
,,,,,100.0,55.0,1.4,,,,83.0,,270.0,14:13:04
,,,,,100.0,55.0,1.4,,,,83.0,,270.0,14:13:05
,,,,,100.0,55.0,1.4,,,,83.0,,270.0,14:13:05
,,,,,100.0,54.0,1.4,,,,83.0,,270.0,14:13:06
,,,,,100.0,54.0,1.4,,,,83.0,,270.0,14:13:06
