Sample,ETCO2,ETO2,ScalcO2,RR,dev55_SpO2,dev55_HR,dev55_PI,dev59_SpO2,dev59_HR,dev59_PI,Timestamp
,,,,,98.0,84.0,5.9,,,,13:19:56
,,,,,98.0,84.0,5.7,97.0,84.0,31.0,13:19:57
,,,,,98.0,84.0,5.2,97.0,84.0,40.0,13:19:57
,,,,,97.0,83.0,4.8,97.0,90.0,41.0,13:19:58
,,,,,97.0,82.0,4.7,97.0,89.0,33.0,13:19:58
,,,,,97.0,82.0,4.7,97.0,87.0,37.0,13:19:59
,,,,,97.0,84.0,4.7,97.0,85.0,31.0,13:20:00
,,,,,97.0,83.0,4.6,97.0,85.0,33.0,13:20:00
,,,,,97.0,82.0,4.6,96.0,84.0,34.0,13:20:00
,,,,,97.0,82.0,4.8,96.0,83.0,49.0,13:20:01
,,,,,97.0,82.0,5.2,96.0,83.0,49.0,13:20:01
,,,,,97.0,82.0,5.4,96.0,83.0,49.0,13:20:02
,,,,,97.0,82.0,5.4,96.0,83.0,49.0,13:20:02
,,,,,97.0,81.0,5.5,96.0,84.0,49.0,13:20:03
,,,,,97.0,81.0,5.5,96.0,84.0,45.0,13:20:03
,,,,,97.0,81.0,5.5,96.0,82.0,33.0,13:20:04
,,,,,96.0,83.0,5.5,97.0,81.0,29.0,13:20:04
,,,,,96.0,84.0,5.5,97.0,81.0,62.0,13:20:05
,,,,,96.0,82.0,5.5,96.0,81.0,57.0,13:20:05
,,,,,96.0,82.0,5.6,96.0,81.0,57.0,13:20:06
,,,,,96.0,82.0,5.8,96.0,81.0,57.0,13:20:06
,,,,,96.0,83.0,6.0,96.0,81.0,57.0,13:20:07
,,,,,96.0,83.0,6.2,97.0,82.0,108.0,13:20:07
,,,,,96.0,84.0,6.4,97.0,82.0,108.0,13:20:08
,,,,,96.0,84.0,6.5,97.0,82.0,108.0,13:20:08
,,,,,97.0,83.0,6.6,97.0,82.0,108.0,13:20:09
,,,,,97.0,83.0,6.6,98.0,82.0,153.0,13:20:09
,,,,,97.0,82.0,6.1,98.0,82.0,153.0,13:20:10
,,,,,97.0,82.0,5.6,98.0,82.0,153.0,13:20:10
,,,,,98.0,81.0,3.3,98.0,82.0,153.0,13:20:11
,,,,,98.0,81.0,3.4,99.0,84.0,79.0,13:20:11
,,,,,98.0,79.0,3.3,99.0,84.0,79.0,13:20:12
,,,,,98.0,78.0,3.0,99.0,84.0,79.0,13:20:12
,,,,,98.0,78.0,2.9,99.0,84.0,79.0,13:20:13
,,,,,98.0,79.0,2.9,99.0,87.0,37.0,13:20:13
,,,,,98.0,79.0,2.9,99.0,87.0,37.0,13:20:14
,,,,,98.0,79.0,3.1,99.0,87.0,37.0,13:20:14
,,,,,98.0,81.0,3.4,99.0,87.0,37.0,13:20:15
,,,,,98.0,84.0,3.7,99.0,87.0,33.0,13:20:15
,,,,,98.0,84.0,4.0,99.0,87.0,33.0,13:20:16
,,,,,98.0,86.0,4.0,99.0,87.0,33.0,13:20:16
,,,,,98.0,89.0,4.3,99.0,87.0,33.0,13:20:17
,,,,,98.0,90.0,4.6,99.0,84.0,34.0,13:20:17
,,,,,98.0,90.0,4.6,99.0,84.0,34.0,13:20:18
,,,,,98.0,91.0,4.7,99.0,84.0,34.0,13:20:18
,,,,,98.0,91.0,4.7,99.0,84.0,34.0,13:20:19
,,,,,98.0,88.0,4.9,99.0,83.0,33.0,13:20:19
,,,,,98.0,88.0,4.9,99.0,83.0,33.0,13:20:20
,,,,,99.0,88.0,4.9,99.0,83.0,33.0,13:20:20
,,,,,99.0,88.0,4.9,99.0,83.0,33.0,13:20:21
,,,,,99.0,85.0,5.2,98.0,82.0,34.0,13:20:21
,,,,,99.0,85.0,5.2,98.0,82.0,34.0,13:20:22
,,,,,99.0,84.0,5.3,98.0,82.0,34.0,13:20:22
,,,,,99.0,84.0,5.3,98.0,82.0,34.0,13:20:23
,,,,,99.0,82.0,5.5,98.0,80.0,36.0,13:20:23
,,,,,99.0,82.0,5.5,98.0,80.0,36.0,13:20:24
,,,,,99.0,81.0,5.6,98.0,80.0,36.0,13:20:24
,,,,,99.0,81.0,5.6,98.0,80.0,36.0,13:20:25
,,,,,99.0,78.0,5.8,98.0,79.0,37.0,13:20:25
,,,,,99.0,78.0,5.8,98.0,79.0,37.0,13:20:26
,,,,,99.0,78.0,5.8,98.0,79.0,37.0,13:20:26
,,,,,99.0,78.0,5.8,98.0,79.0,37.0,13:20:27
,,,,,99.0,78.0,6.0,98.0,79.0,38.0,13:20:27
,,,,,99.0,78.0,6.0,98.0,79.0,38.0,13:20:28
,,,,,99.0,78.0,6.3,98.0,79.0,38.0,13:20:28
,,,,,99.0,78.0,6.3,98.0,79.0,38.0,13:20:29
,,,,,99.0,78.0,6.5,99.0,80.0,38.0,13:20:29
,,,,,99.0,78.0,6.5,99.0,80.0,38.0,13:20:30
,,,,,99.0,78.0,6.8,99.0,80.0,38.0,13:20:30
,,,,,99.0,78.0,6.8,99.0,80.0,38.0,13:20:31
,,,,,99.0,78.0,6.8,98.0,80.0,40.0,13:20:31
,,,,,99.0,78.0,6.8,98.0,80.0,40.0,13:20:32
,,,,,99.0,79.0,6.9,98.0,80.0,40.0,13:20:32
,,,,,99.0,79.0,6.9,98.0,80.0,40.0,13:20:33
,,,,,99.0,79.0,7.1,99.0,82.0,67.0,13:20:33
,,,,,99.0,79.0,7.1,99.0,82.0,67.0,13:20:34
,,,,,99.0,79.0,7.1,99.0,82.0,67.0,13:20:34
,,,,,99.0,79.0,7.1,99.0,82.0,67.0,13:20:35
,,,,,99.0,81.0,7.2,99.0,83.0,56.0,13:20:35
,,,,,99.0,81.0,7.2,99.0,83.0,56.0,13:20:36
,,,,,99.0,82.0,7.3,99.0,83.0,56.0,13:20:36
,,,,,99.0,82.0,7.3,99.0,83.0,56.0,13:20:37
,,,,,99.0,83.0,7.3,99.0,85.0,48.0,13:20:37
,,,,,99.0,83.0,7.3,99.0,85.0,48.0,13:20:38
,,,,,99.0,83.0,7.2,99.0,85.0,48.0,13:20:38
,,,,,99.0,83.0,7.2,99.0,85.0,48.0,13:20:39
,,,,,99.0,83.0,7.1,98.0,84.0,36.0,13:20:39
,,,,,99.0,83.0,7.1,98.0,84.0,36.0,13:20:40
,,,,,99.0,83.0,6.9,98.0,84.0,36.0,13:20:40
,,,,,99.0,83.0,6.9,98.0,84.0,36.0,13:20:41
,,,,,99.0,84.0,6.4,98.0,83.0,37.0,13:20:41
,,,,,99.0,84.0,6.4,98.0,83.0,37.0,13:20:42
,,,,,99.0,84.0,6.1,98.0,83.0,37.0,13:20:42
,,,,,99.0,84.0,6.1,98.0,83.0,37.0,13:20:43
,,,,,99.0,83.0,5.9,98.0,84.0,66.0,13:20:43
,,,,,99.0,83.0,5.9,98.0,84.0,66.0,13:20:44
,,,,,98.0,83.0,5.9,98.0,84.0,66.0,13:20:44
,,,,,98.0,83.0,5.9,98.0,84.0,66.0,13:20:45
,,,,,98.0,83.0,5.8,98.0,84.0,66.0,13:20:45
,,,,,98.0,83.0,5.8,98.0,84.0,66.0,13:20:46
,,,,,98.0,82.0,5.8,98.0,84.0,66.0,13:20:46
,,,,,98.0,82.0,5.8,98.0,85.0,42.0,13:20:47
,,,,,98.0,83.0,5.8,98.0,82.0,50.0,13:20:47
,,,,,98.0,83.0,5.8,98.0,82.0,50.0,13:20:48
,,,,,98.0,83.0,5.6,98.0,82.0,50.0,13:20:48
,,,,,98.0,83.0,5.6,98.0,82.0,50.0,13:20:49
,,,,,98.0,83.0,5.5,98.0,82.0,98.0,13:20:49
,,,,,98.0,83.0,5.5,98.0,82.0,98.0,13:20:50
,,,,,98.0,83.0,5.5,98.0,82.0,98.0,13:20:50
,,,,,98.0,83.0,5.5,98.0,82.0,98.0,13:20:51
,,,,,98.0,82.0,5.4,98.0,83.0,135.0,13:20:51
,,,,,98.0,82.0,5.4,98.0,83.0,135.0,13:20:52
,,,,,98.0,81.0,5.3,98.0,83.0,135.0,13:20:52
,,,,,98.0,81.0,5.3,98.0,83.0,135.0,13:20:53
,,,,,98.0,81.0,5.6,98.0,83.0,135.0,13:20:53
,,,,,98.0,81.0,5.6,98.0,83.0,135.0,13:20:54
,,,,,98.0,82.0,5.8,98.0,83.0,135.0,13:20:54
,,,,,98.0,82.0,5.8,98.0,83.0,135.0,13:20:55
,,,,,98.0,82.0,5.9,98.0,87.0,46.0,13:20:55
,,,,,98.0,82.0,5.9,98.0,87.0,46.0,13:20:56
,,,,,98.0,83.0,5.9,98.0,87.0,46.0,13:20:56
,,,,,98.0,83.0,5.9,98.0,87.0,46.0,13:20:57
,,,,,98.0,84.0,5.4,98.0,87.0,30.0,13:20:57
,,,,,98.0,84.0,5.4,98.0,87.0,30.0,13:20:58
,,,,,98.0,85.0,4.9,98.0,87.0,30.0,13:20:58
,,,,,98.0,85.0,4.9,98.0,87.0,30.0,13:20:59
,,,,,98.0,86.0,4.1,98.0,85.0,25.0,13:20:59
,,,,,98.0,86.0,4.1,98.0,85.0,25.0,13:21:00
,,,,,98.0,86.0,3.7,98.0,85.0,25.0,13:21:00
,,,,,98.0,86.0,3.7,98.0,85.0,25.0,13:21:01
,,,,,98.0,84.0,3.7,98.0,86.0,26.0,13:21:01
,,,,,98.0,84.0,3.7,98.0,86.0,26.0,13:21:02
,,,,,98.0,83.0,3.6,98.0,86.0,26.0,13:21:02
,,,,,98.0,83.0,3.6,98.0,86.0,26.0,13:21:03
,,,,,98.0,82.0,3.6,98.0,86.0,31.0,13:21:03
,,,,,98.0,82.0,3.6,98.0,86.0,31.0,13:21:04
,,,,,98.0,83.0,3.7,98.0,86.0,31.0,13:21:04
,,,,,98.0,83.0,3.7,98.0,86.0,31.0,13:21:05
,,,,,98.0,83.0,3.7,98.0,85.0,35.0,13:21:05
,,,,,98.0,83.0,3.7,98.0,85.0,35.0,13:21:06
,,,,,98.0,83.0,4.0,98.0,85.0,35.0,13:21:06
,,,,,98.0,84.0,4.0,98.0,85.0,35.0,13:21:07
,,,,,98.0,84.0,4.0,98.0,84.0,35.0,13:21:07
,,,,,98.0,85.0,4.5,98.0,84.0,35.0,13:21:08
,,,,,98.0,85.0,4.5,98.0,84.0,35.0,13:21:08
,,,,,98.0,85.0,5.0,98.0,84.0,35.0,13:21:09
,,,,,98.0,85.0,5.0,98.0,83.0,36.0,13:21:09
,,,,,98.0,85.0,5.3,98.0,83.0,36.0,13:21:10
,,,,,98.0,85.0,5.3,98.0,83.0,36.0,13:21:10
,,,,,98.0,84.0,5.6,98.0,83.0,36.0,13:21:11
,,,,,98.0,84.0,5.6,98.0,83.0,42.0,13:21:11
,,,,,98.0,84.0,5.6,98.0,83.0,42.0,13:21:12
,,,,,98.0,84.0,5.6,98.0,83.0,42.0,13:21:12
,,,,,98.0,83.0,5.9,98.0,83.0,42.0,13:21:13
,,,,,98.0,83.0,5.9,98.0,83.0,42.0,13:21:13
,,,,,98.0,82.0,6.1,98.0,83.0,42.0,13:21:14
,,,,,98.0,82.0,6.1,98.0,83.0,42.0,13:21:14
,,,,,98.0,82.0,6.4,98.0,83.0,42.0,13:21:15
,,,,,98.0,82.0,6.4,97.0,84.0,42.0,13:21:15
,,,,,98.0,82.0,6.6,97.0,84.0,42.0,13:21:16
,,,,,98.0,82.0,6.6,97.0,84.0,42.0,13:21:16
,,,,,98.0,83.0,6.8,97.0,84.0,42.0,13:21:17
,,,,,98.0,83.0,6.8,96.0,83.0,44.0,13:21:17
,,,,,98.0,83.0,6.8,96.0,83.0,44.0,13:21:18
,,,,,98.0,83.0,6.8,96.0,83.0,44.0,13:21:18
,,,,,98.0,84.0,7.1,96.0,83.0,44.0,13:21:19
,,,,,98.0,84.0,7.1,95.0,82.0,37.0,13:21:19
,,,,,97.0,84.0,7.3,95.0,82.0,37.0,13:21:20
,,,,,97.0,84.0,7.3,95.0,82.0,37.0,13:21:20
,,,,,97.0,84.0,7.3,95.0,82.0,37.0,13:21:21
,,,,,97.0,84.0,7.3,95.0,82.0,37.0,13:21:21
,,,,,96.0,82.0,6.7,95.0,82.0,37.0,13:21:22
,,,,,96.0,82.0,6.7,95.0,82.0,37.0,13:21:22
,,,,,96.0,82.0,5.9,95.0,82.0,37.0,13:21:23
,,,,,96.0,82.0,5.9,94.0,81.0,37.0,13:21:23
,,,,,96.0,82.0,5.3,94.0,81.0,37.0,13:21:24
,,,,,96.0,82.0,5.3,94.0,81.0,37.0,13:21:24
,,,,,96.0,82.0,5.4,94.0,81.0,37.0,13:21:25
,,,,,96.0,82.0,5.4,93.0,81.0,38.0,13:21:25
,,,,,95.0,81.0,5.1,93.0,81.0,38.0,13:21:26
,,,,,95.0,81.0,5.1,93.0,81.0,38.0,13:21:26
,,,,,94.0,80.0,5.0,93.0,81.0,38.0,13:21:27
,,,,,94.0,80.0,5.0,93.0,80.0,39.0,13:21:27
,,,,,94.0,80.0,5.0,93.0,80.0,39.0,13:21:28
,,,,,94.0,80.0,5.0,93.0,80.0,39.0,13:21:28
,,,,,94.0,80.0,5.2,93.0,80.0,39.0,13:21:29
,,,,,94.0,80.0,5.2,94.0,79.0,39.0,13:21:29
,,,,,94.0,79.0,5.2,94.0,79.0,39.0,13:21:30
,,,,,94.0,79.0,5.2,94.0,79.0,39.0,13:21:30
,,,,,94.0,79.0,5.2,94.0,79.0,39.0,13:21:31
,,,,,94.0,79.0,5.2,94.0,79.0,39.0,13:21:31
,,,,,94.0,79.0,5.8,94.0,79.0,39.0,13:21:32
,,,,,94.0,79.0,5.8,94.0,79.0,39.0,13:21:32
,,,,,94.0,78.0,6.0,94.0,79.0,39.0,13:21:33
,,,,,94.0,78.0,6.0,96.0,79.0,39.0,13:21:33
,,,,,94.0,78.0,6.1,96.0,79.0,39.0,13:21:34
,,,,,94.0,78.0,6.1,96.0,79.0,39.0,13:21:34
,,,,,94.0,78.0,6.1,96.0,79.0,39.0,13:21:35
,,,,,94.0,78.0,6.1,96.0,79.0,39.0,13:21:35
,,,,,95.0,78.0,6.1,96.0,79.0,39.0,13:21:36
,,,,,95.0,78.0,6.1,96.0,79.0,39.0,13:21:36
,,,,,95.0,78.0,6.4,96.0,80.0,39.0,13:21:37
,,,,,95.0,78.0,6.4,97.0,79.0,38.0,13:21:37
,,,,,96.0,78.0,6.4,97.0,79.0,38.0,13:21:39
,,,,,96.0,79.0,6.6,97.0,80.0,47.0,13:21:39
,,,,,96.0,79.0,6.6,97.0,80.0,47.0,13:21:39
,,,,,97.0,80.0,6.7,97.0,80.0,47.0,13:21:40
,,,,,97.0,80.0,6.7,97.0,80.0,47.0,13:21:40
,,,,,97.0,80.0,6.7,97.0,80.0,47.0,13:21:40
,,,,,97.0,80.0,6.8,97.0,80.0,47.0,13:21:41
,,,,,97.0,80.0,6.8,97.0,81.0,42.0,13:21:41
,,,,,97.0,80.0,6.8,97.0,81.0,42.0,13:21:42
,,,,,97.0,80.0,6.8,97.0,81.0,42.0,13:21:42
,,,,,98.0,80.0,6.8,97.0,81.0,42.0,13:21:43
,,,,,98.0,80.0,6.8,98.0,83.0,47.0,13:21:43
,,,,,98.0,81.0,6.8,98.0,83.0,47.0,13:21:44
