Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,dev64_SpO2,dev64_HR,dev64_PI,Timestamp
,,,,,,,,,,255.0,,,,11:28:20
,,,,,,,,,,255.0,,,,11:28:20
,,,,,,,,,,255.0,,,,11:28:21
,,,,,99.0,,,,,255.0,,,,11:28:22
,,,,,99.0,,,,,73.0,,,,11:28:22
,,,,,99.0,,1.4,,,73.0,,,,11:28:22
,,,,,99.0,,1.4,,,73.0,,,,11:28:23
,,,,,99.0,72.0,1.8,,,73.0,,,,11:28:24
,,,,,99.0,72.0,1.8,,,30.0,,,,11:28:24
,,,,,99.0,72.0,2.3,,,30.0,,,,11:28:24
,,,,,99.0,72.0,2.3,,,30.0,,,,11:28:25
,,,,,99.0,72.0,2.5,,,30.0,,,,11:28:26
,,,,,99.0,72.0,2.5,97.0,74.0,35.0,,,,11:28:26
,,,,,99.0,73.0,2.5,97.0,74.0,35.0,,,,11:28:26
,,,,,99.0,73.0,2.5,97.0,74.0,35.0,,,,11:28:27
,,,,,99.0,75.0,2.5,97.0,74.0,35.0,,,,11:28:28
,,,,,99.0,75.0,2.5,97.0,73.0,36.0,,,,11:28:28
,,,,,99.0,74.0,2.5,97.0,73.0,36.0,,,,11:28:28
,,,,,99.0,74.0,2.5,97.0,73.0,36.0,,,,11:28:29
,,,,,99.0,74.0,2.6,97.0,73.0,36.0,,,,11:28:30
,,,,,99.0,74.0,2.6,97.0,73.0,37.0,,,,11:28:30
,,,,,98.0,74.0,2.6,97.0,73.0,37.0,,,,11:28:30
,,,,,98.0,74.0,2.6,97.0,73.0,37.0,,,,11:28:31
,,,,,98.0,74.0,2.6,97.0,73.0,37.0,,,,11:28:32
,,,,,98.0,74.0,2.6,97.0,73.0,31.0,,,,11:28:32
,,,,,98.0,74.0,2.7,97.0,73.0,31.0,,,,11:28:32
,,,,,98.0,74.0,2.7,97.0,73.0,31.0,,,,11:28:33
,,,,,98.0,74.0,2.7,97.0,73.0,31.0,,,,11:28:34
,,,,,98.0,74.0,2.7,97.0,74.0,30.0,,,,11:28:34
,,,,,98.0,73.0,2.7,97.0,74.0,30.0,,,,11:28:34
,,,,,98.0,73.0,2.7,97.0,74.0,30.0,,,,11:28:35
,,,,,99.0,73.0,2.6,97.0,74.0,30.0,,,,11:28:36
