Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,dev64_SpO2,dev64_HR,dev64_PI,Timestamp
,,,,,,,800.0,100.0,79.0,5.0,,,,14:40:38
,,,,,100.0,78.0,0.2,100.0,80.0,4.0,,,,14:40:39
,,,,,100.0,80.0,0.2,100.0,80.0,5.0,,,,14:40:39
,,,,,100.0,80.0,0.2,99.0,81.0,5.0,,,,14:40:40
,,,,,100.0,80.0,0.2,99.0,83.0,4.0,,,,14:40:40
,,,,,100.0,79.0,0.2,99.0,84.0,4.0,,,,14:40:41
,,,,,100.0,80.0,0.2,99.0,84.0,4.0,,,,14:40:41
,,,,,100.0,80.0,0.2,99.0,84.0,4.0,,,,14:40:42
,,,,,100.0,80.0,0.2,99.0,84.0,4.0,,,,14:40:42
,,,,,100.0,81.0,0.2,100.0,81.0,5.0,,,,14:40:43
,,,,,100.0,82.0,0.2,100.0,81.0,5.0,,,,14:40:43
,,,,,100.0,84.0,0.2,100.0,81.0,5.0,,,,14:40:44
,,,,,100.0,85.0,0.2,100.0,81.0,5.0,,,,14:40:44
,,,,,100.0,85.0,0.2,100.0,81.0,5.0,,,,14:40:45
,,,,,100.0,85.0,0.2,100.0,81.0,5.0,,,,14:40:45
,,,,,100.0,85.0,0.2,100.0,81.0,5.0,,,,14:40:46
,,,,,100.0,85.0,0.2,100.0,81.0,5.0,,,,14:40:46
,,,,,100.0,83.0,0.2,100.0,81.0,4.0,,,,14:40:47
,,,,,100.0,83.0,0.2,100.0,81.0,4.0,,,,14:40:47
,,,,,100.0,82.0,0.2,100.0,81.0,4.0,,,,14:40:48
,,,,,100.0,82.0,0.2,100.0,81.0,4.0,,,,14:40:48
,,,,,100.0,81.0,0.2,100.0,80.0,4.0,,,,14:40:49
,,,,,100.0,81.0,0.2,100.0,80.0,4.0,,,,14:40:49
,,,,,100.0,81.0,0.2,100.0,80.0,4.0,,,,14:40:50
,,,,,100.0,80.0,0.2,100.0,80.0,4.0,,,,14:40:50
,,,,,100.0,80.0,0.2,100.0,79.0,4.0,,,,14:40:51
,,,,,100.0,79.0,0.2,100.0,79.0,4.0,,,,14:40:51
,,,,,100.0,79.0,0.2,100.0,79.0,4.0,,,,14:40:52
,,,,,100.0,79.0,0.2,100.0,79.0,4.0,,,,14:40:52
,,,,,100.0,79.0,0.2,99.0,78.0,4.0,,,,14:40:53
,,,,,100.0,79.0,0.2,99.0,78.0,4.0,,,,14:40:53
,,,,,100.0,79.0,0.2,99.0,78.0,4.0,,,,14:40:54
,,,,,100.0,79.0,0.2,99.0,78.0,4.0,,,,14:40:54
,,,,,100.0,79.0,0.2,99.0,77.0,4.0,,,,14:40:55
,,,,,100.0,78.0,0.2,99.0,77.0,4.0,,,,14:40:55
,,,,,100.0,78.0,0.2,99.0,77.0,4.0,,,,14:40:56
,,,,,100.0,77.0,0.2,99.0,77.0,4.0,,,,14:40:56
,,,,,100.0,77.0,0.2,99.0,75.0,4.0,,,,14:40:57
,,,,,100.0,75.0,0.2,99.0,75.0,4.0,,,,14:40:57
,,,,,100.0,75.0,0.2,99.0,75.0,4.0,,,,14:40:58
,,,,,100.0,75.0,0.2,99.0,75.0,4.0,,,,14:40:58
,,,,,100.0,75.0,0.2,99.0,75.0,4.0,,,,14:40:59
,,,,,100.0,75.0,0.2,99.0,75.0,4.0,,,,14:40:59
,,,,,100.0,75.0,0.2,99.0,75.0,4.0,,,,14:41:00
,,,,,100.0,74.0,0.2,99.0,75.0,4.0,,,,14:41:00
,,,,,100.0,74.0,0.2,99.0,75.0,4.0,,,,14:41:01
,,,,,100.0,73.0,0.2,99.0,75.0,4.0,,,,14:41:01
,,,,,100.0,73.0,0.2,99.0,75.0,4.0,,,,14:41:02
,,,,,100.0,74.0,0.2,99.0,75.0,4.0,,,,14:41:02
,,,,,100.0,74.0,0.2,100.0,76.0,4.0,,,,14:41:03
,,,,,100.0,74.0,0.2,100.0,76.0,4.0,,,,14:41:03
,,,,,100.0,74.0,0.2,100.0,76.0,4.0,,,,14:41:04
,,,,,100.0,74.0,0.2,100.0,76.0,4.0,,,,14:41:04
1.0,,,,,100.0,74.0,0.2,100.0,75.0,4.0,,,,14:41:05
1.0,,,,,100.0,74.0,0.2,100.0,75.0,4.0,,,,14:41:05
,,,,,100.0,74.0,0.2,100.0,75.0,4.0,,,,14:41:06
,,,,,100.0,74.0,0.2,100.0,75.0,4.0,,,,14:41:06
,,,,,100.0,74.0,0.2,100.0,74.0,4.0,,,,14:41:07
,,,,,100.0,75.0,0.2,100.0,74.0,4.0,,,,14:41:07
,,,,,100.0,75.0,0.2,100.0,74.0,4.0,,,,14:41:08
,,,,,100.0,76.0,0.2,100.0,74.0,4.0,,,,14:41:08
,,,,,100.0,76.0,0.2,100.0,74.0,4.0,,,,14:41:09
,,,,,100.0,76.0,0.2,100.0,74.0,4.0,,,,14:41:09
,,,,,100.0,76.0,0.2,100.0,74.0,4.0,,,,14:41:10
,,,,,100.0,76.0,0.2,100.0,74.0,4.0,,,,14:41:10
,,,,,100.0,76.0,0.2,100.0,74.0,4.0,,,,14:41:11
,,,,,100.0,75.0,0.2,100.0,74.0,4.0,,,,14:41:11
,,,,,100.0,75.0,0.2,100.0,74.0,4.0,,,,14:41:12
,,,,,100.0,74.0,0.2,100.0,74.0,4.0,,,,14:41:12
,,,,,100.0,74.0,0.2,100.0,75.0,4.0,,,,14:41:13
,,,,,100.0,74.0,0.2,100.0,75.0,4.0,,,,14:41:13
,,,,,100.0,74.0,0.2,100.0,75.0,4.0,,,,14:41:14
,,,,,100.0,74.0,0.2,100.0,75.0,4.0,,,,14:41:14
,,,,,100.0,74.0,0.2,100.0,79.0,3.0,,,,14:41:15
,,,,,100.0,74.0,0.2,100.0,79.0,3.0,,,,14:41:15
,,,,,100.0,74.0,0.2,100.0,79.0,3.0,,,,14:41:16
,,,,,100.0,74.0,0.2,100.0,79.0,3.0,,,,14:41:16
,,,,,100.0,74.0,0.2,100.0,81.0,3.0,,,,14:41:17
,,,,,100.0,77.0,0.2,100.0,81.0,3.0,,,,14:41:17
,,,,,100.0,77.0,0.2,100.0,81.0,3.0,,,,14:41:18
,,,,,100.0,79.0,0.2,100.0,81.0,3.0,,,,14:41:18
,,,,,100.0,79.0,0.2,100.0,82.0,4.0,,,,14:41:19
,,,,,100.0,82.0,0.2,100.0,82.0,4.0,,,,14:41:19
,,,,,100.0,82.0,0.2,100.0,82.0,4.0,,,,14:41:20
,,,,,100.0,82.0,0.2,100.0,82.0,4.0,,,,14:41:20
,,,,,100.0,82.0,0.2,100.0,82.0,4.0,,,,14:41:21
,,,,,100.0,82.0,0.2,100.0,82.0,4.0,,,,14:41:21
,,,,,100.0,82.0,0.2,100.0,82.0,4.0,,,,14:41:22
,,,,,100.0,82.0,0.2,100.0,82.0,4.0,,,,14:41:22
,,,,,100.0,82.0,0.2,99.0,84.0,3.0,,,,14:41:23
,,,,,100.0,82.0,0.2,99.0,84.0,3.0,,,,14:41:23
,,,,,100.0,82.0,0.2,99.0,84.0,3.0,,,,14:41:24
,,,,,100.0,83.0,0.2,99.0,84.0,3.0,,,,14:41:24
,,,,,100.0,83.0,0.2,100.0,84.0,7.0,,,,14:41:25
,,,,,100.0,88.0,0.2,100.0,84.0,7.0,,,,14:41:25
,,,,,100.0,88.0,0.2,100.0,84.0,7.0,,,,14:41:26
,,,,,100.0,88.0,0.2,100.0,84.0,7.0,,,,14:41:26
,,,,,100.0,88.0,0.2,100.0,86.0,5.0,,,,14:41:27
,36.358772,,,6.0,100.0,88.0,0.2,100.0,86.0,5.0,,,,14:41:27
,37.048134,,,5.0,100.0,88.0,0.2,100.0,86.0,5.0,,,,14:41:28
,37.048134,103.880531,97.517592,5.0,100.0,89.0,0.2,100.0,86.0,5.0,,,,14:41:28
,37.048134,103.880531,97.517592,,100.0,89.0,0.2,100.0,87.0,5.0,,,,14:41:29
,37.048134,103.187484,97.467992,,100.0,89.0,0.2,100.0,87.0,5.0,,,,14:41:29
,37.048134,103.187484,97.467992,,100.0,89.0,0.2,100.0,87.0,5.0,,,,14:41:30
,37.048134,103.187484,97.467992,6.0,100.0,89.0,0.2,100.0,87.0,5.0,,,,14:41:30
,37.048134,103.187484,97.467992,6.0,100.0,89.0,0.2,100.0,87.0,3.0,,,,14:41:31
,35.303181,103.187484,97.554418,6.0,100.0,90.0,0.2,100.0,87.0,3.0,,,,14:41:31
,35.303181,103.187484,97.554418,6.0,100.0,90.0,0.2,100.0,87.0,3.0,,,,14:41:32
,35.303181,101.685301,97.446384,8.0,100.0,89.0,0.2,100.0,87.0,3.0,,,,14:41:32
,35.303181,101.685301,97.446384,8.0,100.0,89.0,0.2,100.0,88.0,4.0,,,,14:41:33
,35.303181,101.685301,97.446384,7.0,100.0,89.0,0.2,100.0,88.0,4.0,,,,14:41:33
,35.303181,101.685301,97.446384,6.0,100.0,89.0,0.2,100.0,88.0,4.0,,,,14:41:34
,36.553894,101.685301,97.381411,7.0,99.0,90.0,0.2,100.0,88.0,4.0,,,,14:41:34
,36.553894,101.685301,97.381411,8.0,99.0,90.0,0.2,100.0,88.0,4.0,,,,14:41:35
,36.553894,98.148616,97.093522,8.0,99.0,90.0,0.2,100.0,88.0,4.0,,,,14:41:35
,36.553894,98.148616,97.093522,7.0,99.0,90.0,0.2,100.0,88.0,4.0,,,,14:41:36
,36.553894,98.148616,97.093522,7.0,99.0,90.0,0.2,100.0,89.0,4.0,,,,14:41:36
,36.553894,98.148616,97.093522,7.0,99.0,90.0,0.2,100.0,86.0,3.0,,,,14:41:37
,36.987553,98.148616,97.068559,7.0,99.0,89.0,0.2,100.0,86.0,3.0,,,,14:41:37
,36.987553,98.148616,97.068559,8.0,99.0,89.0,0.2,100.0,86.0,3.0,,,,14:41:38
,36.987553,96.1267,96.883472,8.0,99.0,88.0,0.2,100.0,86.0,3.0,,,,14:41:38
,36.987553,96.1267,96.883472,9.0,99.0,88.0,0.2,100.0,85.0,4.0,,,,14:41:39
,36.987553,96.1267,96.883472,8.0,99.0,88.0,0.2,100.0,85.0,4.0,,,,14:41:39
,37.247791,96.1267,96.867545,8.0,99.0,88.0,0.2,100.0,85.0,4.0,,,,14:41:40
,37.247791,96.1267,96.867545,8.0,100.0,88.0,0.2,100.0,85.0,4.0,,,,14:41:40
,37.247791,96.1267,96.867545,8.0,100.0,88.0,0.2,100.0,85.0,4.0,,,,14:41:41
,37.247791,94.817862,96.738817,8.0,100.0,85.0,0.2,100.0,85.0,4.0,,,,14:41:41
,37.247791,94.817862,96.738817,8.0,100.0,85.0,0.2,100.0,85.0,4.0,,,,14:41:42
,37.247791,94.817862,96.738817,8.0,100.0,84.0,0.2,100.0,85.0,4.0,,,,14:41:42
,37.247791,94.817862,96.738817,8.0,100.0,84.0,0.2,100.0,83.0,4.0,,,,14:41:43
,37.647842,94.817862,96.713349,8.0,100.0,83.0,0.2,100.0,83.0,4.0,,,,14:41:43
,37.647842,94.817862,96.713349,8.0,100.0,83.0,0.2,100.0,83.0,4.0,,,,14:41:44
,37.647842,92.895563,96.509785,8.0,100.0,81.0,0.2,100.0,83.0,4.0,,,,14:41:44
,37.647842,92.895563,96.509785,8.0,100.0,81.0,0.2,100.0,82.0,4.0,,,,14:41:45
,37.647842,92.895563,96.509785,8.0,100.0,81.0,0.2,100.0,82.0,4.0,,,,14:41:45
,37.647842,92.895563,96.509785,8.0,100.0,81.0,0.2,100.0,82.0,4.0,,,,14:41:46
,36.325382,92.895563,96.59975,8.0,100.0,82.0,0.2,100.0,82.0,4.0,,,,14:41:46
,36.325382,92.895563,96.59975,8.0,100.0,82.0,0.2,100.0,82.0,4.0,,,,14:41:47
,36.325382,93.394693,96.652698,8.0,100.0,80.0,0.2,100.0,82.0,4.0,,,,14:41:47
,36.325382,93.394693,96.652698,8.0,100.0,80.0,0.2,100.0,82.0,4.0,,,,14:41:48
,36.325382,93.394693,96.652698,8.0,100.0,80.0,0.2,100.0,82.0,4.0,,,,14:41:48
,36.325382,93.394693,96.652698,8.0,100.0,80.0,0.2,100.0,81.0,4.0,,,,14:41:49
,37.309151,93.394693,96.586767,8.0,100.0,81.0,0.2,100.0,81.0,4.0,,,,14:41:49
,37.309151,93.394693,96.586767,8.0,100.0,81.0,0.2,100.0,81.0,4.0,,,,14:41:50
,37.309151,91.59673,96.386784,8.0,100.0,81.0,0.2,100.0,81.0,4.0,,,,14:41:50
,37.309151,91.59673,96.386784,8.0,100.0,81.0,0.2,100.0,81.0,4.0,,,,14:41:51
,37.309151,91.59673,96.386784,8.0,100.0,81.0,0.2,100.0,81.0,4.0,,,,14:41:51
,36.074673,91.59673,96.474654,8.0,100.0,81.0,0.2,100.0,81.0,4.0,,,,14:41:52
,36.074673,91.59673,96.474654,8.0,100.0,82.0,0.2,100.0,81.0,4.0,,,,14:41:52
,36.074673,91.500091,96.463759,8.0,100.0,82.0,0.2,100.0,81.0,5.0,,,,14:41:53
,36.074673,91.500091,96.463759,8.0,100.0,81.0,0.2,100.0,81.0,5.0,,,,14:41:53
,36.074673,91.500091,96.463759,8.0,100.0,81.0,0.2,100.0,81.0,5.0,,,,14:41:54
,36.074673,91.500091,96.463759,9.0,100.0,81.0,0.2,100.0,81.0,5.0,,,,14:41:54
,36.074673,91.500091,96.463759,8.0,100.0,81.0,0.2,100.0,81.0,4.0,,,,14:41:55
,37.999454,91.500091,96.326699,8.0,100.0,81.0,0.2,100.0,81.0,4.0,,,,14:41:55
,37.999454,91.500091,96.326699,8.0,100.0,81.0,0.2,100.0,81.0,4.0,,,,14:41:56
,37.999454,87.925617,95.873249,8.0,100.0,81.0,0.2,100.0,81.0,4.0,,,,14:41:56
,37.999454,87.925617,95.873249,8.0,100.0,81.0,0.2,100.0,80.0,4.0,,,,14:41:57
,37.999454,87.925617,95.873249,8.0,100.0,81.0,0.2,100.0,80.0,4.0,,,,14:41:57
,37.999454,87.925617,95.873249,8.0,100.0,81.0,0.2,100.0,80.0,4.0,,,,14:41:58
,36.903702,87.925617,95.960959,8.0,100.0,81.0,0.2,100.0,80.0,4.0,,,,14:41:58
,36.903702,87.925617,95.960959,8.0,100.0,81.0,0.2,99.0,81.0,4.0,,,,14:41:59
,36.903702,87.915097,95.959551,8.0,100.0,80.0,0.2,99.0,81.0,4.0,,,,14:41:59
,36.903702,87.915097,95.959551,8.0,100.0,80.0,0.2,99.0,81.0,4.0,,,,14:42:00
,36.903702,87.915097,95.959551,8.0,100.0,80.0,0.2,99.0,81.0,4.0,,,,14:42:00
,36.903702,87.915097,95.959551,8.0,100.0,80.0,0.2,99.0,81.0,4.0,,,,14:42:01
,36.903702,87.915097,95.959551,8.0,100.0,80.0,0.2,99.0,81.0,4.0,,,,14:42:01
,36.903702,87.915097,95.959551,8.0,100.0,80.0,0.2,99.0,81.0,4.0,,,,14:42:02
,36.903702,87.915097,95.959551,8.0,100.0,80.0,0.2,99.0,81.0,4.0,,,,14:42:02
,36.903702,87.915097,95.959551,8.0,100.0,80.0,0.2,99.0,79.0,5.0,,,,14:42:03
,36.903702,87.915097,95.959551,7.0,100.0,79.0,0.2,99.0,79.0,5.0,,,,14:42:03
,36.903702,87.915097,95.959551,7.0,100.0,79.0,0.2,99.0,79.0,5.0,,,,14:42:04
,36.903702,87.915097,95.959551,7.0,100.0,80.0,0.2,99.0,79.0,5.0,,,,14:42:04
,36.903702,87.915097,95.959551,7.0,100.0,80.0,0.2,99.0,79.0,4.0,,,,14:42:05
,40.13192,87.915097,95.70324,5.0,100.0,79.0,0.2,99.0,79.0,4.0,,,,14:42:05
,40.13192,87.915097,95.70324,5.0,100.0,79.0,0.2,99.0,79.0,4.0,,,,14:42:06
,40.13192,81.827698,94.707958,5.0,100.0,79.0,0.3,99.0,79.0,4.0,,,,14:42:06
,40.13192,81.827698,94.707958,5.0,100.0,79.0,0.3,100.0,80.0,4.0,,,,14:42:07
,40.13192,81.827698,94.707958,6.0,100.0,79.0,0.3,100.0,80.0,4.0,,,,14:42:07
,40.13192,81.827698,94.707958,6.0,100.0,79.0,0.3,100.0,80.0,4.0,,,,14:42:08
,40.13192,81.827698,94.707958,6.0,100.0,79.0,0.3,100.0,80.0,4.0,,,,14:42:08
,40.13192,81.827698,94.707958,7.0,100.0,79.0,0.3,100.0,82.0,4.0,,,,14:42:09
,40.13192,81.827698,94.707958,3.0,100.0,80.0,0.3,100.0,82.0,4.0,,,,14:42:09
,40.13192,81.827698,94.707958,6.0,100.0,80.0,0.3,100.0,82.0,4.0,,,,14:42:10
,40.13192,81.827698,94.707958,5.0,100.0,80.0,0.3,100.0,82.0,4.0,,,,14:42:10
,40.13192,81.827698,94.707958,6.0,100.0,80.0,0.3,100.0,83.0,4.0,,,,14:42:11
,40.13192,81.827698,94.707958,5.0,100.0,80.0,0.3,100.0,83.0,4.0,,,,14:42:11
,38.626759,81.827698,94.854809,5.0,100.0,80.0,0.3,100.0,83.0,4.0,,,,14:42:12
,40.13192,81.827698,94.707958,,100.0,83.0,0.3,100.0,83.0,4.0,,,,14:42:12
,38.626759,82.307199,94.940906,4.0,100.0,83.0,0.3,100.0,83.0,5.0,,,,14:42:13
,38.626759,82.307199,94.940906,4.0,100.0,83.0,0.3,100.0,83.0,5.0,,,,14:42:13
,38.626759,82.307199,94.940906,4.0,100.0,83.0,0.3,100.0,83.0,5.0,,,,14:42:14
,38.626759,82.307199,94.940906,4.0,100.0,83.0,0.3,100.0,83.0,5.0,,,,14:42:14
,38.626759,82.307199,94.940906,4.0,100.0,83.0,0.3,100.0,83.0,5.0,,,,14:42:15
,38.626759,82.307199,94.940906,4.0,100.0,83.0,0.3,100.0,83.0,5.0,,,,14:42:15
,38.626759,82.307199,94.940906,4.0,100.0,83.0,0.3,100.0,83.0,5.0,,,,14:42:16
,35.031796,82.307199,95.292971,4.0,100.0,84.0,0.3,100.0,83.0,5.0,,,,14:42:16
,35.031796,82.307199,95.292971,4.0,100.0,84.0,0.3,100.0,83.0,6.0,,,,14:42:17
,35.031796,87.144033,96.010416,4.0,100.0,85.0,0.3,100.0,83.0,6.0,,,,14:42:17
,35.031796,87.144033,96.010416,7.0,100.0,85.0,0.3,100.0,83.0,6.0,,,,14:42:18
,35.031796,87.144033,96.010416,7.0,100.0,85.0,0.3,100.0,83.0,6.0,,,,14:42:18
,35.031796,87.144033,96.010416,9.0,100.0,85.0,0.3,100.0,83.0,5.0,,,,14:42:19
,35.031796,87.144033,96.010416,9.0,100.0,85.0,0.3,100.0,83.0,5.0,,,,14:42:19
,35.818214,87.144033,95.944657,8.0,100.0,85.0,0.3,100.0,83.0,5.0,,,,14:42:20
,35.818214,86.226945,95.818059,6.0,100.0,85.0,0.3,100.0,83.0,5.0,,,,14:42:20
,35.818214,86.226945,95.818059,6.0,100.0,85.0,0.3,100.0,83.0,5.0,,,,14:42:21
,35.818214,86.226945,95.818059,7.0,100.0,83.0,0.3,100.0,83.0,5.0,,,,14:42:21
,35.818214,86.226945,95.818059,6.0,100.0,83.0,0.3,100.0,83.0,5.0,,,,14:42:22
,35.517666,86.226945,95.843946,7.0,100.0,83.0,0.3,100.0,83.0,5.0,,,,14:42:22
,35.517666,86.226945,95.843946,7.0,100.0,83.0,0.3,100.0,82.0,4.0,,,,14:42:23
,35.517666,87.374091,96.00051,7.0,100.0,82.0,0.3,100.0,82.0,4.0,,,,14:42:23
,35.517666,87.374091,96.00051,7.0,100.0,82.0,0.3,100.0,82.0,4.0,,,,14:42:24
,35.517666,87.374091,96.00051,7.0,100.0,82.0,0.3,100.0,82.0,4.0,,,,14:42:24
,35.517666,87.374091,96.00051,7.0,100.0,82.0,0.3,100.0,82.0,4.0,,,,14:42:25
,35.929077,87.374091,95.966466,7.0,100.0,82.0,0.3,100.0,82.0,4.0,,,,14:42:25
,35.929077,87.374091,95.966466,7.0,100.0,82.0,0.3,100.0,82.0,4.0,,,,14:42:26
,35.929077,86.349665,95.825804,8.0,100.0,81.0,0.3,100.0,81.0,4.0,,,,14:42:26
,35.929077,86.349665,95.825804,8.0,100.0,81.0,0.3,100.0,80.0,4.0,,,,14:42:27
,35.929077,86.349665,95.825804,8.0,100.0,81.0,0.3,100.0,80.0,4.0,,,,14:42:27
,35.929077,86.349665,95.825804,8.0,100.0,81.0,0.3,100.0,80.0,4.0,,,,14:42:28
,35.541885,86.349665,95.858993,8.0,100.0,79.0,0.3,100.0,80.0,4.0,,,,14:42:28
,35.541885,86.349665,95.858993,8.0,100.0,79.0,0.3,100.0,79.0,4.0,,,,14:42:29
,35.541885,86.871026,95.930773,8.0,100.0,79.0,0.3,100.0,79.0,4.0,,,,14:42:29
,35.541885,86.871026,95.930773,8.0,100.0,79.0,0.3,100.0,79.0,4.0,,,,14:42:30
,35.541885,86.871026,95.930773,8.0,100.0,79.0,0.3,100.0,79.0,4.0,,,,14:42:30
,35.541885,86.871026,95.930773,8.0,100.0,79.0,0.3,100.0,79.0,4.0,,,,14:42:31
,35.593323,86.871026,95.926436,8.0,100.0,79.0,0.3,100.0,79.0,4.0,,,,14:42:31
,35.593323,86.871026,95.926436,8.0,100.0,79.0,0.3,100.0,79.0,4.0,,,,14:42:32
,35.593323,86.573294,95.885601,8.0,100.0,79.0,0.3,100.0,79.0,4.0,,,,14:42:32
,35.593323,86.573294,95.885601,8.0,100.0,79.0,0.3,100.0,77.0,4.0,,,,14:42:33
,35.593323,86.573294,95.885601,8.0,100.0,80.0,0.3,100.0,77.0,4.0,,,,14:42:33
,35.593323,86.573294,95.885601,8.0,100.0,80.0,0.3,100.0,77.0,4.0,,,,14:42:34
,35.780697,86.573294,95.869657,8.0,100.0,78.0,0.3,100.0,77.0,4.0,,,,14:42:34
,35.780697,86.573294,95.869657,8.0,100.0,78.0,0.3,100.0,77.0,5.0,,,,14:42:35
,35.780697,86.844795,95.907065,8.0,100.0,78.0,0.3,100.0,77.0,5.0,,,,14:42:35
,35.780697,86.844795,95.907065,8.0,100.0,78.0,0.3,100.0,77.0,5.0,,,,14:42:36
,35.780697,86.844795,95.907065,8.0,100.0,78.0,0.3,100.0,77.0,5.0,,,,14:42:36
,35.780697,86.844795,95.907065,8.0,100.0,78.0,0.3,100.0,78.0,5.0,,,,14:42:37
,36.250343,86.844795,95.867585,8.0,100.0,78.0,0.3,100.0,78.0,5.0,,,,14:42:37
,36.250343,86.844795,95.867585,8.0,100.0,78.0,0.3,100.0,78.0,5.0,,,,14:42:38
,36.250343,86.924988,95.878658,8.0,100.0,78.0,0.3,100.0,78.0,5.0,,,,14:42:38
,36.250343,86.924988,95.878658,8.0,100.0,78.0,0.3,100.0,77.0,5.0,,,,14:42:39
,36.250343,86.924988,95.878658,8.0,100.0,78.0,0.3,100.0,77.0,5.0,,,,14:42:39
,36.250343,86.924988,95.878658,8.0,100.0,78.0,0.3,100.0,77.0,5.0,,,,14:42:40
,36.40078,86.924988,95.86608,8.0,100.0,78.0,0.3,100.0,77.0,5.0,,,,14:42:40
,36.40078,86.924988,95.86608,8.0,100.0,78.0,0.3,100.0,77.0,5.0,,,,14:42:41
,36.40078,85.956466,95.729278,8.0,100.0,78.0,0.3,100.0,77.0,5.0,,,,14:42:41
,36.40078,85.956466,95.729278,8.0,100.0,78.0,0.3,100.0,77.0,5.0,,,,14:42:42
,36.40078,85.956466,95.729278,8.0,100.0,78.0,0.3,100.0,77.0,5.0,,,,14:42:42
,36.42078,85.956466,95.72755,8.0,100.0,78.0,0.3,99.0,77.0,6.0,,,,14:42:43
,36.42078,85.956466,95.72755,8.0,100.0,78.0,0.3,99.0,77.0,6.0,,,,14:42:43
,36.42078,85.581055,95.672917,8.0,100.0,78.0,0.3,99.0,77.0,6.0,,,,14:42:44
,36.42078,85.581055,95.672917,8.0,100.0,78.0,0.3,99.0,77.0,6.0,,,,14:42:44
,36.42078,85.581055,95.672917,8.0,100.0,78.0,0.3,99.0,77.0,6.0,,,,14:42:45
,36.42078,85.581055,95.672917,9.0,100.0,77.0,0.3,99.0,77.0,6.0,,,,14:42:45
,36.42078,85.581055,95.672917,9.0,100.0,77.0,0.3,99.0,77.0,6.0,,,,14:42:46
,35.766018,85.581055,95.730386,8.0,100.0,77.0,0.3,99.0,77.0,6.0,,,,14:42:46
,35.766018,85.581055,95.730386,8.0,100.0,77.0,0.3,99.0,77.0,6.0,,,,14:42:47
,35.766018,86.104508,95.80528,8.0,100.0,77.0,0.3,99.0,77.0,6.0,,,,14:42:47
,35.766018,86.104508,95.80528,8.0,100.0,77.0,0.3,99.0,77.0,6.0,,,,14:42:48
,35.766018,86.104508,95.80528,8.0,100.0,78.0,0.3,99.0,77.0,6.0,,,,14:42:48
,35.766018,86.104508,95.80528,8.0,100.0,78.0,0.3,99.0,78.0,7.0,,,,14:42:49
,36.452511,86.104508,95.74612,8.0,100.0,78.0,0.3,99.0,78.0,7.0,,,,14:42:49
,36.452511,86.104508,95.74612,8.0,100.0,78.0,0.3,99.0,78.0,7.0,,,,14:42:50
,36.452511,85.741493,95.693614,8.0,100.0,78.0,0.3,99.0,78.0,7.0,,,,14:42:50
,36.452511,85.741493,95.693614,8.0,100.0,78.0,0.3,99.0,76.0,7.0,,,,14:42:51
,36.452511,85.741493,95.693614,8.0,100.0,78.0,0.3,99.0,76.0,7.0,,,,14:42:51
,36.452511,85.741493,95.693614,8.0,100.0,78.0,0.3,99.0,76.0,7.0,,,,14:42:52
,36.058681,85.741493,95.727941,8.0,100.0,78.0,0.3,99.0,76.0,7.0,,,,14:42:52
,36.058681,85.741493,95.727941,8.0,100.0,78.0,0.3,99.0,75.0,7.0,,,,14:42:53
,36.058681,86.849939,95.884386,8.0,100.0,78.0,0.3,99.0,75.0,7.0,,,,14:42:53
,36.058681,86.849939,95.884386,8.0,100.0,78.0,0.3,99.0,75.0,7.0,,,,14:42:54
,36.058681,86.849939,95.884386,8.0,100.0,77.0,0.3,99.0,75.0,7.0,,,,14:42:54
,36.058681,86.849939,95.884386,8.0,100.0,77.0,0.3,99.0,75.0,6.0,,,,14:42:55
,35.377151,86.849939,95.941812,8.0,100.0,77.0,0.3,99.0,75.0,6.0,,,,14:42:55
,35.377151,86.849939,95.941812,8.0,100.0,77.0,0.3,99.0,75.0,6.0,,,,14:42:56
,35.377151,87.010814,95.963576,8.0,100.0,77.0,0.3,99.0,75.0,6.0,,,,14:42:56
,35.377151,87.010814,95.963576,8.0,100.0,77.0,0.3,99.0,75.0,6.0,,,,14:42:57
,35.377151,87.010814,95.963576,8.0,100.0,76.0,0.3,99.0,75.0,6.0,,,,14:42:57
,35.377151,87.010814,95.963576,8.0,100.0,76.0,0.3,99.0,75.0,6.0,,,,14:42:58
,35.317791,87.010814,95.968566,8.0,100.0,76.0,0.3,99.0,75.0,6.0,,,,14:42:58
,35.317791,87.010814,95.968566,8.0,100.0,76.0,0.3,99.0,76.0,5.0,,,,14:42:59
,35.317791,87.13136,95.984753,8.0,100.0,76.0,0.3,99.0,76.0,5.0,,,,14:42:59
