Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,dev64_SpO2,dev64_HR,dev64_PI,Timestamp
,,,,,,,,,,28.0,,,,14:25:31
,,,,,,,,,,28.0,,,,14:25:31
,,,,,,,,,,28.0,,,,14:25:32
,,,,,,,,,,28.0,,,,14:25:32
,,,,,,,,94.0,,49.0,,,,14:25:33
,,,,,,,,94.0,,49.0,,,,14:25:33
,,,,,,,,94.0,,49.0,,,,14:25:34
,,,,,,,,94.0,,49.0,,,,14:25:34
,,,,,,,,91.0,,25.0,,,,14:25:35
,,,,,,,,91.0,,25.0,,,,14:25:35
,,,,,,,,91.0,,25.0,,,,14:25:36
,,,,,,,,91.0,,25.0,,,,14:25:36
,,,,,,,,85.0,,99.0,,,,14:25:37
,,,,,,,,85.0,,99.0,,,,14:25:37
,,,,,,,,85.0,,99.0,,,,14:25:38
,,,,,,,,85.0,,99.0,,,,14:25:38
,,,,,,,,80.0,,70.0,,,,14:25:39
,,,,,,,,80.0,,70.0,,,,14:25:39
,,,,,,,,80.0,,70.0,,,,14:25:40
,,,,,,,,80.0,,70.0,,,,14:25:40
,,,,,81.0,,20.0,83.0,,61.0,,,,14:25:41
,,,,,81.0,,20.0,83.0,,61.0,,,,14:25:41
,,,,,81.0,,20.0,83.0,,61.0,,,,14:25:42
,,,,,81.0,,20.0,83.0,,61.0,,,,14:25:42
,,,,,81.0,,20.0,87.0,71.0,13.0,,,,14:25:43
,,,,,81.0,,20.0,87.0,71.0,13.0,,,,14:25:43
,,,,,81.0,,20.0,87.0,71.0,13.0,,,,14:25:44
,,,,,81.0,,20.0,87.0,71.0,13.0,,,,14:25:44
,,,,,81.0,,20.0,92.0,76.0,9.0,,,,14:25:45
,,,,,81.0,,20.0,92.0,76.0,9.0,,,,14:25:45
,,,,,81.0,,0.3,92.0,76.0,9.0,,,,14:25:46
,,,,,81.0,,0.3,92.0,76.0,9.0,,,,14:25:46
,,,,,81.0,76.0,0.4,93.0,76.0,11.0,,,,14:25:47
,,,,,81.0,76.0,0.4,93.0,76.0,11.0,,,,14:25:47
,,,,,82.0,78.0,0.4,93.0,76.0,11.0,,,,14:25:48
,,,,,82.0,78.0,0.4,93.0,76.0,11.0,,,,14:25:48
,,,,,82.0,78.0,0.5,97.0,76.0,48.0,,,,14:25:49
,,,,,82.0,78.0,0.5,97.0,76.0,48.0,,,,14:25:49
,,,,,82.0,78.0,0.5,97.0,76.0,48.0,,,,14:25:50
,,,,,82.0,78.0,0.5,97.0,76.0,48.0,,,,14:25:50
,,,,,82.0,78.0,0.4,97.0,76.0,51.0,,,,14:25:51
,,,,,82.0,78.0,0.4,97.0,76.0,51.0,,,,14:25:51
,,,,,82.0,78.0,0.4,97.0,76.0,51.0,,,,14:25:52
,,,,,82.0,78.0,0.4,97.0,76.0,51.0,,,,14:25:52
,,,,,86.0,77.0,0.6,97.0,76.0,42.0,,,,14:25:53
,,,,,86.0,77.0,0.6,97.0,76.0,42.0,,,,14:25:53
,,,,,88.0,75.0,0.6,97.0,76.0,42.0,,,,14:25:54
,,,,,88.0,75.0,0.6,97.0,76.0,42.0,,,,14:25:54
,,,,,88.0,77.0,0.6,97.0,78.0,53.0,,,,14:25:55
,,,,,88.0,77.0,0.6,97.0,78.0,53.0,,,,14:25:55
,,,,,88.0,77.0,0.6,97.0,78.0,53.0,,,,14:25:56
,,,,,88.0,77.0,0.6,97.0,78.0,53.0,,,,14:25:56
,,,,,88.0,77.0,0.6,97.0,78.0,61.0,,,,14:25:57
,,,,,88.0,77.0,0.6,97.0,78.0,61.0,,,,14:25:57
,,,,,88.0,76.0,0.6,97.0,78.0,61.0,,,,14:25:58
,,,,,88.0,76.0,0.6,97.0,78.0,61.0,,,,14:25:58
,,,,,88.0,79.0,0.6,97.0,79.0,58.0,,,,14:25:59
,,,,,88.0,79.0,0.6,97.0,79.0,58.0,,,,14:25:59
,,,,,89.0,79.0,0.5,97.0,79.0,58.0,,,,14:26:00
,,,,,89.0,79.0,0.5,97.0,79.0,58.0,,,,14:26:00
,,,,,89.0,79.0,0.6,97.0,76.0,15.0,,,,14:26:01
,,,,,89.0,79.0,0.6,97.0,76.0,15.0,,,,14:26:01
,,,,,91.0,79.0,0.6,97.0,76.0,15.0,,,,14:26:02
,,,,,91.0,79.0,0.6,97.0,76.0,15.0,,,,14:26:02
,,,,,92.0,77.0,0.6,97.0,74.0,13.0,,,,14:26:03
,,,,,92.0,77.0,0.6,97.0,74.0,13.0,,,,14:26:03
,,,,,93.0,75.0,0.6,97.0,74.0,13.0,,,,14:26:04
,,,,,93.0,75.0,0.6,97.0,74.0,13.0,,,,14:26:04
,,,,,93.0,73.0,0.6,99.0,74.0,12.0,,,,14:26:05
,,,,,93.0,73.0,0.6,99.0,74.0,12.0,,,,14:26:05
,,,,,94.0,73.0,0.6,99.0,74.0,12.0,,,,14:26:06
,,,,,94.0,73.0,0.6,99.0,74.0,12.0,,,,14:26:06
,,,,,94.0,73.0,0.6,99.0,72.0,12.0,,,,14:26:07
,,,,,94.0,73.0,0.6,99.0,72.0,12.0,,,,14:26:07
,,,,,94.0,73.0,0.6,99.0,72.0,12.0,,,,14:26:08
,,,,,94.0,73.0,0.6,99.0,72.0,12.0,,,,14:26:08
,,,,,100.0,69.0,0.6,99.0,72.0,13.0,,,,14:26:09
,,,,,100.0,69.0,0.6,99.0,72.0,13.0,,,,14:26:09
,,,,,100.0,68.0,0.5,99.0,72.0,13.0,,,,14:26:10
,,,,,100.0,68.0,0.5,99.0,72.0,13.0,,,,14:26:10
,,,,,100.0,68.0,0.5,99.0,72.0,13.0,,,,14:26:11
,,,,,100.0,68.0,0.5,99.0,72.0,13.0,,,,14:26:11
,,,,,100.0,68.0,0.5,99.0,72.0,13.0,,,,14:26:12
,,,,,100.0,68.0,0.5,99.0,71.0,13.0,,,,14:26:12
,,,,,100.0,68.0,0.5,99.0,69.0,14.0,,,,14:26:13
,,,,,100.0,68.0,0.5,99.0,69.0,14.0,,,,14:26:13
,,,,,100.0,67.0,0.5,99.0,69.0,14.0,,,,14:26:14
,,,,,100.0,67.0,0.5,99.0,69.0,14.0,,,,14:26:14
,,,,,100.0,67.0,0.5,100.0,71.0,12.0,,,,14:26:15
,,,,,100.0,67.0,0.5,100.0,71.0,12.0,,,,14:26:15
,,,,,100.0,68.0,0.5,100.0,71.0,12.0,,,,14:26:16
,,,,,100.0,68.0,0.5,100.0,71.0,12.0,,,,14:26:16
,,,,,100.0,69.0,0.5,100.0,70.0,11.0,,,,14:26:17
,,,,,100.0,69.0,0.5,100.0,70.0,11.0,,,,14:26:17
,,,,,100.0,69.0,0.5,100.0,70.0,11.0,,,,14:26:18
,,,,,100.0,69.0,0.5,100.0,70.0,11.0,,,,14:26:18
