Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,Timestamp
,,,,,87.0,,0.5,,,,14:21:35
,,,,,87.0,,0.5,,,,14:21:36
,,,,,87.0,,0.5,,,,14:21:36
,,,,,87.0,,0.5,,,,14:21:37
,,,,,87.0,,0.6,,,,14:21:37
,,,,,87.0,,0.6,,,,14:21:38
,,,,,87.0,,0.6,,,,14:21:38
,,,,,87.0,,0.6,,,,14:21:39
,,,,,87.0,,0.7,,,,14:21:39
,,,,,87.0,,0.7,,,,14:21:40
,,,,,87.0,67.0,0.7,,,,14:21:40
,,,,,87.0,67.0,0.7,,,,14:21:41
,,,,,87.0,67.0,0.6,,,,14:21:41
,,,,,87.0,67.0,0.6,,,,14:21:42
,,,,,87.0,68.0,0.6,,,,14:21:42
,,,,,87.0,68.0,0.6,,,,14:21:43
,,,,,90.0,67.0,0.7,,,,14:21:43
,,,,,90.0,67.0,0.7,,,,14:21:44
,,,,,95.0,67.0,0.6,,,,14:21:44
,,,,,95.0,67.0,0.6,,,,14:21:45
,,,,,98.0,67.0,0.6,,,,14:21:45
,,,,,98.0,67.0,0.6,,,,14:21:46
,,,,,98.0,64.0,0.6,,,,14:21:46
,,,,,98.0,64.0,0.6,,,,14:21:47
,,,,,98.0,64.0,0.6,,,,14:21:47
,,,,,98.0,64.0,0.6,,,,14:21:48
,,,,,98.0,61.0,0.6,,,,14:21:48
,,,,,98.0,61.0,0.6,,,,14:21:49
,,,,,99.0,60.0,0.6,,,,14:21:49
,,,,,99.0,60.0,0.6,,,,14:21:50
,,,,,99.0,60.0,0.6,,,,14:21:50
,,,,,99.0,60.0,0.6,,,,14:21:51
,,,,,100.0,59.0,0.6,,,,14:21:51
,,,,,100.0,59.0,0.6,,,,14:21:52
,,,,,100.0,58.0,0.6,,,,14:21:52
,,,,,100.0,58.0,0.6,,,,14:21:53
,,,,,100.0,58.0,0.6,,,,14:21:53
,,,,,100.0,58.0,0.6,,,,14:21:54
,,,,,100.0,57.0,0.7,,,,14:21:54
,,,,,100.0,57.0,0.7,,,,14:21:55
,,,,,100.0,57.0,0.7,,,,14:21:55
,,,,,100.0,57.0,0.7,,,,14:21:56
,,,,,100.0,57.0,0.7,,,,14:21:56
,,,,,100.0,57.0,0.7,,,,14:21:57
,,,,,100.0,57.0,0.7,,,,14:21:57
,,,,,100.0,57.0,0.7,,,,14:21:58
,,,,,100.0,57.0,0.7,,,,14:21:58
,,,,,100.0,57.0,0.7,,,,14:21:59
,,,,,100.0,57.0,0.7,,,,14:21:59
,,,,,100.0,57.0,0.7,,,,14:22:00
,,,,,99.0,57.0,0.7,,,,14:22:00
,,,,,99.0,57.0,0.7,,,79.0,14:22:01
,,,,,99.0,58.0,0.7,,,79.0,14:22:01
,,,,,99.0,58.0,0.7,,,79.0,14:22:02
,,,,,99.0,57.0,0.7,,,79.0,14:22:02
,,,,,99.0,57.0,0.7,,,1.0,14:22:03
,,,,,99.0,57.0,0.7,,,1.0,14:22:03
,,,,,99.0,57.0,0.7,,,1.0,14:22:04
,,,,,99.0,57.0,0.7,,,1.0,14:22:04
,,,,,99.0,57.0,0.7,,,1.0,14:22:05
,,,,,99.0,56.0,0.7,,,1.0,14:22:05
,,,,,99.0,56.0,0.7,,,1.0,14:22:06
,,,,,99.0,55.0,0.7,,,255.0,14:22:06
,,,,,99.0,55.0,0.7,,,255.0,14:22:07
,,,,,99.0,55.0,0.7,,,255.0,14:22:07
,,,,,99.0,55.0,0.7,,,255.0,14:22:08
,,,,,99.0,55.0,0.7,,,255.0,14:22:08
,,,,,99.0,55.0,0.7,,,69.0,14:22:09
,,,,,99.0,55.0,0.7,,,69.0,14:22:09
,,,,,99.0,55.0,0.7,,,69.0,14:22:10
,,,,,99.0,55.0,0.7,,,69.0,14:22:10
,,,,,99.0,55.0,0.7,,,21.0,14:22:11
,,,,,99.0,56.0,0.7,,,21.0,14:22:11
,,,,,99.0,56.0,0.7,,,21.0,14:22:12
,,,,,99.0,56.0,0.7,,,21.0,14:22:12
,,,,,99.0,56.0,0.7,,,8.0,14:22:13
,,,,,99.0,56.0,0.7,,,8.0,14:22:13
,,,,,99.0,56.0,0.7,,,8.0,14:22:14
,,,,,99.0,55.0,0.7,,,8.0,14:22:14
,,,,,99.0,55.0,0.7,99.0,52.0,8.0,14:22:15
,,,,,99.0,55.0,0.7,99.0,52.0,8.0,14:22:15
,,,,,99.0,55.0,0.7,99.0,52.0,8.0,14:22:16
,,,,,99.0,55.0,0.7,99.0,52.0,8.0,14:22:16
,,,,,99.0,55.0,0.7,99.0,55.0,8.0,14:22:17
,,,,,99.0,55.0,0.7,99.0,55.0,8.0,14:22:17
