Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,dev64_SpO2,dev64_HR,dev64_PI,Timestamp
,,,,5368709120.0,,,,,,,,,,14:12:31
,,,,5368709120.0,,,,,,,,,,14:12:44
,,,,147.5,,,,,,,,,,14:12:52
,,,,145.0,,,,,,,,,,14:13:24
,,,,5368709120.0,,,,,,,,,,14:15:17
,,,,5368709120.0,,,,,,,,,,14:15:18
,,,,5368709120.0,,,,,,,,,,14:15:53
,,,,5368709120.0,,,,,,,,,,14:16:11
,,,,,,,,,,39.0,,,,14:16:38
,,,,,,,,,,39.0,,,,14:16:38
,,,,,,,,,,39.0,,,,14:16:39
,,,,,,,,,,39.0,,,,14:16:39
,,,,,,,,,,3.0,,,,14:16:40
,,,,,,,,,,3.0,,,,14:16:40
,,,,,,,,,,3.0,,,,14:16:41
,,,,,,,,,,3.0,,,,14:16:41
,,,,,,,,,,255.0,,,,14:16:42
,,,,,,,,,,255.0,,,,14:16:42
,,,,,,,,,,255.0,,,,14:16:43
,,,,,,,,,,255.0,,,,14:16:43
,,,,,,,,96.0,190.0,39.0,,,,14:16:44
,,,,,,,,96.0,190.0,39.0,,,,14:16:44
,,,,,,,,96.0,190.0,39.0,,,,14:16:45
,,,,,,,,96.0,190.0,39.0,,,,14:16:45
,,,,,,,,95.0,161.0,53.0,,,,14:16:46
,,,,,,,,95.0,161.0,53.0,,,,14:16:46
,,,,,,,,95.0,161.0,53.0,,,,14:16:47
,,,,,,,,95.0,161.0,53.0,,,,14:16:47
,,,,,,,,96.0,135.0,34.0,,,,14:16:48
,,,,,,,,96.0,135.0,34.0,,,,14:16:48
,,,,,,,,96.0,135.0,34.0,,,,14:16:49
,,,,5368709120.0,,,,96.0,135.0,34.0,,,,14:16:49
,,,,,,,,96.0,127.0,33.0,,,,14:16:50
,,,,,,,,96.0,127.0,33.0,,,,14:16:50
