Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,dev64_SpO2,dev64_HR,dev64_PI,Timestamp
,,,,,,,,100.0,73.0,6.0,,,,13:30:08
,,,,,,,,100.0,73.0,6.0,,,,13:30:08
,,,,,,,,100.0,73.0,6.0,,,,13:30:09
,,,,,,,,100.0,73.0,6.0,,,,13:30:09
,,,,,,,,100.0,75.0,6.0,,,,13:30:10
,,,,,,,,100.0,75.0,6.0,,,,13:30:10
,,,,,,,,100.0,75.0,6.0,,,,13:30:11
,,,,,,,,100.0,75.0,6.0,,,,13:30:11
,,,,,,,,100.0,73.0,6.0,,,,13:30:12
,,,,,,,,100.0,73.0,6.0,,,,13:30:12
,,,,,,,,100.0,73.0,6.0,,,,13:30:13
,,,,,100.0,75.0,0.7,100.0,73.0,6.0,,,,13:30:13
,,,,,100.0,75.0,0.7,100.0,74.0,6.0,,,,13:30:14
,,,,,100.0,74.0,0.6,100.0,74.0,6.0,,,,13:30:14
,,,,,100.0,74.0,0.6,100.0,74.0,6.0,,,,13:30:15
,,,,,100.0,74.0,0.6,100.0,74.0,6.0,,,,13:30:16
,,,,,100.0,74.0,0.6,100.0,75.0,6.0,,,,13:30:16
,,,,,100.0,76.0,0.6,100.0,75.0,6.0,,,,13:30:16
,,,,,100.0,76.0,0.6,100.0,75.0,6.0,,,,13:30:17
,,,,,100.0,76.0,0.6,100.0,75.0,6.0,,,,13:30:18
,,,,,100.0,76.0,0.6,100.0,75.0,6.0,,,,13:30:18
,,,,,100.0,75.0,0.6,100.0,75.0,6.0,,,,13:30:18
,,,,,100.0,75.0,0.6,100.0,75.0,6.0,,,,13:30:19
,,,,,100.0,75.0,0.6,100.0,75.0,6.0,,,,13:30:20
,,,,,100.0,75.0,0.6,100.0,75.0,6.0,,,,13:30:20
,,,,,100.0,75.0,0.6,100.0,75.0,6.0,,,,13:30:20
