Sample,ETCO2,ETO2,ScalcO2,RR,dev60_SpO2,dev60_HR,dev60_PI,dev59_SpO2,dev59_HR,dev59_PI,Timestamp
,,,,,,,,99.0,56.0,12.0,11:55:51
,,,,,95.0,53.0,0.6,99.0,55.0,15.0,11:55:52
,,,,,95.0,53.0,0.6,99.0,55.0,15.0,11:55:53
,,,,,96.0,54.0,0.6,99.0,56.0,14.0,11:55:53
,,,,,96.0,54.0,0.6,99.0,56.0,14.0,11:55:54
,,,,,96.0,54.0,0.6,99.0,56.0,14.0,11:55:54
,,,,,96.0,52.0,0.6,99.0,56.0,14.0,11:55:55
,,,,,96.0,52.0,0.6,99.0,56.0,13.0,11:55:55
,113.210052,127.73676,97.662121,,96.0,52.0,0.6,99.0,56.0,13.0,11:55:56
,113.211517,127.73676,97.6621,,96.0,52.0,0.6,99.0,56.0,13.0,11:55:56
,113.208641,127.73676,97.662141,,96.0,52.0,0.6,99.0,56.0,13.0,11:55:57
,113.213776,127.73676,97.662068,,96.0,52.0,0.6,99.0,57.0,10.0,11:55:57
,113.209038,127.73676,97.662135,,96.0,52.0,0.6,99.0,57.0,10.0,11:55:58
,113.211426,127.73676,97.662101,,96.0,52.0,0.6,99.0,57.0,10.0,11:55:58
,,127.73676,100.0,,96.0,52.0,0.6,99.0,57.0,10.0,11:55:59
,,127.73676,100.0,,96.0,52.0,0.6,99.0,57.0,9.0,11:55:59
,,127.73676,100.0,,95.0,52.0,0.6,99.0,57.0,9.0,11:55:59
,,127.73676,100.0,,95.0,52.0,0.6,99.0,57.0,9.0,11:56:00
,,127.73676,100.0,,95.0,52.0,0.6,99.0,57.0,9.0,11:56:00
,,127.73676,100.0,,95.0,52.0,0.6,98.0,57.0,8.0,11:56:01
,,127.73676,100.0,,95.0,53.0,0.6,98.0,57.0,8.0,11:56:02
,,127.73676,100.0,,95.0,53.0,0.6,98.0,57.0,8.0,11:56:02
,,127.73676,100.0,27.0,95.0,54.0,0.6,98.0,57.0,8.0,11:56:03
,,127.73676,100.0,27.0,95.0,54.0,0.6,98.0,57.0,8.0,11:56:03
,,127.73676,100.0,29.0,95.0,55.0,0.6,98.0,57.0,8.0,11:56:04
,,127.73676,100.0,31.0,95.0,55.0,0.6,98.0,57.0,8.0,11:56:04
,,127.73676,100.0,,95.0,55.0,0.6,98.0,57.0,8.0,11:56:05
,,127.73676,100.0,,95.0,55.0,0.6,98.0,57.0,8.0,11:56:05
,5.61384,127.73676,99.708391,29.0,95.0,53.0,0.6,98.0,57.0,8.0,11:56:06
,5.61384,127.73676,99.708391,29.0,95.0,53.0,0.6,98.0,57.0,8.0,11:56:06
,5.61384,127.73676,99.708391,29.0,95.0,54.0,0.6,98.0,57.0,8.0,11:56:07
,5.61384,127.73676,99.708391,29.0,95.0,54.0,0.6,98.0,57.0,8.0,11:56:07
,5.61384,127.73676,99.708391,29.0,95.0,56.0,0.6,98.0,57.0,8.0,11:56:08
,5.61384,127.73676,99.708391,29.0,95.0,56.0,0.6,98.0,57.0,8.0,11:56:08
,5.61384,127.73676,99.708391,29.0,95.0,56.0,0.6,98.0,57.0,8.0,11:56:09
,5.61384,127.73676,99.708391,29.0,95.0,56.0,0.6,98.0,57.0,8.0,11:56:09
,5.61384,127.73676,99.708391,29.0,95.0,56.0,0.6,98.0,57.0,8.0,11:56:10
,5.61384,127.73676,99.708391,29.0,95.0,56.0,0.6,98.0,57.0,8.0,11:56:10
,5.61384,127.73676,99.708391,29.0,95.0,57.0,0.6,98.0,57.0,12.0,11:56:11
,5.61384,127.73676,99.708391,29.0,95.0,57.0,0.6,98.0,56.0,11.0,11:56:11
,5.61384,127.73676,99.708391,29.0,95.0,57.0,0.6,98.0,56.0,11.0,11:56:12
,,,,,95.0,57.0,0.6,98.0,56.0,11.0,11:56:12
,,,,,95.0,57.0,0.6,98.0,56.0,11.0,11:56:12
,,,,,95.0,57.0,0.6,98.0,56.0,10.0,11:56:13
,,,,,96.0,57.0,0.6,98.0,56.0,10.0,11:56:13
,,,,,96.0,57.0,0.6,98.0,56.0,10.0,11:56:14
,,,,,96.0,56.0,0.6,98.0,56.0,10.0,11:56:14
,,,,,96.0,56.0,0.6,98.0,56.0,10.0,11:56:15
,,,,,96.0,56.0,0.6,98.0,56.0,10.0,11:56:15
,,,,,96.0,56.0,0.6,98.0,56.0,10.0,11:56:16
,,,,,96.0,56.0,0.6,98.0,56.0,10.0,11:56:16
,,,,,96.0,56.0,0.6,99.0,56.0,12.0,11:56:17
,,,,,96.0,57.0,0.6,99.0,56.0,12.0,11:56:17
,,,,,96.0,57.0,0.6,99.0,56.0,12.0,11:56:18
,,,,,95.0,57.0,0.6,99.0,56.0,12.0,11:56:18
,,,,,95.0,57.0,0.6,99.0,55.0,14.0,11:56:19
,,,,,95.0,57.0,0.6,99.0,55.0,14.0,11:56:19
,,,,,95.0,57.0,0.6,99.0,55.0,14.0,11:56:20
,,,,,95.0,56.0,0.6,99.0,55.0,14.0,11:56:20
,,,,,95.0,56.0,0.6,99.0,54.0,12.0,11:56:21
,,,,,95.0,56.0,0.6,99.0,54.0,12.0,11:56:21
,,,,,95.0,56.0,0.6,99.0,54.0,12.0,11:56:22
,,,,,95.0,56.0,0.6,99.0,54.0,12.0,11:56:22
,,,,,95.0,56.0,0.6,99.0,53.0,14.0,11:56:23
,,,,,95.0,55.0,0.6,99.0,53.0,14.0,11:56:23
,,,,,95.0,55.0,0.6,99.0,53.0,14.0,11:56:24
,,,,,96.0,54.0,0.6,99.0,53.0,14.0,11:56:24
,,,,,96.0,54.0,0.6,99.0,52.0,14.0,11:56:25
,,,,,96.0,54.0,0.6,99.0,52.0,14.0,11:56:25
,,,,,96.0,54.0,0.6,99.0,52.0,14.0,11:56:26
,,,,,96.0,53.0,0.6,99.0,52.0,14.0,11:56:26
,,,,,96.0,53.0,0.6,99.0,51.0,14.0,11:56:27
,,,,,96.0,53.0,0.6,99.0,51.0,14.0,11:56:28
,,,,,96.0,53.0,0.6,99.0,51.0,14.0,11:56:28
,,,,,96.0,53.0,0.6,99.0,51.0,14.0,11:56:28
,,,,,96.0,53.0,0.6,99.0,51.0,15.0,11:56:29
,,,,,96.0,52.0,0.6,99.0,51.0,15.0,11:56:29
,,,,,96.0,52.0,0.6,99.0,51.0,15.0,11:56:30
,,,,,96.0,52.0,0.6,99.0,51.0,15.0,11:56:30
,,,,,96.0,52.0,0.6,99.0,52.0,15.0,11:56:31
,,,,,97.0,51.0,0.6,99.0,52.0,15.0,11:56:31
,,,,,97.0,51.0,0.6,99.0,52.0,15.0,11:56:32
,,,,,97.0,51.0,0.6,99.0,52.0,15.0,11:56:32
,,,,,97.0,51.0,0.6,99.0,53.0,14.0,11:56:33
,,,,,97.0,52.0,0.6,99.0,53.0,14.0,11:56:33
,,,,,97.0,52.0,0.6,99.0,53.0,14.0,11:56:34
,,,,,97.0,52.0,0.6,99.0,53.0,14.0,11:56:34
,,,,,97.0,52.0,0.6,100.0,53.0,14.0,11:56:35
,,,,,98.0,51.0,0.6,100.0,53.0,14.0,11:56:35
,,,,,98.0,51.0,0.6,100.0,53.0,14.0,11:56:36
,,,,,97.0,51.0,0.6,100.0,53.0,14.0,11:56:36
,,,,,97.0,51.0,0.6,100.0,53.0,15.0,11:56:37
,,,,,97.0,52.0,0.6,100.0,53.0,15.0,11:56:37
,,,,,97.0,52.0,0.6,100.0,53.0,15.0,11:56:38
,,,,,97.0,52.0,0.6,100.0,53.0,15.0,11:56:38
,,,,,97.0,52.0,0.6,100.0,53.0,15.0,11:56:39
,,,,,97.0,52.0,0.6,100.0,53.0,15.0,11:56:39
,,,,,97.0,52.0,0.6,100.0,53.0,15.0,11:56:40
,,,,,97.0,52.0,0.6,100.0,53.0,15.0,11:56:40
,,,,,97.0,52.0,0.6,100.0,53.0,18.0,11:56:41
,,,,,97.0,52.0,0.6,100.0,53.0,18.0,11:56:41
,,,,,97.0,52.0,0.6,100.0,53.0,18.0,11:56:42
,,,,,97.0,52.0,0.6,100.0,53.0,18.0,11:56:42
,,,,,97.0,52.0,0.6,100.0,54.0,18.0,11:56:43
,,,,,98.0,53.0,0.6,100.0,54.0,18.0,11:56:43
,,,,,98.0,53.0,0.6,100.0,54.0,18.0,11:56:44
,,,,,98.0,53.0,0.6,100.0,54.0,18.0,11:56:45
,,,,,98.0,53.0,0.6,100.0,56.0,22.0,11:56:45
,,,,,98.0,53.0,0.6,100.0,56.0,22.0,11:56:45
,,,,,98.0,53.0,0.6,100.0,56.0,22.0,11:56:46
,,,,,99.0,53.0,0.6,100.0,56.0,22.0,11:56:46
,,,,,99.0,53.0,0.6,99.0,55.0,23.0,11:56:47
,,,,,99.0,53.0,0.6,99.0,55.0,23.0,11:56:47
,,,,,99.0,53.0,0.6,99.0,55.0,23.0,11:56:48
,,,,,99.0,54.0,0.6,99.0,55.0,23.0,11:56:48
,,,,,99.0,54.0,0.6,99.0,55.0,26.0,11:56:49
,,,,,98.0,54.0,0.6,99.0,55.0,26.0,11:56:49
,,,,,98.0,54.0,0.6,99.0,55.0,26.0,11:56:50
,,,,,98.0,54.0,0.6,99.0,55.0,26.0,11:56:50
,,,,,98.0,54.0,0.6,99.0,56.0,22.0,11:56:51
,,,,,98.0,54.0,0.6,99.0,56.0,22.0,11:56:51
,,,,,98.0,54.0,0.6,99.0,56.0,22.0,11:56:52
,,,,,98.0,54.0,0.6,99.0,56.0,22.0,11:56:52
,,,,,98.0,54.0,0.6,99.0,56.0,21.0,11:56:53
,,,,,98.0,54.0,0.6,99.0,56.0,21.0,11:56:53
,,,,,98.0,54.0,0.6,99.0,56.0,21.0,11:56:54
,,,,,98.0,56.0,0.6,99.0,56.0,21.0,11:56:54
,,,,,98.0,56.0,0.6,99.0,56.0,27.0,11:56:55
,,,,,98.0,56.0,0.6,99.0,56.0,27.0,11:56:55
,,,,,98.0,56.0,0.6,99.0,56.0,27.0,11:56:56
,,,,,98.0,56.0,0.6,99.0,56.0,27.0,11:56:56
,,,,,98.0,56.0,0.6,99.0,54.0,24.0,11:56:57
,,,,,98.0,56.0,0.6,99.0,54.0,24.0,11:56:57
,,,,,98.0,56.0,0.6,99.0,54.0,24.0,11:56:58
,,,,,98.0,55.0,0.7,99.0,54.0,24.0,11:56:58
,,,,,98.0,55.0,0.7,99.0,54.0,24.0,11:56:59
,,,,,98.0,54.0,0.8,99.0,54.0,24.0,11:56:59
,,,,,98.0,54.0,0.8,99.0,54.0,24.0,11:57:00
,,,,,98.0,54.0,0.8,99.0,52.0,25.0,11:57:00
,,,,,98.0,54.0,0.8,99.0,52.0,22.0,11:57:01
,,,,,98.0,54.0,0.9,99.0,52.0,22.0,11:57:01
,,,,,98.0,54.0,0.9,99.0,52.0,22.0,11:57:02
,,,,,98.0,53.0,0.9,99.0,52.0,22.0,11:57:02
,,,,,98.0,53.0,0.9,99.0,53.0,22.0,11:57:03
,,,,,97.0,53.0,0.9,99.0,53.0,22.0,11:57:03
,,,,,97.0,53.0,0.9,99.0,53.0,22.0,11:57:04
,,,,,97.0,52.0,1.0,99.0,53.0,22.0,11:57:04
,,,,,97.0,52.0,1.0,99.0,52.0,22.0,11:57:05
,,,,,97.0,52.0,1.0,99.0,52.0,22.0,11:57:05
,,,,,97.0,52.0,1.0,99.0,52.0,22.0,11:57:06
,,,,,98.0,51.0,1.0,99.0,52.0,22.0,11:57:06
,,,,,98.0,51.0,1.0,99.0,52.0,22.0,11:57:07
,,,,,98.0,51.0,1.0,99.0,52.0,22.0,11:57:07
,,,,,98.0,51.0,1.0,99.0,52.0,22.0,11:57:08
,,,,,98.0,51.0,1.1,99.0,52.0,22.0,11:57:08
,,,,,98.0,51.0,1.1,99.0,52.0,21.0,11:57:09
,,,,,98.0,51.0,1.1,99.0,52.0,21.0,11:57:09
,,,,,98.0,51.0,1.1,99.0,52.0,21.0,11:57:10
,,,,,98.0,51.0,1.1,99.0,52.0,21.0,11:57:10
,,,,,98.0,51.0,1.1,99.0,52.0,23.0,11:57:11
,,,,,98.0,51.0,1.1,99.0,52.0,23.0,11:57:11
,,,,,98.0,51.0,1.1,99.0,52.0,23.0,11:57:12
,,,,,98.0,52.0,1.2,99.0,52.0,23.0,11:57:12
,,,,,98.0,52.0,1.2,100.0,54.0,25.0,11:57:13
,,,,,98.0,52.0,1.2,100.0,54.0,25.0,11:57:13
,,,,,98.0,52.0,1.2,100.0,54.0,25.0,11:57:14
,,,,,98.0,52.0,1.2,100.0,54.0,26.0,11:57:15
,,,,,98.0,52.0,1.2,100.0,54.0,26.0,11:57:15
,,,,,98.0,52.0,1.2,100.0,54.0,26.0,11:57:15
,,,,,98.0,52.0,1.2,100.0,54.0,26.0,11:57:16
,,,,,98.0,53.0,1.2,100.0,54.0,26.0,11:57:16
,,,,,98.0,53.0,1.2,100.0,52.0,28.0,11:57:17
,,,,,98.0,53.0,1.2,100.0,52.0,28.0,11:57:17
,,,,,98.0,53.0,1.2,100.0,52.0,28.0,11:57:18
,,,,,98.0,53.0,1.2,100.0,52.0,28.0,11:57:18
,,,,,98.0,53.0,1.2,100.0,53.0,24.0,11:57:19
,,,,,98.0,53.0,1.2,100.0,53.0,24.0,11:57:19
,,,,,98.0,53.0,1.2,100.0,53.0,24.0,11:57:20
,,,,,98.0,59.0,1.2,100.0,53.0,24.0,11:57:20
,,,,,98.0,59.0,1.2,100.0,53.0,24.0,11:57:21
,,,,,98.0,59.0,1.2,100.0,53.0,24.0,11:57:21
,,,,,98.0,59.0,1.2,100.0,53.0,24.0,11:57:22
,,,,,98.0,59.0,1.2,100.0,53.0,24.0,11:57:22
,,,,,98.0,59.0,1.2,100.0,53.0,19.0,11:57:23
,,,,,98.0,59.0,1.2,100.0,53.0,19.0,11:57:23
,,,,,98.0,59.0,1.2,100.0,53.0,19.0,11:57:24
,,,,,98.0,59.0,1.2,100.0,53.0,19.0,11:57:24
,,,,,98.0,59.0,1.2,100.0,53.0,16.0,11:57:25
